stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
7418620.0,상주시 화서면,2024-10-31,12.7,20.9,5.9,82.3,,,,0.0,499.0,10.1,664.0,,,24.5
7418620.0,상주시 화서면,2024-11-01,11.8,14.8,8.7,90.6,,,,2.5,0.0,1.7,916.0,,,24.8
7418620.0,상주시 화서면,2024-11-02,15.9,22.6,10.6,81.7,,,,0.0,262.0,8.7,123.0,,,25.5
7418620.0,상주시 화서면,2024-11-03,12.6,20.3,6.8,85.1,,,,0.0,,9.5,754.0,,,25.1
7418620.0,상주시 화서면,2024-11-04,12.1,20.4,7.2,78.2,,,,0.0,,8.3,547.0,,,24.7
7418620.0,상주시 화서면,2024-11-05,9.0,14.7,5.0,67.1,,,,0.0,,9.4,0.0,,,24.3
7418620.0,상주시 화서면,2024-11-06,5.9,12.9,-0.2,51.6,,,,0.0,,9.8,0.0,,,23.9
7418620.0,상주시 화서면,2024-11-07,5.3,17.0,-2.5,72.5,,,,0.0,,11.3,316.0,,,23.6
7418620.0,상주시 화서면,2024-11-08,9.5,18.0,1.1,75.2,,,,0.0,,10.2,312.0,,,23.4
7418620.0,상주시 화서면,2024-11-10,12.2,19.5,5.8,83.5,,,,0.0,,7.6,395.0,,,22.9
7418620.0,상주시 화서면,2024-11-11,10.6,20.3,4.2,81.9,,,,0.0,,9.8,520.0,,,22.6
7418620.0,상주시 화서면,2024-11-12,11.8,19.2,4.3,73.4,,,,0.0,,10.1,277.0,,,22.4
741862E001,상주시 화서면,2024-11-13,11.7,19.0,2.8,74.2,,,,0.0,,9.6,316.0,,,22.1
