no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,063531B010,서귀포 감산리,2022-03-01,10.7,16.2,4.2,83.9,,0.0,6.8,0.5,,11.8,0,10.3,,22.3,2022,3,1
61,063531B010,서귀포 감산리,2022-03-02,4.8,10.0,-1.0,60.4,,0.0,7.7,0.0,,19.8,0,5.0,,22.2,2022,3,2
62,063531B010,서귀포 감산리,2022-03-03,6.0,15.7,-1.5,73.3,,0.0,0.2,0.0,,17.1,0,5.9,,22.0,2022,3,3
63,063531B010,서귀포 감산리,2022-03-04,7.6,17.0,0.8,80.6,,0.0,0.2,0.0,,13.2,0,7.5,,21.8,2022,3,4
64,063531B010,서귀포 감산리,2022-03-05,7.0,12.2,3.2,61.9,,0.0,3.2,0.0,,19.4,0,7.0,,21.6,2022,3,5
65,063531B010,서귀포 감산리,2022-03-06,5.1,10.3,1.9,49.5,,0.0,0.3,0.0,,21.0,0,5.6,,21.4,2022,3,6
66,063531B010,서귀포 감산리,2022-03-07,6.5,14.0,0.7,52.7,,0.0,0.2,0.0,,16.4,0,7.1,,21.1,2022,3,7
67,063531B010,서귀포 감산리,2022-03-08,7.3,16.9,-1.9,45.7,,0.0,0.2,0.0,,19.7,0,7.1,,21.1,2022,3,8
68,063531B010,서귀포 감산리,2022-03-09,10.0,19.5,2.1,67.0,,0.0,0.2,0.0,,19.5,0,9.9,,20.9,2022,3,9
69,063531B010,서귀포 감산리,2022-03-10,11.1,18.3,2.1,64.6,,0.0,0.3,0.0,,19.7,0,11.1,,20.7,2022,3,10
70,063531B010,서귀포 감산리,2022-03-11,15.3,18.8,12.1,74.3,,0.0,0.0,0.0,,4.6,0,14.1,,20.6,2022,3,11
71,063531B010,서귀포 감산리,2022-03-12,16.0,21.9,8.8,77.0,,0.0,0.2,0.0,,19.7,0,16.5,,20.5,2022,3,12
72,063531B010,서귀포 감산리,2022-03-13,14.5,16.4,,62.3,,0.0,3.2,9.0,,1.5,0,14.4,,20.7,2022,3,13
73,063531B010,서귀포 감산리,2022-03-14,13.3,17.2,8.8,94.5,,0.0,0.2,0.0,,4.7,0,12.8,,22.7,2022,3,14
74,063531B010,서귀포 감산리,2022-03-15,11.6,20.1,3.3,69.7,,0.0,0.3,0.0,,21.9,0,11.5,,23.1,2022,3,15
75,063531B010,서귀포 감산리,2022-03-16,12.0,19.3,3.7,87.3,,0.0,0.1,0.0,,20.1,0,12.5,,22.6,2022,3,16
76,063531B010,서귀포 감산리,2022-03-17,13.0,17.7,9.3,87.8,,0.0,0.4,12.0,,4.7,0,12.1,,22.2,2022,3,17
77,063531B010,서귀포 감산리,2022-03-18,11.9,17.3,7.9,91.3,,0.0,0.4,7.5,,14.3,0,11.9,,28.8,2022,3,18
78,063531B010,서귀포 감산리,2022-03-19,6.6,9.0,4.2,87.1,,0.0,0.4,1.0,,6.8,0,6.5,,28.2,2022,3,19
79,063531B010,서귀포 감산리,2022-03-20,7.1,12.0,4.1,72.8,,0.0,0.3,0.0,,12.3,0,7.2,,27.4,2022,3,20
80,063531B010,서귀포 감산리,2022-03-21,8.3,12.5,4.2,69.3,,0.0,0.6,14.0,,5.5,0,7.7,,26.7,2022,3,21
81,063531B010,서귀포 감산리,2022-03-22,8.6,14.7,3.8,66.3,,0.0,0.4,2.5,,17.0,0,8.2,,31.9,2022,3,22
82,063531B010,서귀포 감산리,2022-03-23,8.0,15.7,2.5,76.8,,0.0,0.0,0.5,,12.7,0,8.1,,29.3,2022,3,23
83,063531B010,서귀포 감산리,2022-03-24,9.8,17.0,1.2,67.8,,0.0,0.0,0.0,,21.4,0,9.6,,27.9,2022,3,24
84,063531B010,서귀포 감산리,2022-03-25,15.3,18.2,10.7,85.3,,0.0,0.5,18.0,,5.5,0,14.1,,26.7,2022,3,25
85,063531B010,서귀포 감산리,2022-03-26,10.9,17.2,7.5,96.0,,0.0,0.0,11.5,,3.4,0,10.4,,33.7,2022,3,26
86,063531B010,서귀포 감산리,2022-03-27,12.7,19.3,7.1,37.8,,0.0,0.0,0.0,,22.1,0,11.9,,30.4,2022,3,27
87,063531B010,서귀포 감산리,2022-03-28,10.9,18.0,4.5,49.3,,0.0,5.9,0.0,,16.2,0,11.1,,28.2,2022,3,28
88,063531B010,서귀포 감산리,2022-03-29,11.4,18.7,3.2,71.1,,0.0,6.5,0.0,,23.6,0,12.2,,26.9,2022,3,29
89,063531B010,서귀포 감산리,2022-03-30,17.2,21.7,12.8,90.8,,0.0,4.7,0.0,,9.4,0,16.7,,25.8,2022,3,30
90,063531B010,서귀포 감산리,2022-03-31,13.6,19.8,7.6,66.0,,0.0,8.6,0.0,,11.0,0,13.2,,25.2,2022,3,31
