no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
70,063531B010,,2016-03-11,2.3,6.7,-0.1,52.9,,0.0,8.6,0.0,,3.2,0,3.9,,,2016
71,063531B010,,2016-03-12,4.4,10.0,-0.1,50.8,,0.0,6.2,0.0,,20.2,0,5.9,,,2016
72,063531B010,,2016-03-13,6.6,9.7,3.0,84.7,,0.0,4.8,7.5,,2.4,706,6.7,,,2016
73,063531B010,,2016-03-14,5.7,9.8,2.8,69.4,,0.0,10.6,0.0,,18.3,172,6.7,,,2016
74,063531B010,,2016-03-15,6.1,13.7,-2.1,68.8,,0.0,5.4,0.0,,20.7,0,7.5,,,2016
75,063531B010,,2016-03-16,9.1,16.5,3.8,73.0,,0.0,5.7,0.0,,19.4,0,11.0,,,2016
76,063531B010,,2016-03-17,11.7,20.2,2.5,76.9,,0.0,9.6,0.5,,17.9,279,12.6,,,2016
77,063531B010,,2016-03-18,13.4,15.5,9.8,99.4,,0.0,6.0,11.0,,3.6,1440,14.0,,,2016
78,063531B010,,2016-03-19,12.7,19.6,6.8,64.0,,0.0,7.7,0.5,,17.9,352,13.7,,,2016
79,063531B010,,2016-03-20,10.3,17.6,2.1,73.2,,0.0,5.6,0.0,,18.8,0,11.5,,,2016
80,063531B010,,2016-03-21,8.9,17.3,2.4,75.9,,0.0,9.9,0.0,,17.5,283,10.2,,,2016
81,063531B010,,2016-03-22,8.7,18.3,1.7,75.2,,0.0,6.5,0.0,,22.3,370,10.3,,,2016
82,063531B010,,2016-03-23,8.2,17.0,0.8,57.1,,0.0,9.9,0.0,,19.3,0,9.4,,,2016
83,063531B010,,2016-03-24,7.5,13.4,4.0,58.3,,0.0,8.5,0.0,,22.9,0,9.2,,,2016
84,063531B010,,2016-03-25,7.7,14.3,0.8,61.4,,0.0,6.1,0.0,,20.8,0,9.6,,,2016
85,063531B010,,2016-03-26,6.4,11.9,2.5,54.5,,0.0,9.0,0.0,,22.5,0,8.1,,,2016
86,063531B010,,2016-03-27,6.7,14.0,-2.1,59.8,,0.0,5.6,0.0,,17.6,0,7.7,,,2016
87,063531B010,,2016-03-28,8.8,18.3,-0.9,60.1,,0.0,5.8,0.0,,21.1,0,10.1,,,2016
88,063531B010,,2016-03-29,11.3,16.1,2.8,72.1,,0.0,7.6,0.0,,12.2,0,12.1,,,2016
89,063531B010,,2016-03-30,13.1,20.4,8.1,81.9,,0.0,4.9,0.0,,17.6,0,15.0,,,2016
90,063531B010,,2016-03-31,12.0,15.4,7.8,88.1,,0.0,4.0,0.5,,6.1,535,12.8,,,2016
91,063531B010,,2016-04-01,14.7,23.0,5.3,60.0,,0.0,6.7,0.0,,22.4,0,16.1,,,2016
92,063531B010,,2016-04-02,13.3,19.7,4.6,77.2,,0.0,9.2,0.0,,19.9,0,14.9,,,2016
93,063531B010,,2016-04-03,15.5,17.5,14.1,90.7,,0.0,5.3,38.5,,2.2,907,15.7,,,2016
94,063531B010,,2016-04-04,13.7,18.1,9.4,92.3,,0.0,5.0,0.0,,11.9,810,15.0,,,2016
95,063531B010,,2016-04-05,12.6,18.9,7.1,86.2,,0.0,5.8,0.0,,14.0,585,13.9,,,2016
96,063531B010,,2016-04-06,13.7,18.2,7.9,91.6,,0.0,9.6,15.0,,6.1,624,14.0,,,2016
97,063531B010,,2016-04-07,14.3,17.8,10.8,89.6,,0.0,11.0,22.0,,10.8,752,15.3,,,2016
98,063531B010,,2016-04-08,14.6,22.8,8.9,76.6,,0.0,4.8,0.0,,21.5,307,16.3,,,2016
99,063531B010,,2016-04-09,13.7,22.4,7.6,66.4,,0.0,5.0,0.0,,22.5,0,15.5,,,2016
100,063531B010,,2016-04-10,13.8,21.1,7.7,68.8,,0.0,4.1,0.0,,20.1,0,15.2,,,2016
101,063531B010,,2016-04-11,13.3,20.7,6.4,71.7,,0.0,8.7,0.0,,23.0,0,15.1,,,2016
102,063531B010,,2016-04-12,15.3,21.6,7.9,73.4,,0.0,8.2,0.0,,15.5,24,16.3,,,2016
103,063531B010,,2016-04-13,17.1,23.5,13.2,91.0,,0.0,7.3,54.0,,14.4,519,18.6,,,2016
104,063531B010,,2016-04-14,17.3,25.2,7.4,56.9,,0.0,7.4,0.0,,23.8,497,17.9,,,2016
105,063531B010,,2016-04-15,15.2,22.4,6.1,52.1,,0.0,10.7,0.0,,25.5,0,16.4,,,2016
106,063531B010,,2016-04-16,17.2,18.7,13.0,90.2,,0.0,12.4,41.5,,2.9,524,17.3,,,2016
107,063531B010,,2016-04-17,12.1,17.1,7.1,77.3,,0.0,9.4,0.0,,21.4,17,13.8,,,2016
108,063531B010,,2016-04-18,12.5,18.1,7.9,64.4,,0.0,7.3,0.0,,17.6,0,14.2,,,2016
109,063531B010,,2016-04-19,14.0,21.5,7.5,77.3,,0.0,6.7,0.0,,24.5,358,16.0,,,2016
110,063531B010,,2016-04-20,15.4,20.9,9.4,77.0,,0.0,9.5,2.0,,16.3,327,16.4,,,2016
111,063531B010,,2016-04-21,14.7,17.5,11.6,97.7,,0.0,8.6,30.5,,7.9,946,15.4,,,2016
112,063531B010,,2016-04-22,15.5,22.9,8.0,82.0,,0.0,5.1,0.0,,24.5,580,17.0,,,2016
