no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,063607F015,서귀포 남원읍,2021-11-01,16.5,22.2,11.2,55.7,,,,0.0,542.0,14.3,,,,,2021,11,1
306,063607F015,서귀포 남원읍,2021-11-02,14.6,19.8,9.9,57.9,,,,0.0,527.0,14.9,,,,,2021,11,2
307,063607F015,서귀포 남원읍,2021-11-03,14.1,19.8,9.8,64.6,,,,0.0,594.0,15.3,,,,,2021,11,3
308,063607F015,서귀포 남원읍,2021-11-04,15.1,21.4,10.0,64.3,,,,0.0,584.0,15.1,,,,,2021,11,4
309,063607F015,서귀포 남원읍,2021-11-05,16.0,20.1,10.8,61.0,,,,0.0,258.0,7.8,,,,,2021,11,5
310,063607F015,서귀포 남원읍,2021-11-06,17.5,19.5,16.3,68.3,,,,0.0,99.0,5.2,,,,,2021,11,6
311,063607F015,서귀포 남원읍,2021-11-07,17.6,22.0,15.6,72.6,,,,0.0,465.0,12.3,,,,,2021,11,7
312,063607F015,서귀포 남원읍,2021-11-08,13.3,19.9,5.4,88.4,,,,10.5,121.0,4.7,,,,,2021,11,8
313,063607F015,서귀포 남원읍,2021-11-09,9.5,14.5,5.8,67.1,,,,2.0,341.0,12.7,,,,,2021,11,9
314,063607F015,서귀포 남원읍,2021-11-10,9.8,13.9,6.5,70.6,,,,3.5,245.0,8.7,,,,,2021,11,10
315,063607F015,서귀포 남원읍,2021-11-11,11.7,16.9,7.2,62.7,,,,0.5,421.0,12.5,,,,,2021,11,11
316,063607F015,서귀포 남원읍,2021-11-12,9.8,14.7,6.6,69.0,,,,1.0,377.0,10.9,,,,,2021,11,12
317,063607F015,서귀포 남원읍,2021-11-13,11.0,16.0,5.8,67.3,,,,0.0,469.0,12.6,,,,,2021,11,13
318,063607F015,서귀포 남원읍,2021-11-14,13.0,20.2,6.2,56.0,,,,0.0,555.0,14.1,,,,,2021,11,14
319,063607F015,서귀포 남원읍,2021-11-15,11.7,18.1,5.4,68.1,,,,0.0,579.0,13.9,,,,,2021,11,15
320,063607F015,서귀포 남원읍,2021-11-16,12.1,17.5,7.9,69.0,,,,0.0,218.0,7.7,,,,,2021,11,16
321,063607F015,서귀포 남원읍,2021-11-17,12.4,19.0,5.7,53.6,,,,0.0,547.0,12.7,,,,,2021,11,17
322,063607F015,서귀포 남원읍,2021-11-18,12.3,18.8,6.4,64.7,,,,0.0,560.0,12.7,,,,,2021,11,18
323,063607F015,서귀포 남원읍,2021-11-19,11.8,20.2,4.6,47.3,,,,0.0,569.0,13.8,,,,,2021,11,19
324,063607F015,서귀포 남원읍,2021-11-20,13.2,20.3,6.5,54.7,,,,0.0,579.0,13.1,,,,,2021,11,20
325,063607F015,서귀포 남원읍,2021-11-21,15.3,19.7,12.5,81.2,,,,0.0,121.0,6.0,,,,,2021,11,21
326,063607F015,서귀포 남원읍,2021-11-22,11.0,15.0,6.0,55.2,,,,0.5,266.0,8.9,,,,,2021,11,22
327,063607F015,서귀포 남원읍,2021-11-23,7.8,12.3,4.8,54.9,,,,0.0,295.0,9.0,,,,,2021,11,23
328,063607F015,서귀포 남원읍,2021-11-24,8.8,14.3,3.5,59.4,,,,0.0,464.0,12.8,,,,,2021,11,24
329,063607F015,서귀포 남원읍,2021-11-25,10.6,18.4,4.5,57.8,,,,0.0,567.0,12.7,,,,,2021,11,25
330,063607F015,서귀포 남원읍,2021-11-26,11.0,17.8,5.2,50.5,,,,0.0,538.0,13.7,,,,,2021,11,26
331,063607F015,서귀포 남원읍,2021-11-27,10.0,16.0,5.1,57.9,,,,0.0,551.0,13.0,,,,,2021,11,27
332,063607F015,서귀포 남원읍,2021-11-28,11.9,17.6,8.6,65.1,,,,0.0,454.0,12.7,,,,,2021,11,28
333,063607F015,서귀포 남원읍,2021-11-29,12.9,18.7,8.6,75.2,,,,0.0,541.0,12.7,,,,,2021,11,29
334,063607F015,서귀포 남원읍,2021-11-30,12.5,17.3,5.6,78.0,,,,51.0,89.0,4.5,,,,,2021,11,30
