no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,063607F015,,2017-01-01,8.8,14.0,4.9,70.6,,,,0.0,1.0,8.5,,,,,2017
2,063607F015,,2017-01-02,10.2,13.3,6.1,90.5,,,,0.0,1.0,2.0,,,,,2017
3,063607F015,,2017-01-03,9.8,15.8,4.5,78.2,,,,0.0,1.0,10.7,,,,,2017
4,063607F015,,2017-01-04,8.6,16.1,2.0,64.6,,,,0.0,1.0,9.8,,,,,2017
5,063607F015,,2017-01-05,10.3,14.0,6.2,72.7,,,,0.5,1.0,4.7,,,,,2017
6,063607F015,,2017-01-06,10.0,12.6,8.5,76.4,,,,0.5,1.0,6.7,,,,,2017
7,063607F015,,2017-01-07,10.8,12.9,8.8,80.8,,,,0.5,1.0,3.7,,,,,2017
8,063607F015,,2017-01-08,10.5,14.6,8.3,90.1,,,,0.5,1.0,4.2,,,,,2017
9,063607F015,,2017-01-09,7.6,12.2,3.0,66.1,,,,0.5,1.0,11.1,,,,,2017
10,063607F015,,2017-01-10,5.6,11.7,1.4,69.6,,,,0.0,1.0,11.3,,,,,2017
11,063607F015,,2017-01-11,3.7,8.0,0.5,66.0,,,,0.0,1.0,5.6,,,,,2017
12,063607F015,,2017-01-12,5.5,11.2,1.0,63.2,,,,0.0,1.0,9.6,,,,,2017
13,063607F015,,2017-01-13,4.6,10.3,-0.6,51.9,,,,0.0,1.0,10.0,,,,,2017
14,063607F015,,2017-01-14,3.1,8.9,-0.1,48.8,,,,0.0,1.0,15.5,,,,,2017
15,063607F015,,2017-01-15,2.5,8.5,-1.0,45.1,,,,0.0,1.0,14.0,,,,,2017
16,063607F015,,2017-01-16,3.9,9.1,-0.1,55.6,,,,0.0,1.0,10.4,,,,,2017
17,063607F015,,2017-01-17,4.8,11.2,-0.2,65.1,,,,0.0,1.0,8.1,,,,,2017
18,063607F015,,2017-01-18,6.4,11.7,1.8,73.6,,,,0.0,1.0,6.3,,,,,2017
19,063607F015,,2017-01-19,6.3,11.9,2.0,72.1,,,,0.0,1.0,9.3,,,,,2017
20,063607F015,,2017-01-20,2.0,6.0,-0.7,62.4,,,,0.0,1.0,4.3,,,,,2017
21,063607F015,,2017-01-21,3.3,8.6,-2.2,60.0,,,,0.5,1.0,10.1,,,,,2017
22,063607F015,,2017-01-22,3.3,7.1,0.0,52.2,,,,0.0,1.0,12.7,,,,,2017
23,063607F015,,2017-01-23,1.3,5.2,-1.3,53.1,,,,0.0,1.0,15.7,,,,,2017
24,063607F015,,2017-01-24,2.3,7.7,-1.4,58.7,,,,0.0,1.0,14.8,,,,,2017
