no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,063527F012,서귀포 덕수리,2021-03-01,14.2,17.5,6.5,92.8,107.4,3.1,16.3,20.0,,1.6,,,,,2021,3,1
61,063527F012,서귀포 덕수리,2021-03-02,6.2,10.3,1.1,75.0,306.5,2.4,10.6,0.5,,18.5,,,,,2021,3,2
62,063527F012,서귀포 덕수리,2021-03-03,6.2,13.2,-2.2,71.0,95.3,1.6,53.5,0.0,,19.4,,,,,2021,3,3
63,063527F012,서귀포 덕수리,2021-03-04,11.0,13.2,9.0,87.8,59.6,1.4,9.5,32.5,,3.0,,,,,2021,3,4
64,063527F012,서귀포 덕수리,2021-03-05,12.2,18.1,9.4,81.4,301.2,1.3,7.5,0.5,,15.5,,,,,2021,3,5
65,063527F012,서귀포 덕수리,2021-03-06,11.6,16.9,6.4,72.2,68.8,1.2,7.8,0.0,,9.4,,,,,2021,3,6
66,063527F012,서귀포 덕수리,2021-03-07,9.7,14.0,5.3,74.3,314.0,0.9,5.9,0.0,,8.1,,,,,2021,3,7
67,063527F012,서귀포 덕수리,2021-03-08,9.6,16.2,4.0,79.1,239.0,0.7,5.0,0.0,,17.7,,,,,2021,3,8
68,063527F012,서귀포 덕수리,2021-03-09,9.1,14.7,5.3,70.3,307.9,1.0,7.1,0.0,,10.9,,,,,2021,3,9
69,063527F012,서귀포 덕수리,2021-03-10,11.9,19.5,6.4,58.6,37.1,1.8,10.1,0.0,,21.3,,,,,2021,3,10
70,063527F012,서귀포 덕수리,2021-03-11,12.9,19.2,4.8,77.7,90.8,2.0,7.8,26.0,,11.8,,,,,2021,3,11
71,063527F012,서귀포 덕수리,2021-03-12,11.6,14.0,9.0,89.4,308.6,1.7,12.0,9.0,,10.1,,,,,2021,3,12
72,063527F012,서귀포 덕수리,2021-03-13,10.6,16.5,6.5,78.4,307.8,1.1,6.4,0.0,,14.9,,,,,2021,3,13
73,063527F012,서귀포 덕수리,2021-03-14,10.5,18.7,3.4,68.9,310.9,1.1,6.0,0.0,,22.1,,,,,2021,3,14
74,063527F012,서귀포 덕수리,2021-03-15,13.4,18.8,4.5,74.5,100.5,1.6,7.6,0.0,,16.3,,,,,2021,3,15
75,063527F012,서귀포 덕수리,2021-03-16,13.0,20.2,5.8,80.8,287.6,2.1,9.4,11.5,,15.8,,,,,2021,3,16
76,063527F012,서귀포 덕수리,2021-03-17,11.2,19.9,4.8,66.4,328.5,1.4,9.7,0.0,,21.8,,,,,2021,3,17
77,063527F012,서귀포 덕수리,2021-03-18,11.9,20.0,3.1,80.7,114.4,0.9,7.1,0.0,,20.2,,,,,2021,3,18
78,063527F012,서귀포 덕수리,2021-03-19,13.8,20.2,7.8,81.6,89.8,1.6,10.8,14.0,,17.3,,,,,2021,3,19
79,063527F012,서귀포 덕수리,2021-03-20,14.4,18.3,8.7,87.2,48.4,2.2,10.7,1.0,,5.4,,,,,2021,3,20
80,063527F012,서귀포 덕수리,2021-03-21,8.4,12.6,5.7,64.5,288.5,3.4,15.3,0.0,,19.1,,,,,2021,3,21
81,063527F012,서귀포 덕수리,2021-03-22,8.1,12.9,4.3,49.1,278.4,2.7,12.7,0.0,,24.5,,,,,2021,3,22
82,063527F012,서귀포 덕수리,2021-03-23,8.7,16.7,1.7,69.3,231.4,1.0,6.9,0.0,,23.6,,,,,2021,3,23
83,063527F012,서귀포 덕수리,2021-03-24,12.6,19.8,3.0,72.7,101.3,1.0,8.5,0.0,,17.4,,,,,2021,3,24
84,063527F012,서귀포 덕수리,2021-03-25,13.4,21.3,5.1,76.9,86.5,0.8,6.1,0.0,,24.0,,,,,2021,3,25
85,063527F012,서귀포 덕수리,2021-03-26,12.9,20.6,2.3,66.0,100.9,1.7,8.8,0.0,,25.2,,,,,2021,3,26
86,063527F012,서귀포 덕수리,2021-03-27,16.6,19.2,14.1,85.9,114.2,2.6,14.3,31.0,,3.2,,,,,2021,3,27
87,063527F012,서귀포 덕수리,2021-03-28,13.0,15.4,10.9,90.5,273.9,1.9,6.5,0.0,,9.7,,,,,2021,3,28
88,063527F012,서귀포 덕수리,2021-03-29,13.9,20.2,7.8,66.3,272.8,1.2,6.7,0.0,,20.3,,,,,2021,3,29
89,063527F012,서귀포 덕수리,2021-03-30,13.8,21.6,7.5,62.7,111.7,0.8,6.8,0.0,,22.4,,,,,2021,3,30
90,063527F012,서귀포 덕수리,2021-03-31,14.4,21.2,6.3,53.9,91.5,1.5,9.4,0.0,,15.2,,,,,2021,3,31
