no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,063641F007,서귀포 성산읍,2021-09-01,27.2,32.0,24.1,86.0,215.7,0.8,5.4,0.5,,9.7,,,,,2021,9,1
245,063641F007,서귀포 성산읍,2021-09-02,23.9,27.2,21.5,90.2,,0.1,3.1,14.0,,6.7,,,,,2021,9,2
246,063641F007,서귀포 성산읍,2021-09-03,23.4,24.2,22.8,96.7,,0.1,4.3,29.0,,3.4,,,,,2021,9,3
247,063641F007,서귀포 성산읍,2021-09-04,24.8,28.2,22.8,81.9,68.0,0.3,4.8,0.0,,14.4,,,,,2021,9,4
248,063641F007,서귀포 성산읍,2021-09-05,24.1,26.2,22.2,85.3,61.5,0.4,5.8,11.0,,3.9,,,,,2021,9,5
249,063641F007,서귀포 성산읍,2021-09-06,24.8,27.2,23.2,83.0,59.2,0.3,5.2,1.5,,6.9,,,,,2021,9,6
250,063641F007,서귀포 성산읍,2021-09-07,25.3,30.4,22.4,90.4,256.6,0.3,4.6,16.5,,9.0,,,,,2021,9,7
251,063641F007,서귀포 성산읍,2021-09-08,23.5,28.0,19.5,79.4,257.9,0.4,5.1,0.0,,20.6,,,,,2021,9,8
252,063641F007,서귀포 성산읍,2021-09-09,23.6,30.1,18.0,84.7,,0.1,2.8,0.0,,21.1,,,,,2021,9,9
253,063641F007,서귀포 성산읍,2021-09-10,22.6,25.0,21.1,96.6,191.8,0.1,3.6,11.5,,4.5,,,,,2021,9,10
254,063641F007,서귀포 성산읍,2021-09-11,24.0,29.6,20.5,91.6,65.9,0.1,3.1,0.0,,17.5,,,,,2021,9,11
255,063641F007,서귀포 성산읍,2021-09-12,24.8,29.4,20.9,90.2,,0.1,3.0,0.0,,12.7,,,,,2021,9,12
256,063641F007,서귀포 성산읍,2021-09-13,23.8,25.8,22.0,96.1,56.5,0.5,7.5,50.5,,2.3,,,,,2021,9,13
257,063641F007,서귀포 성산읍,2021-09-14,24.3,25.2,23.0,99.4,54.9,0.8,8.3,105.0,,2.3,,,,,2021,9,14
258,063641F007,서귀포 성산읍,2021-09-15,23.5,24.4,22.2,87.7,91.4,0.8,8.1,17.5,,2.5,,,,,2021,9,15
259,063641F007,서귀포 성산읍,2021-09-16,23.1,24.9,21.8,94.6,79.7,0.7,9.7,68.5,,0.7,,,,,2021,9,16
260,063641F007,서귀포 성산읍,2021-09-17,23.5,25.9,21.8,95.6,265.5,1.0,9.5,65.0,,5.1,,,,,2021,9,17
261,063641F007,서귀포 성산읍,2021-09-18,23.2,28.5,19.7,86.8,58.5,0.2,4.2,0.0,,13.7,,,,,2021,9,18
262,063641F007,서귀포 성산읍,2021-09-19,23.9,28.3,20.6,78.8,70.8,0.2,4.9,0.0,,19.1,,,,,2021,9,19
263,063641F007,서귀포 성산읍,2021-09-20,25.5,30.2,22.4,78.6,180.7,0.3,3.4,0.0,,18.4,,,,,2021,9,20
264,063641F007,서귀포 성산읍,2021-09-21,23.6,27.9,18.5,90.5,187.4,0.4,5.3,18.0,,8.3,,,,,2021,9,21
265,063641F007,서귀포 성산읍,2021-09-22,23.6,31.2,16.8,85.6,209.9,0.2,4.3,0.0,,16.2,,,,,2021,9,22
266,063641F007,서귀포 성산읍,2021-09-23,22.6,28.7,18.1,77.6,262.6,0.2,3.9,0.0,,19.2,,,,,2021,9,23
267,063641F007,서귀포 성산읍,2021-09-24,21.7,28.7,15.1,80.2,69.9,0.2,4.4,0.0,,17.1,,,,,2021,9,24
268,063641F007,서귀포 성산읍,2021-09-25,24.3,28.5,21.6,76.6,69.3,0.3,6.0,0.0,,16.1,,,,,2021,9,25
269,063641F007,서귀포 성산읍,2021-09-26,24.1,28.0,22.2,76.7,75.7,0.3,6.0,0.0,,16.3,,,,,2021,9,26
270,063641F007,서귀포 성산읍,2021-09-27,23.4,26.8,21.4,81.7,66.6,0.2,5.6,0.0,,9.7,,,,,2021,9,27
271,063641F007,서귀포 성산읍,2021-09-28,24.2,27.3,22.5,88.3,71.7,0.2,4.2,0.0,,9.2,,,,,2021,9,28
272,063641F007,서귀포 성산읍,2021-09-29,25.6,30.3,22.6,88.7,193.1,0.4,4.9,1.0,,17.5,,,,,2021,9,29
273,063641F007,서귀포 성산읍,2021-09-30,22.5,25.8,21.2,95.8,256.7,0.1,3.6,12.5,,5.1,,,,,2021,9,30
