no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,063605F004,서귀포 신효동,2020-07-01,21.8,27.3,16.7,78.1,148.7,1.0,4.9,0.0,,30.0,,,,,2020,7,1
183,063605F004,서귀포 신효동,2020-07-02,21.7,26.9,16.3,78.1,59.7,0.8,4.7,0.0,,15.6,,,,,2020,7,2
184,063605F004,서귀포 신효동,2020-07-03,21.1,22.5,19.9,97.5,65.9,0.9,7.9,61.5,,2.7,,,,,2020,7,3
185,063605F004,서귀포 신효동,2020-07-04,20.9,22.7,19.5,99.3,75.3,0.8,5.2,2.0,,6.9,,,,,2020,7,4
186,063605F004,서귀포 신효동,2020-07-05,22.9,26.2,20.7,97.2,113.3,0.5,4.6,0.0,,12.8,,,,,2020,7,5
187,063605F004,서귀포 신효동,2020-07-06,22.5,24.3,21.0,100.0,213.7,0.6,6.8,48.5,,5.8,,,,,2020,7,6
188,063605F004,서귀포 신효동,2020-07-07,21.7,23.6,19.4,100.0,128.8,0.5,4.4,71.0,,3.9,,,,,2020,7,7
189,063605F004,서귀포 신효동,2020-07-08,22.4,27.3,18.3,93.7,170.3,0.6,4.3,0.5,,23.7,,,,,2020,7,8
190,063605F004,서귀포 신효동,2020-07-09,24.8,29.7,20.5,90.9,82.0,1.1,8.2,8.0,,18.9,,,,,2020,7,9
191,063605F004,서귀포 신효동,2020-07-10,24.9,30.1,22.1,94.4,199.9,1.3,8.9,57.0,,25.0,,,,,2020,7,10
192,063605F004,서귀포 신효동,2020-07-11,23.2,26.9,20.5,94.3,105.8,0.6,4.2,0.0,,10.2,,,,,2020,7,11
193,063605F004,서귀포 신효동,2020-07-12,23.1,25.0,21.7,100.0,134.6,1.0,7.1,57.0,,1.2,,,,,2020,7,12
194,063605F004,서귀포 신효동,2020-07-13,23.5,25.9,21.2,99.9,244.2,1.3,8.2,12.5,,7.4,,,,,2020,7,13
195,063605F004,서귀포 신효동,2020-07-14,22.1,26.5,19.4,84.9,85.9,1.0,6.3,0.0,,13.3,,,,,2020,7,14
196,063605F004,서귀포 신효동,2020-07-15,21.5,26.2,18.1,88.0,113.6,0.6,4.6,0.0,,20.2,,,,,2020,7,15
197,063605F004,서귀포 신효동,2020-07-16,22.0,28.3,17.1,82.2,64.7,1.2,6.5,0.0,,23.4,,,,,2020,7,16
198,063605F004,서귀포 신효동,2020-07-17,22.4,28.5,17.7,78.4,90.6,1.6,8.7,0.0,,28.9,,,,,2020,7,17
199,063605F004,서귀포 신효동,2020-07-18,22.5,25.2,18.7,95.6,23.7,1.0,5.2,2.5,,6.2,,,,,2020,7,18
200,063605F004,서귀포 신효동,2020-07-19,25.7,28.0,23.6,99.9,233.5,1.1,7.1,5.5,,5.5,,,,,2020,7,19
201,063605F004,서귀포 신효동,2020-07-20,25.4,28.7,23.0,97.8,226.8,1.0,7.7,3.0,,11.2,,,,,2020,7,20
202,063605F004,서귀포 신효동,2020-07-21,24.0,25.7,22.2,98.9,117.2,0.3,3.1,3.5,,5.5,,,,,2020,7,21
203,063605F004,서귀포 신효동,2020-07-22,26.0,30.1,24.3,97.3,226.0,0.9,6.0,0.0,,14.8,,,,,2020,7,22
204,063605F004,서귀포 신효동,2020-07-23,24.9,26.4,21.9,100.0,208.2,1.5,10.3,11.0,,2.0,,,,,2020,7,23
205,063605F004,서귀포 신효동,2020-07-24,22.0,25.5,20.0,93.3,254.5,1.5,9.2,0.5,,14.1,,,,,2020,7,24
206,063605F004,서귀포 신효동,2020-07-25,22.9,27.8,19.5,85.5,252.4,1.1,8.0,0.0,,24.0,,,,,2020,7,25
207,063605F004,서귀포 신효동,2020-07-26,23.3,29.2,17.2,85.9,190.8,0.7,89.3,0.0,,24.3,,,,,2020,7,26
208,063605F004,서귀포 신효동,2020-07-27,23.9,25.4,22.0,99.2,271.1,0.8,6.2,44.5,,2.5,,,,,2020,7,27
209,063605F004,서귀포 신효동,2020-07-28,26.0,28.0,25.1,99.9,237.2,1.0,6.4,0.5,,8.6,,,,,2020,7,28
210,063605F004,서귀포 신효동,2020-07-29,27.1,30.5,25.2,97.4,216.1,1.0,5.9,0.0,,16.9,,,,,2020,7,29
211,063605F004,서귀포 신효동,2020-07-30,27.9,31.5,24.4,92.9,216.7,1.0,6.3,0.0,,23.6,,,,,2020,7,30
212,063605F004,서귀포 신효동,2020-07-31,26.9,31.2,22.8,90.5,176.9,0.7,4.3,0.0,,21.2,,,,,2020,7,31
