no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,063616F005,서귀포 신흥리,2017-08-01,28.3,33.4,24.6,91.6,155.1,0.2,3.6,3.0,,19.3,,,,,2017,8,1
214,063616F005,서귀포 신흥리,2017-08-02,28.2,32.9,25.4,84.4,18.4,0.4,4.0,0.0,,18.5,,,,,2017,8,2
215,063616F005,서귀포 신흥리,2017-08-03,28.5,33.5,24.2,82.0,41.6,0.4,4.9,0.0,,23.5,,,,,2017,8,3
216,063616F005,서귀포 신흥리,2017-08-04,29.5,34.5,25.8,83.0,16.2,0.5,3.9,0.0,,21.9,,,,,2017,8,4
217,063616F005,서귀포 신흥리,2017-08-05,29.8,34.1,27.3,82.3,18.8,1.1,7.6,0.0,,21.3,,,,,2017,8,5
218,063616F005,서귀포 신흥리,2017-08-06,29.4,33.1,25.6,78.1,16.5,1.3,8.2,0.0,,20.2,,,,,2017,8,6
219,063616F005,서귀포 신흥리,2017-08-07,30.2,36.6,24.7,70.5,337.4,0.7,5.4,0.0,,25.4,,,,,2017,8,7
220,063616F005,서귀포 신흥리,2017-08-08,27.9,33.1,23.4,85.2,215.9,0.7,6.2,1.5,,10.3,,,,,2017,8,8
221,063616F005,서귀포 신흥리,2017-08-09,27.6,31.5,25.1,88.1,214.0,1.1,7.6,11.0,,14.0,,,,,2017,8,9
222,063616F005,서귀포 신흥리,2017-08-10,27.2,32.7,23.3,83.0,11.0,0.1,2.5,0.0,,13.4,,,,,2017,8,10
223,063616F005,서귀포 신흥리,2017-08-11,27.3,32.8,22.5,77.3,10.4,0.4,5.6,0.0,,18.2,,,,,2017,8,11
224,063616F005,서귀포 신흥리,2017-08-12,26.9,32.1,22.1,81.0,54.4,0.4,3.0,0.0,,18.3,,,,,2017,8,12
225,063616F005,서귀포 신흥리,2017-08-13,26.9,29.8,24.8,77.8,123.5,0.2,4.8,2.5,,8.6,,,,,2017,8,13
226,063616F005,서귀포 신흥리,2017-08-14,27.4,30.6,24.6,91.3,215.1,1.0,5.9,63.0,,8.5,,,,,2017,8,14
227,063616F005,서귀포 신흥리,2017-08-15,27.7,32.2,24.2,86.1,215.5,0.7,7.5,0.0,,20.4,,,,,2017,8,15
228,063616F005,서귀포 신흥리,2017-08-16,24.5,25.7,23.3,93.4,12.6,0.1,1.8,0.0,,0.0,,,,,2017,8,16
235,063616F005,서귀포 신흥리,2017-08-23,31.7,32.9,30.5,78.5,214.1,1.6,6.1,0.0,,4.2,,,,,2017,8,23
236,063616F005,서귀포 신흥리,2017-08-24,29.0,32.5,27.9,84.0,214.0,1.8,6.9,0.5,,4.2,,,,,2017,8,24
237,063616F005,서귀포 신흥리,2017-08-25,28.5,31.8,25.6,87.8,214.8,1.3,3.7,1.5,,19.1,,,,,2017,8,25
238,063616F005,서귀포 신흥리,2017-08-26,25.8,30.9,17.9,55.4,13.8,1.5,9.1,0.0,,20.6,,,,,2017,8,26
239,063616F005,서귀포 신흥리,2017-08-27,24.3,31.7,16.3,73.1,20.1,0.4,3.9,0.0,,23.4,,,,,2017,8,27
240,063616F005,서귀포 신흥리,2017-08-28,26.4,31.9,20.2,80.4,214.4,0.8,5.9,0.0,,23.9,,,,,2017,8,28
241,063616F005,서귀포 신흥리,2017-08-29,26.3,33.2,21.4,70.3,11.1,1.3,8.7,0.0,,21.8,,,,,2017,8,29
242,063616F005,서귀포 신흥리,2017-08-30,23.9,30.5,19.5,63.4,16.2,1.2,19.6,0.0,,19.7,,,,,2017,8,30
243,063616F005,서귀포 신흥리,2017-08-31,24.1,29.6,21.3,60.7,13.6,1.8,10.1,0.0,,23.0,,,,,2017,8,31
