no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,063550B007,서귀포 중문동,2022-10-01,19.9,27.1,14.1,61.9,,0.0,4.7,0.0,,17.8,0,19.9,,19.6,2022,10,1
275,063550B007,서귀포 중문동,2022-10-02,21.8,25.6,15.9,81.6,,0.0,4.5,0.0,,7.6,0,21.7,,19.1,2022,10,2
276,063550B007,서귀포 중문동,2022-10-03,24.8,28.5,23.1,86.7,,0.0,5.0,0.0,,12.8,0,25.8,,18.7,2022,10,3
277,063550B007,서귀포 중문동,2022-10-04,22.6,26.2,17.8,85.3,,0.0,5.6,1.5,,7.3,202,22.9,,18.4,2022,10,4
278,063550B007,서귀포 중문동,2022-10-05,20.0,25.2,14.6,75.3,,0.0,4.4,1.0,,16.1,191,20.8,,18.0,2022,10,5
279,063550B007,서귀포 중문동,2022-10-06,16.7,21.4,13.3,75.5,,0.0,4.6,2.0,,7.7,908,17.1,,17.7,2022,10,6
280,063550B007,서귀포 중문동,2022-10-07,15.2,19.5,12.4,67.5,,0.0,7.0,0.5,,11.4,382,15.3,,17.5,2022,10,7
281,063550B007,서귀포 중문동,2022-10-08,17.0,20.4,12.8,74.0,,0.0,7.3,0.5,,8.0,262,17.0,,17.3,2022,10,8
282,063550B007,서귀포 중문동,2022-10-09,17.7,20.0,14.7,80.1,,0.0,7.7,11.5,,4.2,592,17.5,,17.1,2022,10,9
283,063550B007,서귀포 중문동,2022-10-10,14.3,18.2,11.6,67.2,,0.0,7.5,1.0,,14.3,337,14.2,,17.8,2022,10,10
284,063550B007,서귀포 중문동,2022-10-11,14.7,20.2,10.8,63.8,,0.0,7.9,0.0,,13.5,0,14.7,,18.2,2022,10,11
285,063550B007,서귀포 중문동,2022-10-12,16.0,22.8,9.3,61.6,,0.0,7.3,0.0,,17.3,0,15.7,,17.9,2022,10,12
286,063550B007,서귀포 중문동,2022-10-13,18.3,25.9,13.0,65.9,,0.0,6.5,0.0,,16.7,0,18.4,,17.6,2022,10,13
287,063550B007,서귀포 중문동,2022-10-14,17.3,24.4,11.6,72.8,,0.0,5.0,0.0,,16.8,0,17.1,,17.2,2022,10,14
288,063550B007,서귀포 중문동,2022-10-15,17.7,24.8,12.3,72.5,,0.0,5.8,0.0,,16.7,0,17.9,,16.9,2022,10,15
289,063550B007,서귀포 중문동,2022-10-16,18.5,24.4,12.8,77.0,,0.0,3.3,0.0,,10.0,0,19.0,,16.6,2022,10,16
290,063550B007,서귀포 중문동,2022-10-17,15.4,23.7,10.6,58.6,,0.0,10.2,0.0,,12.2,0,15.5,,16.5,2022,10,17
291,063550B007,서귀포 중문동,2022-10-18,13.0,18.5,9.9,46.0,,0.0,8.3,0.0,,17.3,0,13.4,,16.2,2022,10,18
292,063550B007,서귀포 중문동,2022-10-19,13.8,19.7,8.1,48.7,,0.0,8.5,0.0,,16.8,0,13.9,,16.1,2022,10,19
293,063550B007,서귀포 중문동,2022-10-20,14.6,21.2,7.1,60.0,,0.0,6.2,0.0,,16.7,0,14.4,,15.9,2022,10,20
294,063550B007,서귀포 중문동,2022-10-21,18.9,23.6,14.4,73.3,,0.0,4.5,0.0,,11.4,0,19.0,,15.7,2022,10,21
295,063550B007,서귀포 중문동,2022-10-22,19.7,25.3,13.2,75.9,,0.0,4.4,0.0,,9.0,0,20.0,,15.5,2022,10,22
296,063550B007,서귀포 중문동,2022-10-23,16.0,25.5,11.5,56.9,,0.0,5.9,0.0,,16.1,0,16.2,,15.5,2022,10,23
297,063550B007,서귀포 중문동,2022-10-24,13.1,18.0,8.3,54.7,,0.0,8.6,0.0,,16.1,0,13.4,,15.2,2022,10,24
298,063550B007,서귀포 중문동,2022-10-25,13.0,20.2,7.2,51.1,,0.0,6.4,0.0,,15.7,0,13.2,,15.0,2022,10,25
299,063550B007,서귀포 중문동,2022-10-26,17.0,21.6,13.2,53.7,,0.0,7.6,0.0,,15.6,0,17.2,,14.8,2022,10,26
300,063550B007,서귀포 중문동,2022-10-27,15.5,21.1,11.1,65.5,,0.0,5.0,0.0,,7.1,0,15.5,,14.7,2022,10,27
301,063550B007,서귀포 중문동,2022-10-28,15.1,22.8,9.1,60.5,,0.0,4.8,0.0,,14.5,0,15.2,,14.4,2022,10,28
302,063550B007,서귀포 중문동,2022-10-29,16.1,23.4,10.8,60.7,,0.0,7.4,0.0,,14.6,0,15.9,,14.3,2022,10,29
303,063550B007,서귀포 중문동,2022-10-30,16.7,23.9,10.3,55.1,,0.0,8.3,0.0,,15.2,0,16.6,,14.1,2022,10,30
304,063550B007,서귀포 중문동,2022-10-31,15.7,21.6,10.0,61.8,,0.0,8.8,0.0,,15.2,0,15.9,,13.9,2022,10,31
