no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,063532F013,서귀포 창천리,2021-03-01,13.4,16.0,6.0,94.7,87.5,2.0,13.0,26.0,,0.7,,,,,2021,3,1
61,063532F013,서귀포 창천리,2021-03-02,5.6,8.5,1.1,73.5,311.8,2.5,12.0,0.5,,20.9,,,,,2021,3,2
62,063532F013,서귀포 창천리,2021-03-03,6.7,12.7,-0.6,64.4,91.1,1.2,9.7,0.0,,19.3,,,,,2021,3,3
63,063532F013,서귀포 창천리,2021-03-04,10.8,12.7,8.4,84.1,58.1,1.0,7.1,28.0,,2.7,,,,,2021,3,4
64,063532F013,서귀포 창천리,2021-03-05,12.4,16.3,9.3,79.5,50.4,0.7,7.8,0.0,,15.5,,,,,2021,3,5
65,063532F013,서귀포 창천리,2021-03-06,11.7,16.9,8.0,70.4,87.8,0.8,7.3,0.5,,9.7,,,,,2021,3,6
66,063532F013,서귀포 창천리,2021-03-07,9.2,12.8,5.2,74.9,172.1,0.4,5.5,0.0,,7.7,,,,,2021,3,7
67,063532F013,서귀포 창천리,2021-03-08,8.5,14.2,2.4,78.6,165.2,0.4,4.2,0.0,,15.8,,,,,2021,3,8
68,063532F013,서귀포 창천리,2021-03-09,9.1,13.6,6.2,63.9,305.3,1.0,7.6,0.0,,11.9,,,,,2021,3,9
69,063532F013,서귀포 창천리,2021-03-10,12.0,18.2,5.6,54.4,72.0,1.1,7.3,0.0,,21.3,,,,,2021,3,10
70,063532F013,서귀포 창천리,2021-03-11,12.1,18.4,4.5,77.7,90.7,1.1,6.7,21.5,,11.4,,,,,2021,3,11
71,063532F013,서귀포 창천리,2021-03-12,11.4,14.4,8.5,87.8,318.5,1.5,11.7,9.0,,14.1,,,,,2021,3,12
72,063532F013,서귀포 창천리,2021-03-13,10.5,14.9,6.8,71.6,315.9,1.0,6.0,0.0,,15.0,,,,,2021,3,13
73,063532F013,서귀포 창천리,2021-03-14,11.0,17.3,5.8,56.3,317.8,0.9,7.1,0.0,,22.5,,,,,2021,3,14
74,063532F013,서귀포 창천리,2021-03-15,12.0,17.8,4.1,77.2,112.8,0.6,7.4,0.0,,15.0,,,,,2021,3,15
75,063532F013,서귀포 창천리,2021-03-16,14.2,19.6,6.7,74.6,268.2,0.9,8.1,25.0,,17.1,,,,,2021,3,16
76,063532F013,서귀포 창천리,2021-03-17,11.6,18.2,4.1,59.5,112.0,0.5,4.8,0.0,,21.2,,,,,2021,3,17
77,063532F013,서귀포 창천리,2021-03-18,12.3,19.1,5.3,76.2,141.8,0.6,5.7,0.0,,21.1,,,,,2021,3,18
78,063532F013,서귀포 창천리,2021-03-19,13.7,19.9,8.7,78.7,94.6,0.9,8.6,11.0,,17.7,,,,,2021,3,19
79,063532F013,서귀포 창천리,2021-03-20,14.9,18.4,8.6,83.7,342.4,1.4,10.6,1.0,,6.2,,,,,2021,3,20
80,063532F013,서귀포 창천리,2021-03-21,7.7,11.4,5.0,64.7,295.7,3.2,15.4,1.0,,19.7,,,,,2021,3,21
81,063532F013,서귀포 창천리,2021-03-22,7.3,11.6,3.7,49.1,284.0,2.2,11.8,0.0,,24.6,,,,,2021,3,22
82,063532F013,서귀포 창천리,2021-03-23,9.6,16.3,3.9,59.2,249.6,0.7,6.2,0.0,,23.7,,,,,2021,3,23
83,063532F013,서귀포 창천리,2021-03-24,11.6,18.4,3.9,73.5,115.8,0.4,5.0,0.0,,18.4,,,,,2021,3,24
84,063532F013,서귀포 창천리,2021-03-25,13.6,19.2,8.0,73.6,113.8,0.6,5.1,0.0,,24.3,,,,,2021,3,25
85,063532F013,서귀포 창천리,2021-03-26,13.8,20.5,6.5,56.7,93.4,1.1,7.1,0.0,,25.1,,,,,2021,3,26
86,063532F013,서귀포 창천리,2021-03-27,15.9,18.5,12.7,87.6,121.9,1.5,12.9,34.5,,2.2,,,,,2021,3,27
87,063532F013,서귀포 창천리,2021-03-28,12.8,15.4,10.8,88.2,275.8,1.7,8.9,0.0,,13.3,,,,,2021,3,28
88,063532F013,서귀포 창천리,2021-03-29,14.7,21.1,9.3,64.5,272.8,0.8,6.2,0.0,,20.9,,,,,2021,3,29
89,063532F013,서귀포 창천리,2021-03-30,13.7,20.0,8.5,59.5,156.4,0.4,4.8,0.0,,22.4,,,,,2021,3,30
90,063532F013,서귀포 창천리,2021-03-31,15.0,21.0,8.1,42.5,95.0,0.9,8.2,0.0,,14.8,,,,,2021,3,31
