stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
063532F013,서귀포 창천리,2024-05-01,15.6,18.7,12.3,79.6,,0.0,2.9,0.5,,8.8,,,,,2024,5,1
063532F013,서귀포 창천리,2024-05-02,14.9,21.0,10.1,74.9,225.0,0.2,5.9,0.0,,24.2,,,,,2024,5,2
063532F013,서귀포 창천리,2024-05-03,16.0,21.6,9.5,70.7,125.7,0.1,3.9,0.0,,26.5,,,,,2024,5,3
063532F013,서귀포 창천리,2024-05-04,19.9,24.5,15.1,77.1,87.4,1.0,11.6,0.0,,16.0,,,,,2024,5,4
063532F013,서귀포 창천리,2024-05-05,18.8,19.8,16.7,99.7,119.7,0.7,12.3,130.5,,0.5,,,,,2024,5,5
063532F013,서귀포 창천리,2024-05-06,16.8,20.7,14.6,85.0,273.7,0.6,8.5,0.5,,22.9,,,,,2024,5,6
063532F013,서귀포 창천리,2024-05-07,16.4,21.0,13.4,78.0,275.3,1.3,11.3,0.0,,26.1,,,,,2024,5,7
063532F013,서귀포 창천리,2024-05-08,14.8,19.6,10.0,75.7,0.0,0.3,7.4,0.0,,14.4,,,,,2024,5,8
063532F013,서귀포 창천리,2024-05-09,15.4,22.8,8.8,66.3,252.4,0.2,6.6,0.0,,28.4,,,,,2024,5,9
063532F013,서귀포 창천리,2024-05-10,16.0,21.7,8.3,62.9,124.0,0.2,4.6,0.0,,28.5,,,,,2024,5,10
063532F013,서귀포 창천리,2024-05-11,18.4,21.4,16.5,88.4,112.3,0.2,5.2,61.5,,7.5,,,,,2024,5,11
063532F013,서귀포 창천리,2024-05-12,17.1,19.8,14.3,66.8,341.3,0.6,8.6,14.0,,7.1,,,,,2024,5,12
063532F013,서귀포 창천리,2024-05-13,18.4,24.0,13.1,46.0,358.8,0.7,12.2,0.0,,27.3,,,,,2024,5,13
063532F013,서귀포 창천리,2024-05-14,17.7,24.9,10.6,50.4,235.5,0.1,3.8,0.0,,29.4,,,,,2024,5,14
063532F013,서귀포 창천리,2024-05-15,15.8,24.5,10.7,54.6,277.9,1.0,10.4,0.0,,26.7,,,,,2024,5,15
063532F013,서귀포 창천리,2024-05-16,16.6,21.8,12.8,51.4,269.0,1.7,12.6,0.0,,29.5,,,,,2024,5,16
063532F013,서귀포 창천리,2024-05-17,17.1,22.3,9.8,62.9,150.0,0.1,5.0,0.0,,29.6,,,,,2024,5,17
063532F013,서귀포 창천리,2024-05-18,17.8,25.1,12.5,70.8,114.2,0.1,6.0,0.0,,27.5,,,,,2024,5,18
063532F013,서귀포 창천리,2024-05-19,20.2,28.0,13.1,44.0,124.4,0.1,5.2,0.0,,30.0,,,,,2024,5,19
063532F013,서귀포 창천리,2024-05-20,20.5,28.2,13.3,54.2,181.3,0.1,5.4,0.0,,23.8,,,,,2024,5,20
063532F013,서귀포 창천리,2024-05-21,19.9,26.6,13.8,65.5,116.8,0.1,5.8,0.0,,27.6,,,,,2024,5,21
063532F013,서귀포 창천리,2024-05-22,19.2,25.5,14.2,74.2,,0.0,4.0,0.0,,14.4,,,,,2024,5,22
063532F013,서귀포 창천리,2024-05-23,22.1,27.6,16.3,56.9,,0.0,2.4,0.0,,23.5,,,,,2024,5,23
063532F013,서귀포 창천리,2024-05-24,22.4,29.8,16.1,55.3,,0.0,1.1,0.0,,27.8,,,,,2024,5,24
063532F013,서귀포 창천리,2024-05-25,20.6,27.1,13.9,64.7,101.0,0.3,8.9,0.0,,28.2,,,,,2024,5,25
063532F013,서귀포 창천리,2024-05-26,20.3,22.0,18.0,88.7,83.2,0.0,5.8,44.0,,2.4,,,,,2024,5,26
063532F013,서귀포 창천리,2024-05-27,19.9,23.5,15.7,73.4,347.8,0.2,8.6,0.0,,11.3,,,,,2024,5,27
063532F013,서귀포 창천리,2024-05-28,19.1,24.2,13.8,58.0,327.4,0.5,9.7,0.0,,29.2,,,,,2024,5,28
063532F013,서귀포 창천리,2024-05-29,18.4,25.0,12.8,72.5,,0.0,5.4,0.0,,28.7,,,,,2024,5,29
063532F013,서귀포 창천리,2024-05-30,18.8,25.2,11.8,72.0,,0.0,3.3,1.0,,18.0,,,,,2024,5,30
063532F013,서귀포 창천리,2024-05-31,17.4,20.4,15.4,89.6,,0.0,4.4,4.5,,7.1,,,,,2024,5,31
