no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,063626F006,서귀포 표선면,2022-09-01,23.1,26.3,21.3,86.8,32.9,1.8,7.3,0.0,,9.7,,,,,2022,9,1
245,063626F006,서귀포 표선면,2022-09-02,22.0,23.4,22.9,98.9,21.0,2.0,10.2,169.5,,0.0,,,,,2022,9,2
246,063626F006,서귀포 표선면,2022-09-03,24.6,26.3,23.4,99.0,15.0,1.3,6.7,11.5,,4.5,,,,,2022,9,3
247,063626F006,서귀포 표선면,2022-09-04,24.6,28.5,22.0,98.3,354.7,0.7,7.5,45.0,,7.5,,,,,2022,9,4
248,063626F006,서귀포 표선면,2022-09-05,25.1,25.6,23.5,100.0,5.4,2.5,16.8,133.0,,1.7,,,,,2022,9,5
249,063626F006,서귀포 표선면,2022-09-06,22.2,25.7,16.6,77.5,149.2,1.2,11.7,9.5,,21.8,,,,,2022,9,6
250,063626F006,서귀포 표선면,2022-09-07,21.9,29.9,15.7,54.5,74.5,0.6,5.5,0.0,,24.8,,,,,2022,9,7
251,063626F006,서귀포 표선면,2022-09-08,22.1,28.0,18.5,77.6,38.7,1.2,5.9,0.0,,23.1,,,,,2022,9,8
252,063626F006,서귀포 표선면,2022-09-09,21.8,25.9,18.3,82.8,31.4,1.3,7.4,0.0,,15.1,,,,,2022,9,9
253,063626F006,서귀포 표선면,2022-09-10,23.0,26.3,21.0,88.2,23.4,1.8,8.4,0.0,,9.6,,,,,2022,9,10
254,063626F006,서귀포 표선면,2022-09-11,23.4,26.4,21.9,96.0,22.4,1.0,6.8,6.0,,8.7,,,,,2022,9,11
255,063626F006,서귀포 표선면,2022-09-12,23.3,24.3,22.3,97.2,27.9,1.3,6.6,0.5,,3.0,,,,,2022,9,12
256,063626F006,서귀포 표선면,2022-09-13,23.5,24.0,23.0,97.9,24.5,2.3,11.1,12.0,,1.8,,,,,2022,9,13
257,063626F006,서귀포 표선면,2022-09-14,24.4,25.1,23.9,94.9,19.9,2.6,8.8,0.0,,4.0,,,,,2022,9,14
258,063626F006,서귀포 표선면,2022-09-15,25.1,26.3,24.5,96.1,19.0,1.7,9.6,0.0,,5.2,,,,,2022,9,15
259,063626F006,서귀포 표선면,2022-09-16,26.0,30.3,23.2,93.8,2.8,0.5,5.1,0.0,,13.8,,,,,2022,9,16
260,063626F006,서귀포 표선면,2022-09-17,24.8,28.7,23.3,89.8,31.9,1.8,4.0,0.5,,13.3,,,,,2022,9,17
261,063626F006,서귀포 표선면,2022-09-18,26.6,30.9,24.0,78.3,36.3,2.6,12.9,0.0,,17.4,,,,,2022,9,18
262,063626F006,서귀포 표선면,2022-09-19,24.7,29.0,20.0,75.0,57.2,1.7,13.6,0.0,,23.5,,,,,2022,9,19
263,063626F006,서귀포 표선면,2022-09-20,20.5,23.9,16.7,73.2,30.3,1.6,11.4,0.0,,12.3,,,,,2022,9,20
264,063626F006,서귀포 표선면,2022-09-21,19.2,24.6,15.8,75.1,25.8,1.3,7.6,0.0,,14.4,,,,,2022,9,21
265,063626F006,서귀포 표선면,2022-09-22,20.1,24.9,16.3,83.1,31.4,1.2,6.2,0.0,,12.9,,,,,2022,9,22
266,063626F006,서귀포 표선면,2022-09-23,20.6,27.9,17.1,77.6,59.6,0.7,8.1,0.0,,17.7,,,,,2022,9,23
267,063626F006,서귀포 표선면,2022-09-24,19.0,24.8,15.8,63.8,44.0,1.3,7.5,0.0,,20.6,,,,,2022,9,24
268,063626F006,서귀포 표선면,2022-09-25,20.3,25.7,17.0,77.9,34.7,1.1,5.6,0.0,,14.3,,,,,2022,9,25
269,063626F006,서귀포 표선면,2022-09-26,20.9,27.3,16.8,76.7,38.4,0.8,5.7,0.0,,19.3,,,,,2022,9,26
270,063626F006,서귀포 표선면,2022-09-27,21.0,27.5,17.1,76.2,39.6,0.8,5.9,0.0,,19.9,,,,,2022,9,27
271,063626F006,서귀포 표선면,2022-09-28,21.1,24.6,17.4,90.4,31.6,0.7,4.9,0.0,,8.6,,,,,2022,9,28
272,063626F006,서귀포 표선면,2022-09-29,20.5,26.8,13.2,82.9,199.6,0.3,4.3,0.0,,16.5,,,,,2022,9,29
273,063626F006,서귀포 표선면,2022-09-30,18.8,26.6,12.3,80.2,72.9,0.2,4.7,0.0,,21.7,,,,,2022,9,30
