stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
063626F006,서귀포 표선면,2024-09-01,25.0,31.3,20.3,83.7,217.5,0.1,3.9,0.0,,21.8,,,,,2024,9,1
063626F006,서귀포 표선면,2024-09-02,24.6,30.8,19.3,81.9,206.6,0.1,4.2,0.0,,22.3,,,,,2024,9,2
063626F006,서귀포 표선면,2024-09-03,25.3,31.1,21.7,86.4,36.2,0.1,5.4,0.0,,14.3,,,,,2024,9,3
063626F006,서귀포 표선면,2024-09-04,25.7,30.1,22.0,84.1,32.3,0.2,6.1,0.0,,18.4,,,,,2024,9,4
063626F006,서귀포 표선면,2024-09-05,25.9,31.4,22.1,85.8,,0.0,3.8,0.0,,23.1,,,,,2024,9,5
063626F006,서귀포 표선면,2024-09-06,25.7,31.5,20.9,85.6,206.4,0.1,4.3,0.0,,21.7,,,,,2024,9,6
063626F006,서귀포 표선면,2024-09-07,25.5,31.5,20.8,87.2,210.0,0.1,4.7,0.0,,19.6,,,,,2024,9,7
063626F006,서귀포 표선면,2024-09-08,25.8,31.1,22.3,88.9,,0.0,3.9,0.0,,13.0,,,,,2024,9,8
063626F006,서귀포 표선면,2024-09-09,26.9,31.6,23.2,85.5,34.0,0.2,6.4,0.0,,20.2,,,,,2024,9,9
063626F006,서귀포 표선면,2024-09-10,27.8,31.8,25.1,86.7,31.6,0.4,7.2,1.0,,14.7,,,,,2024,9,10
063626F006,서귀포 표선면,2024-09-11,26.8,32.4,24.7,94.3,227.8,0.0,6.0,38.0,,8.1,,,,,2024,9,11
063626F006,서귀포 표선면,2024-09-12,27.5,32.0,23.8,90.0,214.2,0.1,5.6,0.0,,20.1,,,,,2024,9,12
063626F006,서귀포 표선면,2024-09-13,26.6,32.0,22.4,86.7,,0.0,3.9,0.0,,22.7,,,,,2024,9,13
063626F006,서귀포 표선면,2024-09-14,27.2,32.1,23.0,86.1,35.6,0.2,5.4,0.0,,22.2,,,,,2024,9,14
063626F006,서귀포 표선면,2024-09-15,28.6,31.9,26.1,89.2,29.6,0.7,7.2,0.0,,15.9,,,,,2024,9,15
063626F006,서귀포 표선면,2024-09-16,27.8,30.4,25.7,93.0,26.4,0.1,6.6,12.0,,8.4,,,,,2024,9,16
063626F006,서귀포 표선면,2024-09-17,27.1,31.7,25.0,93.9,,0.0,2.3,5.0,,12.6,,,,,2024,9,17
063626F006,서귀포 표선면,2024-09-18,27.5,32.4,24.9,89.6,,0.0,3.2,0.5,,16.7,,,,,2024,9,18
063626F006,서귀포 표선면,2024-09-19,26.9,32.2,24.0,90.6,20.6,0.2,6.1,64.0,,15.1,,,,,2024,9,19
063626F006,서귀포 표선면,2024-09-20,26.2,28.7,23.5,95.8,212.1,1.0,8.9,120.0,,6.8,,,,,2024,9,20
063626F006,서귀포 표선면,2024-09-21,26.5,28.0,24.3,94.5,208.2,1.7,12.5,12.5,,3.2,,,,,2024,9,21
063626F006,서귀포 표선면,2024-09-22,23.3,26.4,21.6,90.2,37.1,0.7,7.9,5.5,,11.9,,,,,2024,9,22
063626F006,서귀포 표선면,2024-09-23,22.3,24.6,20.3,83.1,27.1,1.1,9.1,1.5,,8.5,,,,,2024,9,23
063626F006,서귀포 표선면,2024-09-24,21.9,26.1,18.5,85.5,31.3,0.4,7.4,0.0,,12.5,,,,,2024,9,24
063626F006,서귀포 표선면,2024-09-25,23.1,27.2,20.8,92.3,31.8,0.2,6.2,6.0,,8.7,,,,,2024,9,25
063626F006,서귀포 표선면,2024-09-26,23.7,28.5,20.5,87.6,36.2,0.2,5.2,0.0,,19.4,,,,,2024,9,26
063626F006,서귀포 표선면,2024-09-26,23.7,28.5,20.5,87.6,36.2,0.2,5.2,0.0,,19.4,,,,,2024,9,26
063626F006,서귀포 표선면,2024-09-27,23.1,27.8,19.0,80.7,42.8,0.2,5.9,0.0,,18.5,,,,,2024,9,27
063626F006,서귀포 표선면,2024-09-28,23.8,27.1,20.0,83.0,29.4,0.7,7.2,0.0,,16.2,,,,,2024,9,28
063626F006,서귀포 표선면,2024-09-28,23.8,27.1,20.0,83.0,29.4,0.7,7.2,0.0,,16.2,,,,,2024,9,28
