no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,063626F006,서귀포 표선면,2020-01-01,3.3,7.5,0.2,70.2,35.3,1.5,8.4,0.0,,8.3,,,,,2020
2,063626F006,서귀포 표선면,2020-01-02,6.6,10.5,3.4,74.2,42.8,0.9,5.3,0.0,,5.1,,,,,2020
3,063626F006,서귀포 표선면,2020-01-03,7.7,14.2,5.0,73.6,37.6,1.4,7.7,0.0,,8.7,,,,,2020
4,063626F006,서귀포 표선면,2020-01-04,7.2,14.1,4.3,67.3,43.0,1.2,7.0,0.0,,12.0,,,,,2020
5,063626F006,서귀포 표선면,2020-01-05,7.1,12.6,2.8,73.7,40.1,0.9,5.2,0.0,,10.4,,,,,2020
6,063626F006,서귀포 표선면,2020-01-06,12.2,16.3,7.1,94.1,216.0,0.6,6.6,2.0,,1.9,,,,,2020
7,063626F006,서귀포 표선면,2020-01-07,16.6,18.8,11.4,97.2,209.1,3.1,14.0,14.5,,2.9,,,,,2020
8,063626F006,서귀포 표선면,2020-01-08,7.6,11.8,5.1,77.7,173.8,1.6,11.0,0.5,,12.8,,,,,2020
9,063626F006,서귀포 표선면,2020-01-09,5.8,7.5,4.5,79.7,39.7,1.3,8.7,0.0,,4.1,,,,,2020
10,063626F006,서귀포 표선면,2020-01-10,6.5,11.6,3.3,78.2,38.1,1.3,7.6,0.0,,12.2,,,,,2020
11,063626F006,서귀포 표선면,2020-01-11,6.6,7.8,5.5,70.1,37.8,1.0,8.4,0.0,,3.4,,,,,2020
12,063626F006,서귀포 표선면,2020-01-12,6.1,10.9,4.3,65.8,52.2,1.0,8.0,0.0,,10.5,,,,,2020
13,063626F006,서귀포 표선면,2020-01-13,5.6,10.3,3.3,63.0,39.2,1.0,7.8,0.0,,12.0,,,,,2020
14,063626F006,서귀포 표선면,2020-01-14,2.4,4.2,0.4,91.1,38.6,1.3,7.0,14.5,,2.6,,,,,2020
15,063626F006,서귀포 표선면,2020-01-15,3.7,7.6,0.3,78.3,37.3,1.1,8.1,0.0,,11.1,,,,,2020
