no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,699946A001,서귀포 하례리,2023-01-01,5.6,12.8,0.6,66.0,,0.0,0.0,0.0,449,8.6,0,5.7,,50.0,2023,1,1
2,699946A001,서귀포 하례리,2023-01-02,5.1,12.5,-0.4,65.1,,0.0,0.0,0.0,294,8.4,36,5.4,,50.0,2023,1,2
3,699946A001,서귀포 하례리,2023-01-03,4.1,10.4,-1.1,67.1,,0.0,0.0,0.0,447,7.9,288,4.6,,50.0,2023,1,3
4,699946A001,서귀포 하례리,2023-01-04,4.9,11.8,-0.5,63.5,,0.0,0.0,0.0,515,7.2,162,5.4,,50.0,2023,1,4
5,699946A001,서귀포 하례리,2023-01-05,5.6,13.5,-0.5,68.8,,0.0,0.0,0.0,460,7.3,521,5.6,,50.0,2023,1,5
6,699946A001,서귀포 하례리,2023-01-06,7.0,12.2,1.2,68.7,,0.0,0.0,0.0,107,7.5,292,5.2,,50.0,2023,1,6
7,699946A001,서귀포 하례리,2023-01-07,7.4,11.8,2.3,50.4,,0.0,0.0,0.0,507,8.0,33,6.7,,50.0,2023,1,7
8,699946A001,서귀포 하례리,2023-01-08,7.1,15.2,1.0,64.9,,0.0,0.0,0.0,518,8.2,0,7.8,,50.0,2023,1,8
9,699946A001,서귀포 하례리,2023-01-09,10.2,17.7,4.8,69.3,,0.0,0.0,0.0,439,8.2,0,8.8,,50.0,2023,1,9
10,699946A001,서귀포 하례리,2023-01-10,9.0,14.1,1.8,52.2,,0.0,0.0,0.0,522,7.7,0,8.5,,50.0,2023,1,10
11,699946A001,서귀포 하례리,2023-01-11,8.6,15.6,4.1,71.0,,0.0,0.0,0.0,525,8.2,0,9.5,,50.0,2023,1,11
12,699946A001,서귀포 하례리,2023-01-12,12.2,15.8,5.6,87.7,,0.0,0.0,27.0,71,8.2,736,10.5,,50.0,2023,1,12
13,699946A001,서귀포 하례리,2023-01-13,16.2,17.5,14.6,97.6,,0.0,0.0,76.5,0,8.1,1136,15.4,,50.0,2023,1,13
14,699946A001,서귀포 하례리,2023-01-14,14.3,16.8,11.6,95.3,,0.0,0.0,3.5,2,8.0,957,14.0,,50.0,2023,1,14
15,699946A001,서귀포 하례리,2023-01-15,8.2,12.3,4.3,87.3,,0.0,0.0,3.0,0,7.4,821,8.0,,50.0,2023,1,15
16,699946A001,서귀포 하례리,2023-01-16,4.2,8.4,0.7,66.8,,0.0,0.0,0.0,489,6.8,0,6.3,,50.0,2023,1,16
17,699946A001,서귀포 하례리,2023-01-17,4.1,8.8,-0.2,68.3,,0.0,0.0,0.0,113,6.7,32,4.1,,50.0,2023,1,17
18,699946A001,서귀포 하례리,2023-01-18,4.5,9.1,2.4,61.6,,0.0,0.0,0.0,178,6.8,0,3.9,,50.0,2023,1,18
19,699946A001,서귀포 하례리,2023-01-19,5.0,9.9,0.5,58.9,,0.0,0.0,0.0,271,6.8,0,4.6,,50.0,2023,1,19
20,699946A001,서귀포 하례리,2023-01-20,3.7,9.1,-2.9,59.4,,0.0,0.0,0.0,473,6.7,0,3.2,,50.0,2023,1,20
21,699946A001,서귀포 하례리,2023-01-21,0.9,5.9,-3.8,75.9,,0.0,0.0,0.0,13,6.4,193,-0.2,,50.0,2023,1,21
22,699946A001,서귀포 하례리,2023-01-22,5.6,8.6,0.3,77.9,,0.0,0.0,4.0,0,6.6,722,3.2,,50.0,2023,1,22
23,699946A001,서귀포 하례리,2023-01-23,7.6,12.1,3.5,62.7,,0.0,0.0,0.0,356,6.8,100,6.9,,50.0,2023,1,23
24,699946A001,서귀포 하례리,2023-01-24,-2.8,4.5,-5.9,71.0,,0.0,0.0,0.0,133,6.5,141,-1.9,,50.0,2023,1,24
25,699946A001,서귀포 하례리,2023-01-25,-1.9,4.1,-5.9,66.5,,0.0,0.0,5.5,385,6.4,114,-1.4,,50.0,2023,1,25
26,699946A001,서귀포 하례리,2023-01-26,4.3,9.9,-0.3,64.4,,0.0,0.0,2.0,288,6.7,37,3.0,,50.0,2023,1,26
27,699946A001,서귀포 하례리,2023-01-27,0.8,5.6,-2.2,79.4,,0.0,0.0,1.5,23,6.6,944,-0.3,,50.0,2023,1,27
28,699946A001,서귀포 하례리,2023-01-28,0.1,4.6,-2.6,70.6,,0.0,0.0,4.0,238,6.6,798,0.3,,50.0,2023,1,28
29,699946A001,서귀포 하례리,2023-01-29,2.8,8.2,-2.5,65.9,,0.0,0.0,0.5,35,6.5,0,0.8,,50.0,2023,1,29
30,699946A001,서귀포 하례리,2023-01-30,3.7,10.6,-1.5,56.1,,0.0,0.0,0.0,564,6.6,0,3.8,,50.0,2023,1,30
31,699946A001,서귀포 하례리,2023-01-31,5.8,13.0,-1.3,66.0,,0.0,0.0,0.0,541,6.7,0,5.9,,50.0,2023,1,31
