no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,063541F014,서귀포 하원동,2022-02-01,5.2,8.6,1.1,56.6,309.9,1.8,13.9,0.0,,12.2,,,,,2022,2,1
33,063541F014,서귀포 하원동,2022-02-02,5.2,9.6,0.4,52.8,336.2,0.7,7.4,0.0,,7.5,,,,,2022,2,2
34,063541F014,서귀포 하원동,2022-02-03,6.5,12.0,3.5,35.1,62.9,0.7,6.8,0.0,,10.8,,,,,2022,2,3
35,063541F014,서귀포 하원동,2022-02-04,4.9,8.8,2.6,38.9,331.1,2.0,11.0,0.0,,13.4,,,,,2022,2,4
36,063541F014,서귀포 하원동,2022-02-05,2.1,4.6,0.8,60.1,304.5,2.4,12.5,0.0,,11.8,,,,,2022,2,5
37,063541F014,서귀포 하원동,2022-02-06,3.1,7.3,0.6,55.2,306.3,1.5,9.4,0.5,,11.6,,,,,2022,2,6
38,063541F014,서귀포 하원동,2022-02-07,4.8,11.1,1.0,69.4,281.0,0.4,6.7,3.5,,7.4,,,,,2022,2,7
39,063541F014,서귀포 하원동,2022-02-08,5.3,11.4,1.6,74.5,149.6,0.4,5.2,0.0,,13.5,,,,,2022,2,8
40,063541F014,서귀포 하원동,2022-02-09,6.4,13.2,0.6,71.3,61.4,0.4,5.4,5.0,,10.2,,,,,2022,2,9
41,063541F014,서귀포 하원동,2022-02-10,6.0,11.3,2.5,72.9,339.2,0.8,9.8,2.5,,10.4,,,,,2022,2,10
42,063541F014,서귀포 하원동,2022-02-11,7.5,14.2,2.2,49.0,143.1,0.5,5.7,0.0,,14.6,,,,,2022,2,11
43,063541F014,서귀포 하원동,2022-02-12,9.1,12.4,6.1,46.7,94.9,1.0,8.3,0.0,,6.7,,,,,2022,2,12
44,063541F014,서귀포 하원동,2022-02-13,9.7,12.0,7.2,65.5,68.4,0.6,5.9,0.0,,2.9,,,,,2022,2,13
45,063541F014,서귀포 하원동,2022-02-14,9.5,16.6,5.3,59.6,314.7,0.9,8.5,0.0,,11.7,,,,,2022,2,14
46,063541F014,서귀포 하원동,2022-02-15,3.9,9.0,0.3,57.3,305.3,2.3,16.2,0.0,,15.2,,,,,2022,2,15
47,063541F014,서귀포 하원동,2022-02-16,1.4,5.2,-0.6,61.0,302.6,2.3,,0.0,,14.4,,,,,2022,2,16
48,063541F014,서귀포 하원동,2022-02-17,1.4,5.9,-1.3,55.2,319.8,1.3,,0.0,,11.2,,,,,2022,2,17
49,063541F014,서귀포 하원동,2022-02-18,5.5,10.2,0.3,63.1,91.5,1.7,7.6,0.5,,7.1,,,,,2022,2,18
50,063541F014,서귀포 하원동,2022-02-19,5.6,9.3,1.7,76.2,343.2,1.3,12.2,3.0,,10.3,,,,,2022,2,19
51,063541F014,서귀포 하원동,2022-02-20,0.7,3.2,-2.1,61.5,309.0,2.3,13.9,1.0,,13.7,,,,,2022,2,20
52,063541F014,서귀포 하원동,2022-02-21,3.4,8.2,-1.5,54.0,309.7,1.1,8.1,0.0,,11.8,,,,,2022,2,21
53,063541F014,서귀포 하원동,2022-02-22,3.7,7.4,1.0,53.9,312.2,1.4,10.5,0.0,,15.6,,,,,2022,2,22
54,063541F014,서귀포 하원동,2022-02-23,3.7,8.0,-0.2,49.3,325.8,1.2,9.9,0.0,,11.4,,,,,2022,2,23
55,063541F014,서귀포 하원동,2022-02-24,3.5,9.7,-0.6,54.9,316.8,1.2,11.7,0.0,,17.3,,,,,2022,2,24
56,063541F014,서귀포 하원동,2022-02-25,6.2,12.7,0.3,53.9,306.7,0.8,7.4,0.0,,18.0,,,,,2022,2,25
57,063541F014,서귀포 하원동,2022-02-26,8.3,15.0,1.2,58.4,286.3,1.1,9.0,0.0,,17.4,,,,,2022,2,26
58,063541F014,서귀포 하원동,2022-02-27,8.4,14.9,3.7,48.2,16.2,1.1,12.3,0.0,,18.7,,,,,2022,2,27
59,063541F014,서귀포 하원동,2022-02-28,9.2,13.6,2.8,58.4,92.5,0.6,4.4,0.0,,8.2,,,,,2022,2,28
