stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
063541F014,서귀포 하원동,2024-03-01,3.5,8.8,-0.2,58.4,338.1,2.7,16.1,2.0,,15.8,,,,,2024,3,1
063541F014,서귀포 하원동,2024-03-02,3.7,8.2,0.0,56.0,302.7,1.6,10.3,0.0,,15.3,,,,,2024,3,2
063541F014,서귀포 하원동,2024-03-03,6.8,11.4,3.1,60.4,291.0,1.3,8.0,0.0,,5.5,,,,,2024,3,3
063541F014,서귀포 하원동,2024-03-04,9.1,14.6,4.7,70.9,96.3,2.0,12.4,9.0,,7.5,,,,,2024,3,4
063541F014,서귀포 하원동,2024-03-05,12.1,14.2,9.9,79.5,95.0,3.2,12.9,4.5,,2.7,,,,,2024,3,5
063541F014,서귀포 하원동,2024-03-06,10.6,13.8,8.1,68.9,358.2,1.1,6.5,0.0,,6.8,,,,,2024,3,6
063541F014,서귀포 하원동,2024-03-07,8.4,14.7,3.5,48.8,315.8,1.7,11.3,0.0,,17.1,,,,,2024,3,7
063541F014,서귀포 하원동,2024-03-08,7.0,11.1,4.4,46.7,320.8,2.2,11.7,0.0,,18.6,,,,,2024,3,8
063541F014,서귀포 하원동,2024-03-09,7.0,13.2,3.2,51.1,315.8,1.4,9.4,0.0,,20.3,,,,,2024,3,9
063541F014,서귀포 하원동,2024-03-10,8.6,15.0,3.7,58.2,241.6,1.1,6.7,0.0,,20.4,,,,,2024,3,10
063541F014,서귀포 하원동,2024-03-11,9.6,15.5,6.1,77.7,65.2,0.8,7.7,14.5,,6.6,,,,,2024,3,11
063541F014,서귀포 하원동,2024-03-12,9.3,15.0,4.9,72.6,305.8,1.7,10.3,0.5,,17.0,,,,,2024,3,12
063541F014,서귀포 하원동,2024-03-13,9.3,15.7,2.8,49.7,280.7,1.3,10.2,0.0,,20.1,,,,,2024,3,13
063541F014,서귀포 하원동,2024-03-14,9.9,15.7,4.7,59.8,227.4,0.9,,0.0,,15.9,,,,,2024,3,14
063541F014,서귀포 하원동,2024-03-15,11.7,18.3,5.0,46.0,234.3,1.2,6.1,0.0,,20.8,,,,,2024,3,15
063541F014,서귀포 하원동,2024-03-16,13.4,19.6,6.8,62.9,87.4,0.9,4.7,2.5,,14.1,,,,,2024,3,16
063541F014,서귀포 하원동,2024-03-17,15.4,20.4,10.9,64.4,60.7,1.2,11.7,2.0,,12.5,,,,,2024,3,17
063541F014,서귀포 하원동,2024-03-18,12.2,15.8,7.9,48.4,110.8,1.2,8.0,0.0,,19.1,,,,,2024,3,18
063541F014,서귀포 하원동,2024-03-19,11.8,16.5,6.9,51.8,288.6,2.7,14.2,0.0,,17.7,,,,,2024,3,19
063541F014,서귀포 하원동,2024-03-20,7.5,11.3,4.8,46.3,297.2,2.8,13.0,0.0,,22.1,,,,,2024,3,20
063541F014,서귀포 하원동,2024-03-21,7.9,13.3,2.2,53.7,269.3,1.3,8.7,0.0,,22.0,,,,,2024,3,21
063541F014,서귀포 하원동,2024-03-22,13.1,18.3,5.7,67.4,135.7,1.1,7.7,0.0,,14.2,,,,,2024,3,22
063541F014,서귀포 하원동,2024-03-23,16.7,20.7,15.2,84.5,249.3,1.3,5.6,0.5,,13.9,,,,,2024,3,23
063541F014,서귀포 하원동,2024-03-24,15.6,16.7,14.1,83.8,99.8,3.1,11.1,13.0,,4.7,,,,,2024,3,24
063541F014,서귀포 하원동,2024-03-25,14.9,16.4,13.0,81.2,100.2,3.7,13.6,4.5,,6.0,,,,,2024,3,25
063541F014,서귀포 하원동,2024-03-26,11.8,14.8,8.0,77.8,335.9,2.1,12.5,4.5,,18.5,,,,,2024,3,26
063541F014,서귀포 하원동,2024-03-27,12.0,16.9,6.6,68.2,107.4,1.8,7.8,0.0,,17.8,,,,,2024,3,27
063541F014,서귀포 하원동,2024-03-28,13.0,15.5,10.9,91.4,271.4,2.1,10.3,77.5,,1.1,,,,,2024,3,28
063541F014,서귀포 하원동,2024-03-29,12.3,16.3,6.7,84.2,269.5,1.8,7.6,0.0,,9.7,,,,,2024,3,29
063541F014,서귀포 하원동,2024-03-30,15.1,20.5,10.0,81.5,252.9,1.4,6.3,0.0,,17.4,,,,,2024,3,30
063541F014,서귀포 하원동,2024-03-31,14.7,19.5,11.5,77.8,102.2,0.7,4.5,0.0,,7.1,,,,,2024,3,31
