stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
063541F014,서귀포 하원동,2024-10-01,24.9,29.8,21.0,74.3,331.8,1.1,10.4,0.5,,12.9,,,,
063541F014,서귀포 하원동,2024-10-02,21.2,25.6,17.7,51.4,44.2,1.7,12.6,0.0,,14.3,,,,
063541F014,서귀포 하원동,2024-10-03,20.3,25.5,17.5,60.3,38.3,0.7,5.4,0.0,,10.4,,,,
063541F014,서귀포 하원동,2024-10-04,21.2,25.9,16.5,63.1,93.5,1.5,8.1,0.0,,19.4,,,,
063541F014,서귀포 하원동,2024-10-05,22.0,27.3,16.3,53.7,86.0,1.5,8.1,0.0,,18.6,,,,
063541F014,서귀포 하원동,2024-10-06,21.7,27.7,18.5,74.0,265.8,0.6,5.7,9.5,,9.0,,,,
063541F014,서귀포 하원동,2024-10-07,19.6,22.1,17.1,83.1,314.6,0.6,5.1,1.0,,4.6,,,,
063541F014,서귀포 하원동,2024-10-08,21.1,26.7,17.2,63.3,29.4,1.1,7.0,0.5,,16.6,,,,
063541F014,서귀포 하원동,2024-10-09,19.1,24.4,16.1,74.0,80.4,0.9,7.8,15.0,,5.5,,,,
063541F014,서귀포 하원동,2024-10-10,21.3,26.4,18.8,67.9,86.5,1.3,6.9,0.0,,13.4,,,,
063541F014,서귀포 하원동,2024-10-11,21.2,27.2,16.8,63.5,150.0,0.8,5.0,0.0,,18.2,,,,
063541F014,서귀포 하원동,2024-10-12,21.0,26.8,16.1,60.3,102.2,1.3,7.6,0.0,,16.9,,,,
063541F014,서귀포 하원동,2024-10-13,21.7,26.3,16.2,55.9,97.5,2.0,10.4,0.0,,16.2,,,,
063541F014,서귀포 하원동,2024-10-14,22.5,26.7,19.8,79.4,100.5,0.9,5.2,8.5,,6.7,,,,
063541F014,서귀포 하원동,2024-10-15,24.5,29.5,20.9,79.3,300.3,0.9,6.6,0.5,,12.5,,,,
063541F014,서귀포 하원동,2024-10-16,23.2,28.4,20.2,75.5,255.3,0.7,4.2,0.0,,11.9,,,,
063541F014,서귀포 하원동,2024-10-17,23.0,26.8,19.4,71.3,102.6,1.9,9.9,0.0,,7.5,,,,
063541F014,서귀포 하원동,2024-10-18,24.7,28.3,22.5,92.9,181.3,1.8,6.6,13.5,,5.8,,,,
063541F014,서귀포 하원동,2024-10-20,18.2,19.4,16.9,70.7,101.8,4.4,16.2,2.0,,10.0,,,,
