stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
137180A001,서울시 서초구,2024-05-01,16.6,27.1,10.0,78.6,274.1,0.0,3.5,0.0,,,0,,,17.3,2024,5,1
137180A001,서울시 서초구,2024-05-02,16.1,26.3,7.5,79.6,268.4,0.3,7.0,0.0,,,0,,,16.3,2024,5,2
137180A001,서울시 서초구,2024-05-03,17.0,31.1,5.1,78.3,272.8,0.1,4.4,0.0,,,0,,,15.4,2024,5,3
137180A001,서울시 서초구,2024-05-04,18.7,31.1,7.2,79.0,271.2,0.2,5.7,0.0,,,0,,,14.5,2024,5,4
137180A001,서울시 서초구,2024-05-05,16.9,18.5,14.6,99.1,206.9,0.3,7.0,39.5,,,0,,,19.8,2024,5,5
137180A001,서울시 서초구,2024-05-06,13.9,15.7,12.9,99.5,265.9,0.1,4.7,9.5,,,0,,,25.9,2024,5,6
137180A001,서울시 서초구,2024-05-07,12.5,14.6,9.2,99.5,271.8,0.0,3.2,5.0,,,0,,,25.6,2024,5,7
137180A001,서울시 서초구,2024-05-08,13.7,24.4,4.5,84.8,273.9,0.1,4.9,0.0,,,0,,,24.2,2024,5,8
137180A001,서울시 서초구,2024-05-09,14.7,24.3,5.5,84.7,272.9,0.6,6.9,0.0,,,0,,,22.4,2024,5,9
137180A001,서울시 서초구,2024-05-10,16.3,26.9,8.0,80.7,269.6,0.4,6.5,0.0,,,0,,,20.9,2024,5,10
137180A001,서울시 서초구,2024-05-11,15.6,25.1,7.6,96.1,259.8,0.7,9.0,21.5,,,0,,,21.2,2024,5,11
137180A001,서울시 서초구,2024-05-12,16.0,23.8,8.8,87.3,270.1,0.4,7.2,0.0,,,0,,,23.5,2024,5,12
137180A001,서울시 서초구,2024-05-13,16.3,27.0,6.5,80.2,272.5,0.3,7.1,0.0,,,0,,,22.0,2024,5,13
137180A001,서울시 서초구,2024-05-14,16.3,27.1,6.5,78.7,267.2,0.4,5.6,0.0,,,0,,,20.5,2024,5,14
137180A001,서울시 서초구,2024-05-15,11.3,21.1,6.6,96.1,274.0,0.3,7.0,25.5,,,0,,,21.7,2024,5,15
137180A001,서울시 서초구,2024-05-16,12.8,21.9,6.1,84.0,268.6,0.6,7.8,1.5,,,0,,,24.7,2024,5,16
137180A001,서울시 서초구,2024-05-17,16.6,28.3,6.0,87.2,267.7,0.2,5.6,0.0,,,0,,,22.8,2024,5,17
137180A001,서울시 서초구,2024-05-18,18.7,29.9,9.6,89.3,272.3,0.2,5.3,0.0,,,0,,,21.7,2024,5,18
137180A001,서울시 서초구,2024-05-19,20.2,31.6,11.3,84.0,269.7,0.2,6.1,0.0,,,0,,,20.4,2024,5,19
137180A001,서울시 서초구,2024-05-20,18.7,25.1,13.0,96.4,271.4,0.3,5.3,0.0,,,0,,,19.4,2024,5,20
137180A001,서울시 서초구,2024-05-21,21.6,32.1,14.1,87.7,,0.0,4.1,0.0,,,0,,,18.8,2024,5,21
137180A001,서울시 서초구,2024-05-22,19.8,29.5,13.2,90.2,273.0,0.3,4.9,0.0,,,0,,,17.9,2024,5,22
137180A001,서울시 서초구,2024-05-23,20.0,29.8,12.3,87.7,267.4,0.3,5.0,0.0,,,0,,,17.0,2024,5,23
137180A001,서울시 서초구,2024-05-24,19.6,26.7,12.8,94.8,272.0,0.1,5.4,0.0,,,0,,,16.4,2024,5,24
137180A001,서울시 서초구,2024-05-25,20.2,26.7,15.6,88.2,201.2,0.0,3.7,0.0,,,0,,,16.0,2024,5,25
137180A001,서울시 서초구,2024-05-26,19.4,25.9,14.3,92.8,266.5,0.3,6.6,6.5,,,0,,,15.8,2024,5,26
137180A001,서울시 서초구,2024-05-27,17.7,24.4,11.3,86.4,271.9,0.7,7.5,0.0,,,0,,,17.3,2024,5,27
137180A001,서울시 서초구,2024-05-28,18.3,29.2,9.7,82.8,176.1,0.0,5.0,0.0,,,0,,,16.7,2024,5,28
137180A001,서울시 서초구,2024-05-29,18.9,29.5,9.5,80.8,266.4,0.3,5.7,0.0,,,0,,,15.6,2024,5,29
137180A001,서울시 서초구,2024-05-30,18.3,27.1,10.9,87.6,,0.0,2.0,0.0,,,0,,,15.0,2024,5,30
137180A001,서울시 서초구,2024-05-31,20.0,28.2,11.7,83.1,272.4,0.4,6.4,0.0,,,0,,,14.4,2024,5,31
