stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
719862A001,성주군 대가면,2024-10-01,19.2,25.9,14.1,81.4,275.8,0.4,4.5,0.0,430.0,8.5,0.0,19.9,24.5,10.5
719862A001,성주군 대가면,2024-10-02,16.0,22.5,10.0,64.7,43.0,0.8,5.5,0.0,654.0,17.5,0.0,16.2,23.8,9.5
719862A001,성주군 대가면,2024-10-03,15.6,20.3,11.0,83.4,269.1,0.6,4.0,5.0,10.0,4.7,463.0,15.9,22.9,8.9
719862A001,성주군 대가면,2024-10-04,16.7,24.5,11.6,83.1,81.6,0.4,4.6,0.5,654.0,19.5,728.0,17.6,22.2,8.8
719862A001,성주군 대가면,2024-10-05,16.5,24.6,9.9,86.0,112.0,0.4,3.7,0.0,593.0,17.5,22.0,17.4,22.1,8.6
719862A001,성주군 대가면,2024-10-06,17.0,22.9,12.7,94.4,70.0,0.2,2.8,2.5,102.0,7.5,557.0,17.6,22.1,8.6
719862A001,성주군 대가면,2024-10-07,17.3,21.3,14.8,90.6,278.2,0.3,4.0,3.0,62.0,7.5,874.0,18.0,22.1,8.8
719862A001,성주군 대가면,2024-10-08,18.4,25.3,13.2,82.7,79.0,0.5,4.1,0.0,617.0,17.0,0.0,19.4,22.0,9.0
719862A001,성주군 대가면,2024-10-09,17.5,23.8,12.3,83.8,112.7,0.4,3.7,0.0,560.0,15.5,0.0,18.4,22.0,8.8
719862A001,성주군 대가면,2024-10-10,16.7,25.5,10.8,84.4,93.7,0.4,3.7,0.0,585.0,16.3,0.0,16.9,21.7,8.4
719862A001,성주군 대가면,2024-10-11,17.1,25.9,10.7,86.1,131.7,0.3,3.5,0.0,563.0,16.8,0.0,17.9,21.5,7.9
719862A001,성주군 대가면,2024-10-12,17.0,26.1,11.3,84.9,126.4,0.3,3.4,0.0,553.0,16.6,0.0,17.4,21.5,7.3
719862A001,성주군 대가면,2024-10-13,16.7,25.3,8.8,85.9,118.8,0.4,8.0,0.0,481.0,12.9,0.0,17.4,21.2,7.0
719862A001,성주군 대가면,2024-10-14,18.1,22.3,15.5,96.7,76.6,0.2,1.8,23.5,5.0,3.9,528.0,18.3,21.3,9.5
719862A001,성주군 대가면,2024-10-15,18.7,21.1,17.2,99.9,173.2,0.1,2.2,3.0,0.0,3.0,1430.0,19.0,21.2,20.9
