no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,040054B002,성주군 대천리,2020-06-01,21.5,26.4,14.2,60.5,213.2,1.0,9.0,0.0,672.0,30.1,0.0,,22.2,50.0,2020,6,1
153,040054B002,성주군 대천리,2020-06-02,19.4,27.5,10.6,59.0,94.6,0.3,5.6,6.5,384.0,22.3,17.0,,21.8,50.0,2020,6,2
154,040054B002,성주군 대천리,2020-06-03,21.4,29.5,13.8,74.6,165.4,0.6,5.2,0.0,332.0,23.9,0.0,,22.1,50.0,2020,6,3
155,040054B002,성주군 대천리,2020-06-04,24.3,34.5,15.3,70.2,139.8,0.3,4.2,0.0,593.0,28.9,0.0,,22.9,50.0,2020,6,4
156,040054B002,성주군 대천리,2020-06-05,25.0,33.7,16.1,70.3,124.4,0.4,4.2,0.0,525.0,24.8,0.0,,23.5,50.0,2020,6,5
157,040054B002,성주군 대천리,2020-06-06,22.0,27.4,18.6,71.3,76.8,0.6,5.6,0.0,304.0,17.4,0.0,,23.6,50.0,2020,6,6
158,040054B002,성주군 대천리,2020-06-07,23.1,30.7,16.2,63.0,132.8,0.5,4.7,0.0,464.0,26.6,0.0,,23.5,50.0,2020,6,7
159,040054B002,성주군 대천리,2020-06-08,24.7,33.6,16.2,70.0,159.3,0.5,4.5,5.0,570.0,28.3,25.0,,24.2,50.0,2020,6,8
160,040054B002,성주군 대천리,2020-06-09,25.8,34.7,17.1,67.4,152.5,0.7,5.1,10.5,576.0,29.0,0.0,,24.6,50.0,2020,6,9
161,040054B002,성주군 대천리,2020-06-10,25.8,34.5,18.6,72.7,158.7,0.6,7.2,7.0,575.0,25.5,137.0,,25.1,50.0,2020,6,10
162,040054B002,성주군 대천리,2020-06-11,24.5,30.6,20.1,85.1,85.8,0.6,4.8,15.0,383.0,25.0,237.0,,25.1,50.0,2020,6,11
163,040054B002,성주군 대천리,2020-06-12,24.1,29.3,19.7,93.6,248.0,0.3,3.7,29.0,7.0,9.8,294.0,,25.4,50.0,2020,6,12
164,040054B002,성주군 대천리,2020-06-13,23.3,28.8,19.1,90.3,132.8,0.7,4.9,8.0,226.0,18.3,415.0,,24.9,50.0,2020,6,13
165,040054B002,성주군 대천리,2020-06-14,24.5,29.9,19.7,86.5,244.3,0.7,7.6,18.5,59.0,16.8,497.0,,25.2,50.0,2020,6,14
166,040054B002,성주군 대천리,2020-06-15,22.8,30.5,15.1,71.9,167.8,0.4,5.4,0.0,593.0,28.2,88.0,,25.0,50.0,2020,6,15
167,040054B002,성주군 대천리,2020-06-16,23.2,30.5,14.5,66.9,91.5,0.6,5.2,0.0,587.0,29.6,0.0,,25.2,50.0,2020,6,16
168,040054B002,성주군 대천리,2020-06-17,21.7,26.3,17.0,80.4,155.0,0.3,3.7,0.0,116.0,14.8,0.0,,25.0,50.0,2020,6,17
169,040054B002,성주군 대천리,2020-06-18,18.4,20.5,16.4,96.1,273.9,0.3,3.2,8.5,0.0,6.5,178.0,,24.1,50.0,2020,6,18
170,040054B002,성주군 대천리,2020-06-19,21.9,29.0,16.8,78.8,270.3,0.9,4.9,0.5,288.0,19.6,0.0,,23.8,50.0,2020,6,19
171,040054B002,성주군 대천리,2020-06-20,22.9,28.8,18.7,77.3,135.6,0.5,5.8,0.0,289.0,24.7,0.0,,24.8,50.0,2020,6,20
172,040054B002,성주군 대천리,2020-06-21,23.1,29.9,17.5,80.2,97.8,0.6,4.8,0.0,511.0,25.4,0.0,,25.2,50.0,2020,6,21
173,040054B002,성주군 대천리,2020-06-22,23.6,32.7,14.5,74.3,177.5,0.6,6.1,0.0,679.0,30.2,0.0,,25.4,50.0,2020,6,22
174,040054B002,성주군 대천리,2020-06-23,24.4,32.1,17.4,75.6,150.0,0.6,5.0,0.0,530.0,27.4,0.0,,25.8,50.0,2020,6,23
175,040054B002,성주군 대천리,2020-06-24,21.3,23.3,19.2,87.4,102.5,1.0,5.3,14.5,0.0,3.4,0.0,,25.0,50.0,2020,6,24
176,040054B002,성주군 대천리,2020-06-25,21.9,24.9,19.5,97.4,86.6,0.5,4.0,1.0,0.0,6.7,0.0,,24.0,50.0,2020,6,25
177,040054B002,성주군 대천리,2020-06-26,23.1,29.1,18.5,80.1,199.3,0.7,7.2,0.0,377.0,26.1,0.0,,24.5,50.0,2020,6,26
178,040054B002,성주군 대천리,2020-06-27,23.5,29.7,18.0,82.7,165.5,0.4,2.9,0.0,129.0,19.4,0.0,,24.9,50.0,2020,6,27
179,040054B002,성주군 대천리,2020-06-28,24.5,30.9,18.2,77.8,85.9,0.8,5.1,0.0,606.0,28.0,0.0,,25.4,50.0,2020,6,28
180,040054B002,성주군 대천리,2020-06-29,20.7,26.0,18.1,93.6,129.7,0.6,5.2,60.5,0.0,7.2,0.0,,25.0,50.0,2020,6,29
181,040054B002,성주군 대천리,2020-06-30,22.0,26.9,18.5,85.5,191.2,1.1,8.6,11.5,87.0,15.3,0.0,,23.9,50.0,2020,6,30
