no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
91,217060A001,속초시 대포동,2017-04-01,6.0,9.0,4.0,84.0,179.4,1.0,10.5,12.5,72,,7,6.2,7.7,,2017,4,1
92,217060A001,속초시 대포동,2017-04-02,8.7,14.0,2.4,62.5,183.6,1.3,8.4,0.0,646,,0,9.3,7.6,,2017,4,2
93,217060A001,속초시 대포동,2017-04-03,17.4,22.9,9.7,26.3,253.5,1.9,8.5,0.0,683,,0,17.1,8.8,,2017,4,3
94,217060A001,속초시 대포동,2017-04-04,13.9,18.4,8.3,54.1,175.2,1.2,7.1,0.0,636,,0,13.9,10.0,,2017,4,4
95,217060A001,속초시 대포동,2017-04-05,13.7,18.4,9.3,56.3,237.9,1.0,7.7,5.5,0,,21,12.9,10.4,,2017,4,5
96,217060A001,속초시 대포동,2017-04-06,13.6,21.4,9.3,75.2,179.2,1.0,7.9,1.5,426,,195,13.8,10.5,,2017,4,6
97,217060A001,속초시 대포동,2017-04-07,13.3,17.0,9.3,74.8,103.8,1.1,6.4,0.0,635,,0,14.0,11.2,,2017,4,7
98,217060A001,속초시 대포동,2017-04-08,14.3,19.0,10.8,76.7,100.6,0.6,4.9,0.0,445,,0,15.3,12.1,,2017,4,8
99,217060A001,속초시 대포동,2017-04-09,11.2,14.5,6.2,66.6,140.8,1.0,7.2,6.0,280,,20,11.5,12.4,,2017,4,9
100,217060A001,속초시 대포동,2017-04-10,10.2,13.8,6.4,58.6,159.4,1.9,8.3,0.0,700,,0,11.1,11.5,,2017,4,10
101,217060A001,속초시 대포동,2017-04-11,10.5,14.0,7.2,76.0,165.7,1.2,6.4,0.0,384,,0,11.0,11.4,,2017,4,11
102,217060A001,속초시 대포동,2017-04-12,11.8,16.1,7.1,49.1,153.8,1.8,12.6,0.0,689,,0,12.7,11.6,,2017,4,12
103,217060A001,속초시 대포동,2017-04-13,13.2,18.8,4.5,37.4,159.7,1.7,8.5,0.0,695,,0,13.9,11.3,,2017,4,13
104,217060A001,속초시 대포동,2017-04-14,16.7,22.8,13.5,41.2,205.3,2.4,13.4,0.5,326,,0,16.4,12.0,,2017,4,14
105,217060A001,속초시 대포동,2017-04-15,20.4,26.3,13.5,38.9,243.9,2.3,11.9,0.0,690,,0,20.2,12.7,,2017,4,15
106,217060A001,속초시 대포동,2017-04-16,21.0,27.7,16.4,40.9,228.4,1.8,12.0,0.0,208,,0,20.5,13.9,,2017,4,16
107,217060A001,속초시 대포동,2017-04-17,13.9,19.8,10.5,71.5,154.6,1.9,9.4,20.0,0,,0,13.3,13.8,,2017,4,17
108,217060A001,속초시 대포동,2017-04-18,12.2,18.4,7.9,75.0,196.7,1.6,15.2,5.0,347,,2,12.9,12.6,,2017,4,18
109,217060A001,속초시 대포동,2017-04-19,13.1,20.5,8.6,52.5,211.7,1.9,11.1,0.0,650,,0,13.5,12.2,,2017,4,19
110,217060A001,속초시 대포동,2017-04-20,13.8,17.9,9.7,58.5,190.3,1.1,7.0,0.0,177,,0,13.7,12.7,,2017,4,20
111,217060A001,속초시 대포동,2017-04-21,13.0,16.5,9.6,62.7,119.7,1.4,7.7,0.5,440,,0,13.3,12.7,,2017,4,21
112,217060A001,속초시 대포동,2017-04-22,11.9,15.9,7.6,72.5,160.5,1.1,8.0,0.0,724,,0,13.1,12.8,,2017,4,22
113,217060A001,속초시 대포동,2017-04-23,16.3,23.5,8.4,41.2,176.6,1.5,11.3,0.0,729,,0,16.3,13.2,,2017,4,23
114,217060A001,속초시 대포동,2017-04-24,16.4,23.0,10.0,43.7,190.9,1.5,8.7,0.0,593,,0,16.1,13.8,,2017,4,24
115,217060A001,속초시 대포동,2017-04-25,15.8,19.4,12.0,55.7,134.0,1.3,10.9,0.0,546,,0,16.0,14.3,,2017,4,25
116,217060A001,속초시 대포동,2017-04-26,13.7,17.0,8.7,53.7,141.5,1.1,7.1,0.0,605,,0,14.4,14.5,,2017,4,26
117,217060A001,속초시 대포동,2017-04-27,13.2,18.9,6.1,43.4,218.5,1.3,8.1,0.0,596,,0,13.3,13.9,,2017,4,27
118,217060A001,속초시 대포동,2017-04-28,18.6,25.4,12.6,33.0,242.1,1.8,9.2,0.0,274,,0,18.2,14.1,,2017,4,28
119,217060A001,속초시 대포동,2017-04-29,18.0,26.7,7.7,46.8,170.7,1.3,14.5,0.5,730,,134,18.4,14.6,,2017,4,29
120,217060A001,속초시 대포동,2017-04-30,23.0,30.1,13.9,38.3,251.9,1.8,15.5,0.0,476,,0,22.9,15.9,,2017,4,30
