no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,217060A001,속초시 대포동,2022-01-01,-4.0,3.1,-11.2,49.1,218.3,0.8,4.5,0.0,524,,0,-3.5,2.4,20.8,2022
2,217060A001,속초시 대포동,2022-01-02,1.3,6.2,-4.5,48.6,218.7,1.0,10.5,0.0,450,,0,-0.8,2.3,20.8,2022
3,217060A001,속초시 대포동,2022-01-03,-0.5,4.1,-6.2,42.0,224.0,1.4,9.6,0.0,514,,0,-1.8,2.3,20.8,2022
4,217060A001,속초시 대포동,2022-01-04,-0.6,2.9,-5.1,48.8,211.8,1.1,8.8,0.0,523,,0,-1.7,2.3,20.7,2022
5,217060A001,속초시 대포동,2022-01-05,-1.1,2.3,-5.3,61.9,129.4,0.7,4.2,0.0,390,,0,-1.9,2.2,20.6,2022
6,217060A001,속초시 대포동,2022-01-06,-0.5,4.3,-5.0,61.9,183.8,1.1,8.6,0.0,527,,0,-1.5,2.1,20.5,2022
7,217060A001,속초시 대포동,2022-01-07,-1.1,5.0,-6.0,57.7,181.0,0.6,3.6,0.0,525,,0,-2.1,2.0,20.5,2022
8,217060A001,속초시 대포동,2022-01-08,1.9,7.2,-4.2,55.3,225.8,1.4,12.6,0.0,376,,0,0.8,1.9,20.6,2022
9,217060A001,속초시 대포동,2022-01-09,2.1,4.9,-1.5,68.6,185.4,0.9,5.2,0.0,129,,0,1.2,2.0,20.9,2022
10,217060A001,속초시 대포동,2022-01-10,1.6,6.5,-2.7,72.1,179.5,0.7,4.3,0.0,333,,0,0.8,2.1,21.2,2022
11,217060A001,속초시 대포동,2022-01-11,-1.9,2.1,-9.1,43.3,190.0,1.4,9.0,0.0,526,,0,-2.2,2.2,21.1,2022
12,217060A001,속초시 대포동,2022-01-12,-4.6,1.5,-11.7,39.5,226.7,1.1,9.9,0.0,524,,0,-4.4,1.7,20.3,2022
13,217060A001,속초시 대포동,2022-01-13,-4.3,-1.4,-9.6,34.6,251.3,2.2,12.3,0.0,532,,0,-4.3,1.4,19.4,2022
14,217060A001,속초시 대포동,2022-01-14,-4.3,5.0,-11.3,45.4,205.9,0.7,3.8,0.0,538,,0,-4.3,1.2,18.0,2022
15,217060A001,속초시 대포동,2022-01-15,0.0,6.3,-6.0,54.4,192.8,0.4,2.9,0.0,75,,0,-0.7,1.1,17.2,2022
16,217060A001,속초시 대포동,2022-01-16,2.2,6.2,-5.1,40.3,211.1,1.1,9.1,0.0,509,,0,1.7,1.1,17.4,2022
17,217060A001,속초시 대포동,2022-01-17,-3.1,-0.1,-6.6,33.6,224.1,1.5,10.2,0.0,395,,0,-3.2,1.1,17.2,2022
18,217060A001,속초시 대포동,2022-01-18,-5.0,-0.5,-10.8,49.2,176.6,0.6,4.7,0.0,538,,0,-4.9,1.0,15.8,2022
19,217060A001,속초시 대포동,2022-01-19,-2.4,2.2,-6.5,59.1,179.3,0.9,8.8,4.0,76,,0,-2.4,0.9,14.9,2022
20,217060A001,속초시 대포동,2022-01-20,-3.3,0.0,-7.3,64.9,208.8,1.4,6.8,0.0,532,,382,-3.5,0.9,15.2,2022
21,217060A001,속초시 대포동,2022-01-21,-2.4,3.0,-7.8,62.6,147.1,0.6,4.5,0.0,542,,0,-3.4,0.9,15.2,2022
22,217060A001,속초시 대포동,2022-01-22,-1.1,2.9,-5.9,78.5,136.2,0.6,5.2,0.0,444,,0,-1.7,0.8,14.9,2022
23,217060A001,속초시 대포동,2022-01-23,1.8,4.2,-0.9,74.6,153.0,1.4,7.9,0.0,215,,179,1.6,0.9,15.5,2022
24,217060A001,속초시 대포동,2022-01-24,2.4,4.5,-0.8,75.6,138.8,0.6,3.7,0.0,0,,512,1.8,0.9,17.0,2022
25,217060A001,속초시 대포동,2022-01-25,2.1,4.9,-0.4,75.5,251.2,0.3,3.7,0.0,0,,0,1.4,0.9,18.3,2022
26,217060A001,속초시 대포동,2022-01-26,3.5,8.9,-1.1,50.9,209.8,1.0,7.8,0.0,502,,0,2.7,1.1,19.1,2022
27,217060A001,속초시 대포동,2022-01-27,0.5,5.0,-3.5,65.4,143.2,1.0,7.8,0.0,517,,0,0.2,1.1,19.3,2022
28,217060A001,속초시 대포동,2022-01-28,-1.5,2.8,-5.3,59.4,98.4,0.6,5.8,0.0,549,,0,-1.8,1.1,19.4,2022
29,217060A001,속초시 대포동,2022-01-29,-1.3,3.6,-6.8,43.5,146.6,0.7,6.7,0.0,557,,0,-1.5,1.1,19.0,2022
30,217060A001,속초시 대포동,2022-01-30,-2.6,2.3,-7.7,50.7,106.0,0.8,5.2,0.0,557,,0,-2.7,1.0,18.2,2022
31,217060A001,속초시 대포동,2022-01-31,-0.8,4.7,-5.7,43.8,175.6,0.7,3.2,0.0,557,,0,-1.1,1.0,17.3,2022
