no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,441707D001,수원시 서둔동,2016-12-01,5.4,8.5,0.3,56.3,313.4,2.8,12.6,0.0,,10.1,503,4.0,6.5,,2016,12,1
336,441707D001,수원시 서둔동,2016-12-02,1.5,7.6,-3.9,58.3,294.6,0.8,5.8,0.0,,10.4,0,0.3,5.3,,2016,12,2
337,441707D001,수원시 서둔동,2016-12-03,3.3,10.9,-2.6,76.1,267.7,0.4,6.7,0.0,,9.5,135,2.1,5.0,,2016,12,3
338,441707D001,수원시 서둔동,2016-12-04,4.7,9.1,0.8,75.0,202.2,0.3,5.3,0.0,,4.0,268,3.8,5.4,,2016,12,4
339,441707D001,수원시 서둔동,2016-12-05,7.5,11.6,2.5,70.3,290.3,2.4,18.4,0.0,,5.1,186,6.8,6.5,,2016,12,5
340,441707D001,수원시 서둔동,2016-12-06,0.1,4.2,-2.9,42.4,300.7,2.0,7.4,0.0,,11.0,0,-0.7,5.6,,2016,12,6
341,441707D001,수원시 서둔동,2016-12-07,2.5,8.2,-3.7,62.1,142.0,1.1,4.7,0.0,,6.8,0,1.8,4.7,,2016,12,7
342,441707D001,수원시 서둔동,2016-12-08,2.7,7.9,-3.7,77.8,191.1,1.0,5.9,3.5,,5.9,377,2.0,4.6,,2016,12,8
343,441707D001,수원시 서둔동,2016-12-09,3.3,5.4,-1.2,66.7,304.8,2.8,9.5,1.0,,8.7,424,2.7,5.2,,2016,12,9
344,441707D001,수원시 서둔동,2016-12-10,-0.4,4.3,-4.8,53.3,299.9,1.2,6.2,0.0,,10.3,0,-0.7,4.0,,2016,12,10
345,441707D001,수원시 서둔동,2016-12-11,-1.2,5.6,-6.5,54.5,210.1,0.3,4.1,0.0,,10.3,0,-1.8,3.1,,2016,12,11
346,441707D001,수원시 서둔동,2016-12-12,2.7,8.9,-4.3,48.6,103.9,0.4,3.5,0.0,,5.9,0,1.8,2.8,,2016,12,12
347,441707D001,수원시 서둔동,2016-12-13,3.1,8.0,-1.0,63.2,285.0,1.3,13.1,0.0,,5.7,0,2.3,3.6,,2016,12,13
348,441707D001,수원시 서둔동,2016-12-14,-0.1,1.5,-1.7,63.9,296.6,1.6,6.4,0.0,,2.8,0,-0.4,3.5,,2016,12,14
349,441707D001,수원시 서둔동,2016-12-15,-3.0,-0.6,-5.5,42.8,308.1,3.2,8.1,0.0,,10.8,0,-2.8,2.8,,2016,12,15
350,441707D001,수원시 서둔동,2016-12-16,-3.8,0.7,-8.4,44.2,285.1,1.6,7.4,0.0,,10.8,0,-3.8,2.0,,2016,12,16
351,441707D001,수원시 서둔동,2016-12-17,3.7,9.7,-2.3,64.4,222.9,0.8,5.6,0.0,,6.6,0,2.8,1.9,,2016,12,17
352,441707D001,수원시 서둔동,2016-12-18,5.6,8.5,1.6,72.6,150.6,0.9,5.2,0.0,,3.0,0,4.4,3.0,,2016,12,18
353,441707D001,수원시 서둔동,2016-12-19,8.0,12.3,4.1,73.4,102.6,1.1,5.4,1.0,,4.8,538,7.2,4.6,,2016,12,19
354,441707D001,수원시 서둔동,2016-12-20,6.4,13.9,2.3,83.6,263.7,0.2,4.6,0.0,,8.8,0,5.4,5.1,,2016,12,20
355,441707D001,수원시 서둔동,2016-12-21,7.9,13.6,1.4,83.1,100.2,1.7,7.6,31.0,,5.6,538,7.0,5.2,,2016,12,21
356,441707D001,수원시 서둔동,2016-12-22,7.3,13.6,3.2,91.2,265.1,3.8,11.3,18.5,,1.0,1400,7.1,7.0,,2016,12,22
357,441707D001,수원시 서둔동,2016-12-23,-0.3,3.3,-2.0,74.3,300.5,3.7,10.2,0.0,,3.0,481,-0.1,5.5,,2016,12,23
358,441707D001,수원시 서둔동,2016-12-24,-1.1,1.9,-2.7,63.6,301.4,0.9,5.0,0.5,,7.2,0,-0.7,4.1,,2016,12,24
359,441707D001,수원시 서둔동,2016-12-25,1.7,7.2,-3.8,74.6,113.5,0.1,3.8,0.0,,7.8,111,1.1,3.4,,2016,12,25
360,441707D001,수원시 서둔동,2016-12-26,3.6,5.7,1.3,78.0,316.1,0.8,6.6,0.0,,1.6,388,3.1,4.0,,2016,12,26
361,441707D001,수원시 서둔동,2016-12-27,-0.1,2.7,-4.6,58.4,308.5,3.6,21.7,0.0,,10.3,310,0.2,4.0,,2016,12,27
362,441707D001,수원시 서둔동,2016-12-28,-2.9,1.7,-7.7,53.9,275.9,1.3,5.3,0.0,,10.2,22,-2.4,2.5,,2016,12,28
363,441707D001,수원시 서둔동,2016-12-29,-2.8,-0.9,-5.0,53.1,304.1,2.8,7.9,0.0,,10.9,275,-2.8,2.0,,2016,12,29
364,441707D001,수원시 서둔동,2016-12-30,-2.8,3.0,-9.1,61.3,237.1,0.5,7.0,0.0,,9.4,269,-2.7,1.6,,2016,12,30
365,441707D001,수원시 서둔동,2016-12-31,1.2,6.0,-3.2,76.4,160.8,0.3,3.0,0.0,,5.4,491,0.6,1.5,,2016,12,31
