no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,595870A001,순창군 구림면,2013-03-01,2.3,11.2,-3.3,68.4,268.9,2.8,14.4,2.0,,11.4,1371.0,,1.0,,2013,3,1
61,595870A001,순창군 구림면,2013-03-02,-2.0,3.0,-5.8,59.1,264.2,1.6,8.6,0.0,,16.7,0.0,,0.9,,2013,3,2
62,595870A001,순창군 구림면,2013-03-03,-2.4,5.2,-9.0,66.0,265.9,1.3,10.1,0.0,,17.1,1104.0,,0.8,,2013,3,3
63,595870A001,순창군 구림면,2013-03-04,0.4,10.8,-7.8,61.7,237.3,1.1,10.3,0.0,,13.3,1392.0,,0.8,,2013,3,4
64,595870A001,순창군 구림면,2013-03-05,1.3,13.3,-7.3,59.8,215.5,1.1,6.7,0.0,,17.4,1359.0,,0.9,,2013,3,5
65,595870A001,순창군 구림면,2013-03-06,5.9,17.0,-5.9,48.3,130.0,1.2,7.9,0.0,,15.8,0.0,,1.1,,2013,3,6
66,595870A001,순창군 구림면,2013-03-07,7.9,13.8,-1.0,68.3,123.3,1.4,9.2,2.0,,5.6,1431.0,,1.9,,2013,3,7
67,595870A001,순창군 구림면,2013-03-08,6.5,18.6,-2.5,70.2,102.5,1.2,10.9,0.0,,12.6,1351.0,,2.2,,2013,3,8
68,595870A001,순창군 구림면,2013-03-09,12.4,24.3,-1.4,49.4,112.9,1.8,12.0,0.0,,15.6,1395.0,,2.9,,2013,3,9
69,595870A001,순창군 구림면,2013-03-10,3.4,14.0,-4.5,49.5,260.0,1.9,9.8,0.0,,18.5,0.0,,4.0,,2013,3,10
70,595870A001,순창군 구림면,2013-03-11,2.6,15.2,-8.3,49.4,179.8,1.1,5.8,0.0,,18.1,0.0,,3.0,,2013,3,11
71,595870A001,순창군 구림면,2013-03-12,7.7,18.3,-3.7,58.1,111.8,1.1,6.5,0.0,,13.4,955.0,,3.0,,2013,3,12
72,595870A001,순창군 구림면,2013-03-13,5.1,12.4,-1.1,86.3,237.6,1.7,10.6,32.0,,2.0,1398.0,,4.5,,2013,3,13
73,595870A001,순창군 구림면,2013-03-14,-2.4,-0.8,-2.5,73.6,136.6,0.9,6.1,0.0,,12.0,924.0,,3.7,,2013,3,14
74,595870A001,순창군 구림면,2013-03-15,10.4,13.6,8.9,26.7,271.5,1.6,7.0,0.0,0.0,16.0,0.0,,3.5,,2013,3,15
