no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,540814A001,순천시 주암면,2019-09-01,20.0,24.2,18.2,94.8,141.2,0.4,3.4,3.0,13,4.8,213,,23.8,34.3,2019,9,1
245,540814A001,순천시 주암면,2019-09-02,20.1,22.4,18.5,97.3,341.6,0.4,3.2,14.5,0,3.9,1263,,23.3,35.4,2019,9,2
246,540814A001,순천시 주암면,2019-09-03,22.6,26.2,21.0,96.5,115.0,0.7,5.5,29.5,21,6.2,1104,,23.4,36.6,2019,9,3
247,540814A001,순천시 주암면,2019-09-04,24.3,26.8,22.3,91.3,136.6,1.4,6.4,7.0,0,5.3,836,,23.8,37.2,2019,9,4
248,540814A001,순천시 주암면,2019-09-05,24.8,28.7,22.4,91.3,144.4,1.0,5.8,1.0,31,8.3,445,,24.2,36.6,2019,9,5
249,540814A001,순천시 주암면,2019-09-06,24.9,29.0,21.0,88.9,124.1,1.5,10.9,12.5,26,8.3,368,,24.4,36.0,2019,9,6
250,540814A001,순천시 주암면,2019-09-07,24.6,26.6,21.0,89.2,150.3,4.1,20.6,73.0,21,5.2,545,,24.4,37.5,2019,9,7
251,540814A001,순천시 주암면,2019-09-08,23.6,27.6,20.4,94.1,264.7,0.3,3.4,3.0,0,7.9,389,,24.1,37.0,2019,9,8
252,540814A001,순천시 주암면,2019-09-09,24.7,29.2,22.5,92.2,123.4,1.4,10.4,16.5,23,7.8,1241,,24.5,37.0,2019,9,9
253,540814A001,순천시 주암면,2019-09-10,25.7,29.7,22.0,85.1,159.3,0.9,8.8,0.5,536,17.2,646,,24.8,37.1,2019,9,10
254,540814A001,순천시 주암면,2019-09-11,25.7,31.1,22.2,87.4,137.1,0.8,6.2,0.0,285,13.5,0,,25.1,36.3,2019,9,11
255,540814A001,순천시 주암면,2019-09-12,21.8,24.9,19.2,89.9,65.3,1.1,7.1,1.5,0,4.7,1090,,24.9,36.1,2019,9,12
256,540814A001,순천시 주암면,2019-09-13,21.8,28.5,17.3,83.9,138.7,0.7,4.0,0.0,481,18.7,649,,24.1,35.8,2019,9,13
257,540814A001,순천시 주암면,2019-09-14,21.8,28.6,16.7,88.0,12.7,0.8,5.8,0.0,473,18.0,0,,23.8,35.5,2019,9,14
258,540814A001,순천시 주암면,2019-09-15,24.1,30.8,19.5,85.5,135.7,0.6,4.0,0.0,587,21.9,0,,24.2,35.1,2019,9,15
259,540814A001,순천시 주암면,2019-09-16,23.7,30.4,19.7,85.5,111.2,0.8,5.9,0.0,342,16.2,0,,24.5,34.7,2019,9,16
260,540814A001,순천시 주암면,2019-09-17,21.3,29.3,15.6,79.4,323.1,0.7,4.3,0.0,605,21.5,0,,24.2,34.1,2019,9,17
261,540814A001,순천시 주암면,2019-09-18,19.7,27.5,13.2,78.5,332.4,1.2,8.1,0.0,633,20.9,0,,23.2,33.6,2019,9,18
262,540814A001,순천시 주암면,2019-09-19,17.8,27.0,10.2,80.0,4.0,0.7,6.7,0.0,681,21.6,0,,22.1,33.1,2019,9,19
263,540814A001,순천시 주암면,2019-09-20,18.3,25.6,13.3,83.3,80.4,0.8,5.2,0.0,323,15.4,0,,21.8,32.7,2019,9,20
264,540814A001,순천시 주암면,2019-09-21,16.8,18.5,15.0,97.8,345.4,0.8,4.9,65.5,0,1.5,912,,21.4,34.5,2019,9,21
265,540814A001,순천시 주암면,2019-09-22,17.8,19.7,16.5,91.6,341.9,1.9,9.2,62.0,0,2.6,967,,20.6,37.0,2019,9,22
266,540814A001,순천시 주암면,2019-09-23,18.7,24.2,13.1,81.8,32.1,0.8,5.0,0.0,284,13.3,148,,20.7,36.7,2019,9,23
267,540814A001,순천시 주암면,2019-09-24,17.1,25.2,12.5,85.2,9.7,0.6,4.0,0.0,496,18.3,0,,20.6,35.5,2019,9,24
268,540814A001,순천시 주암면,2019-09-25,17.3,25.7,12.0,86.8,1.1,0.5,4.0,0.0,318,15.0,0,,20.4,35.3,2019,9,25
269,540814A001,순천시 주암면,2019-09-26,19.6,27.9,14.0,86.0,190.2,0.7,4.9,0.0,471,17.1,0,,20.6,35.3,2019,9,26
270,540814A001,순천시 주암면,2019-09-27,21.0,28.3,16.4,88.7,135.9,0.9,5.2,2.0,314,13.6,330,,21.3,35.1,2019,9,27
271,540814A001,순천시 주암면,2019-09-28,23.1,29.1,19.8,90.7,155.5,0.7,5.6,1.0,236,12.2,673,,22.1,35.0,2019,9,28
272,540814A001,순천시 주암면,2019-09-29,23.5,29.4,18.0,87.1,311.6,0.6,4.6,0.0,464,15.7,633,,22.8,34.9,2019,9,29
273,540814A001,순천시 주암면,2019-09-30,22.4,29.1,18.1,89.5,153.3,0.6,5.5,0.0,280,11.5,0,,22.6,34.7,2019,9,30
