no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,429843A001,시흥시 하중동,2010-02-01,1.4,5.8,-2.0,85.9,,0.0,-1.0,0.0,186,5.7,,,1.5,,2010,2,1
33,429843A001,시흥시 하중동,2010-02-02,-4.6,-1.6,-7.7,45.5,,0.0,-1.0,0.0,498,,,,-4.4,,2010,2,2
34,429843A001,시흥시 하중동,2010-02-03,-7.3,-3.1,-11.3,54.1,,0.0,-1.0,0.0,498,,,,-7.2,,2010,2,3
35,429843A001,시흥시 하중동,2010-02-04,-3.8,0.7,-10.6,73.1,,0.0,-1.0,0.0,510,0.6,,,-3.7,,2010,2,4
36,429843A001,시흥시 하중동,2010-02-05,-4.8,-0.4,-9.7,55.1,,0.0,-1.0,0.0,528,,,,-4.7,,2010,2,5
37,429843A001,시흥시 하중동,2010-02-06,-5.1,2.3,-12.0,61.9,,0.0,-1.0,0.0,540,2.0,,,-5.0,,2010,2,6
38,429843A001,시흥시 하중동,2010-02-07,-0.9,7.4,-9.9,61.5,,0.0,-1.0,0.0,366,7.2,,,-0.7,,2010,2,7
39,429843A001,시흥시 하중동,2010-02-08,4.3,7.9,2.2,65.1,,0.0,-1.0,0.0,0,7.8,,,4.4,,2010,2,8
40,429843A001,시흥시 하중동,2010-02-09,3.6,4.3,2.5,98.8,,0.0,-1.0,15.0,0,4.3,,,3.7,,2010,2,9
41,429843A001,시흥시 하중동,2010-02-10,4.0,5.5,2.2,98.2,,0.0,-1.0,4.0,0,5.5,,,4.0,,2010,2,10
42,429843A001,시흥시 하중동,2010-02-11,1.9,4.6,0.0,95.9,,0.0,-1.0,10.0,0,4.6,,,1.9,,2010,2,11
43,429843A001,시흥시 하중동,2010-02-12,0.9,3.2,-0.4,95.8,,0.0,-1.0,2.5,0,3.2,,,1.0,,2010,2,12
44,429843A001,시흥시 하중동,2010-02-13,-1.1,1.8,-5.0,82.1,,0.0,-1.0,0.5,426,1.4,,,-1.0,,2010,2,13
45,429843A001,시흥시 하중동,2010-02-14,-2.0,1.4,-5.4,70.8,,0.0,-1.0,0.0,18,1.4,,,-2.0,,2010,2,14
46,429843A001,시흥시 하중동,2010-02-15,-2.4,2.1,-5.6,66.0,,0.0,-1.0,0.0,240,1.9,,,-2.3,,2010,2,15
47,429843A001,시흥시 하중동,2010-02-16,-4.5,1.2,-9.5,67.7,,0.0,-1.0,0.0,558,1.0,,,-4.3,,2010,2,16
48,429843A001,시흥시 하중동,2010-02-17,-3.1,1.7,-8.8,67.9,,0.0,-1.0,0.0,48,1.6,,,-3.0,,2010,2,17
49,429843A001,시흥시 하중동,2010-02-18,-2.0,0.5,-6.0,72.4,,0.0,-1.0,3.5,516,0.2,,,-1.9,,2010,2,18
50,429843A001,시흥시 하중동,2010-02-19,-0.7,3.2,-6.0,71.0,,0.0,-1.0,0.0,546,3.1,,,-0.6,,2010,2,19
51,429843A001,시흥시 하중동,2010-02-20,2.4,9.0,-3.0,82.0,,0.0,-1.0,0.0,528,8.9,,,2.5,,2010,2,20
52,429843A001,시흥시 하중동,2010-02-21,4.5,10.9,-0.5,72.6,,0.0,-1.0,0.0,528,10.8,,,4.6,,2010,2,21
53,429843A001,시흥시 하중동,2010-02-22,5.6,11.0,0.5,86.9,,0.0,-1.0,0.0,258,10.8,,,5.7,,2010,2,22
54,429843A001,시흥시 하중동,2010-02-23,5.6,16.7,-2.0,74.6,,0.0,-1.0,0.0,540,16.6,,,5.8,,2010,2,23
55,429843A001,시흥시 하중동,2010-02-24,10.4,18.4,0.5,73.3,,0.0,-1.0,0.0,366,18.3,,,10.5,,2010,2,24
56,429843A001,시흥시 하중동,2010-02-25,12.9,16.1,9.4,93.6,,0.0,-1.0,26.5,0,16.1,,,13.0,,2010,2,25
57,429843A001,시흥시 하중동,2010-02-26,11.3,17.7,6.6,87.2,,0.0,-1.0,0.0,360,17.5,,,11.5,,2010,2,26
58,429843A001,시흥시 하중동,2010-02-27,8.5,13.0,4.4,83.5,,0.0,-1.0,0.0,288,12.9,,,8.6,,2010,2,27
59,429843A001,시흥시 하중동,2010-02-28,7.2,11.2,4.9,89.0,,0.0,-1.0,0.0,36,11.0,,,7.3,,2010,2,28
