no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,535812A001,신안군 압해읍,2023-12-01,1.7,4.8,-0.6,83.4,55.3,0.7,8.7,5.0,,6.5,1411,,10.1,28.5,2023,12,1
336,535812A001,신안군 압해읍,2023-12-02,5.2,9.1,-0.2,66.3,251.9,0.6,5.1,0.0,,3.0,1439,,9.8,29.1,2023,12,2
337,535812A001,신안군 압해읍,2023-12-03,6.4,10.1,1.1,61.5,78.1,0.9,7.0,0.0,,11.0,1439,,10.3,28.8,2023,12,3
338,535812A001,신안군 압해읍,2023-12-04,4.3,10.6,-1.0,73.5,93.7,0.2,3.1,0.0,,10.0,1035,,9.6,28.5,2023,12,4
339,535812A001,신안군 압해읍,2023-12-05,7.5,15.0,1.9,70.9,196.2,0.2,3.1,0.0,,9.9,1180,,10.0,28.4,2023,12,5
340,535812A001,신안군 압해읍,2023-12-06,9.3,14.6,4.7,81.9,224.4,1.5,8.8,0.0,,5.4,968,,10.3,28.3,2023,12,6
341,535812A001,신안군 압해읍,2023-12-07,9.2,13.9,4.3,52.7,198.2,1.3,7.7,0.0,,10.8,1439,,10.6,28.2,2023,12,7
342,535812A001,신안군 압해읍,2023-12-08,12.7,17.4,7.9,77.9,192.5,2.6,9.2,0.0,,10.3,1439,,11.2,28.2,2023,12,8
343,535812A001,신안군 압해읍,2023-12-09,14.7,19.2,11.1,91.3,198.6,1.1,6.6,0.0,,8.6,962,,12.6,28.1,2023,12,9
344,535812A001,신안군 압해읍,2023-12-10,13.0,18.6,10.0,94.8,62.1,0.5,4.9,5.5,,4.7,652,,13.2,28.2,2023,12,10
345,535812A001,신안군 압해읍,2023-12-11,13.1,14.4,10.7,99.0,125.4,1.4,7.5,16.0,,1.0,1310,,13.6,33.1,2023,12,11
346,535812A001,신안군 압해읍,2023-12-12,8.6,11.3,7.3,99.0,62.7,2.1,10.0,0.0,,2.0,1388,,13.3,34.4,2023,12,12
347,535812A001,신안군 압해읍,2023-12-13,10.1,15.3,6.1,82.6,113.4,0.8,9.0,0.0,,7.9,1157,,13.0,34.0,2023,12,13
348,535812A001,신안군 압해읍,2023-12-14,11.8,13.1,10.0,88.1,131.6,1.7,7.9,18.0,,1.5,1430,,13.1,34.5,2023,12,14
349,535812A001,신안군 압해읍,2023-12-15,10.9,16.0,5.7,98.2,219.3,2.0,9.2,11.0,,1.4,1439,,13.4,35.2,2023,12,15
350,535812A001,신안군 압해읍,2023-12-16,1.3,6.0,-2.8,88.3,218.9,2.9,13.5,4.5,,3.7,1439,,11.6,35.3,2023,12,16
351,535812A001,신안군 압해읍,2023-12-17,-3.1,-1.0,-5.0,78.8,59.3,2.0,12.7,1.0,,6.3,1435,,9.7,35.1,2023,12,17
352,535812A001,신안군 압해읍,2023-12-18,-2.3,0.5,-6.2,64.6,59.4,0.4,5.2,1.0,,5.2,1435,,9.1,35.4,2023,12,18
353,535812A001,신안군 압해읍,2023-12-19,1.5,5.2,-2.0,59.2,102.5,0.3,7.0,2.5,,5.5,1439,,9.0,35.4,2023,12,19
354,535812A001,신안군 압해읍,2023-12-20,0.4,5.1,-4.0,68.6,101.9,2.8,10.4,0.0,,5.8,1337,,8.6,35.2,2023,12,20
355,535812A001,신안군 압해읍,2023-12-21,-4.9,-1.1,-7.4,97.7,86.3,0.9,11.7,0.0,,3.3,1407,,7.8,35.2,2023,12,21
356,535812A001,신안군 압해읍,2023-12-22,-5.7,-2.1,-8.8,88.7,60.3,0.6,9.2,2.5,,5.3,1439,,7.5,35.8,2023,12,22
357,535812A001,신안군 압해읍,2023-12-23,-2.1,3.1,-6.3,69.3,97.0,0.1,3.6,3.5,,9.8,1422,,7.3,35.9,2023,12,23
358,535812A001,신안군 압해읍,2023-12-24,1.0,4.3,-0.9,80.6,171.2,0.1,6.0,6.0,,5.0,1131,,7.1,36.1,2023,12,24
359,535812A001,신안군 압해읍,2023-12-25,2.8,5.6,-0.5,55.9,224.5,0.9,6.9,5.0,,7.6,1439,,6.9,36.4,2023,12,25
360,535812A001,신안군 압해읍,2023-12-26,3.3,9.3,-1.2,74.7,90.7,0.2,4.1,2.0,,9.1,1439,,6.8,36.4,2023,12,26
361,535812A001,신안군 압해읍,2023-12-27,4.9,11.6,1.4,80.8,66.3,0.3,3.9,0.0,,10.0,1439,,7.1,36.2,2023,12,27
362,535812A001,신안군 압해읍,2023-12-28,3.6,8.7,-0.1,82.8,52.3,0.7,6.0,0.0,,7.5,1053,,7.3,35.5,2023,12,28
363,535812A001,신안군 압해읍,2023-12-29,3.7,8.9,-0.7,71.2,57.6,0.4,4.2,0.0,,9.1,1418,,7.3,35.1,2023,12,29
364,535812A001,신안군 압해읍,2023-12-30,4.3,9.6,-0.7,87.3,140.9,0.3,4.7,1.5,,4.2,825,,7.0,34.8,2023,12,30
365,535812A001,신안군 압해읍,2023-12-31,6.9,9.9,4.8,70.9,258.9,2.2,11.9,0.0,,1.3,1351,,7.9,35.1,2023,12,31
