no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,535812A001,신안군 압해읍,2019-01-01,1.4,4.8,-0.6,60.8,137.1,2.7,11.2,0.0,,7.0,1439,,3.7,26.8,2019
2,535812A001,신안군 압해읍,2019-01-02,1.4,4.7,-1.4,62.8,162.1,2.0,8.4,0.0,,9.8,1439,,4.0,26.6,2019
3,535812A001,신안군 압해읍,2019-01-03,0.6,5.2,-2.8,64.1,176.7,1.8,7.0,0.0,,12.6,1439,,4.0,26.3,2019
4,535812A001,신안군 압해읍,2019-01-04,0.1,2.8,-4.0,68.8,184.8,1.0,6.2,0.0,,2.9,1397,,3.5,26.2,2019
5,535812A001,신안군 압해읍,2019-01-05,1.7,4.5,-1.3,68.4,165.3,2.2,10.2,0.0,,10.6,1439,,3.8,26.1,2019
6,535812A001,신안군 압해읍,2019-01-06,0.8,5.1,-2.3,58.0,169.0,2.0,7.7,0.0,,12.5,1439,,3.7,25.8,2019
7,535812A001,신안군 압해읍,2019-01-07,1.1,5.8,-2.8,73.3,170.1,1.3,8.5,0.0,,11.1,1372,,3.6,25.6,2019
8,535812A001,신안군 압해읍,2019-01-08,1.7,5.9,-0.3,70.0,163.6,2.3,11.3,0.0,,7.8,1439,,3.8,25.5,2019
9,535812A001,신안군 압해읍,2019-01-09,-0.9,1.7,-4.2,45.1,178.2,2.4,10.9,0.0,,8.5,1439,,3.6,25.2,2019
10,535812A001,신안군 압해읍,2019-01-10,1.6,5.4,-0.7,65.4,154.8,1.1,4.8,0.0,,6.9,1246,,3.7,25.0,2019
11,535812A001,신안군 압해읍,2019-01-11,3.0,8.9,-2.4,72.5,170.5,1.3,5.2,0.0,,10.1,871,,3.9,24.9,2019
12,535812A001,신안군 압해읍,2019-01-12,3.9,8.4,1.7,85.3,158.1,1.6,6.5,2.5,,10.5,1005,,4.8,24.8,2019
13,535812A001,신안군 압해읍,2019-01-13,3.4,7.5,0.6,81.4,161.7,1.7,8.4,0.0,,11.5,865,,4.9,24.7,2019
14,535812A001,신안군 압해읍,2019-01-14,2.5,7.9,-0.7,82.7,166.6,1.2,6.0,0.0,,10.6,1023,,4.5,24.7,2019
15,535812A001,신안군 압해읍,2019-01-15,2.5,8.0,-1.2,75.0,141.3,2.6,12.9,0.0,,8.1,889,,4.4,24.7,2019
16,535812A001,신안군 압해읍,2019-01-16,-0.6,2.6,-3.1,55.6,170.7,2.8,10.5,0.0,,13.7,1439,,4.1,24.6,2019
17,535812A001,신안군 압해읍,2019-01-17,2.4,6.3,-0.9,55.6,120.0,1.7,7.9,0.0,,10.5,1439,,4.0,24.5,2019
18,535812A001,신안군 압해읍,2019-01-18,2.2,8.0,-3.3,77.3,129.9,0.7,4.7,0.0,,12.5,1045,,3.9,24.3,2019
19,535812A001,신안군 압해읍,2019-01-19,2.4,8.4,-2.7,87.2,188.5,0.7,4.1,0.5,,6.1,1137,,3.7,24.2,2019
20,535812A001,신안군 압해읍,2019-01-20,2.8,4.8,0.4,68.3,150.3,4.0,13.0,0.0,,10.8,1400,,4.3,24.0,2019
21,535812A001,신안군 압해읍,2019-01-21,3.3,7.5,1.1,54.7,120.7,2.3,9.9,0.0,,13.0,1439,,4.1,23.9,2019
22,535812A001,신안군 압해읍,2019-01-22,4.5,9.5,-0.7,66.1,93.9,1.2,6.3,0.0,,13.2,1026,,4.1,23.8,2019
23,535812A001,신안군 압해읍,2019-01-23,4.9,10.0,1.6,68.1,138.5,1.7,7.7,0.0,,12.8,912,,4.3,23.7,2019
24,535812A001,신안군 압해읍,2019-01-24,2.5,7.5,-1.8,51.0,161.8,1.9,7.2,0.0,,14.7,1439,,4.2,23.4,2019
25,535812A001,신안군 압해읍,2019-01-25,1.3,6.8,-2.1,61.8,148.1,2.7,12.1,0.0,,6.9,1439,,3.8,23.1,2019
