no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,336812A001,아산시 염치읍,2015-01-01,-5.7,-4.2,-7.6,56.0,258.6,2.3,10.7,0.0,313,6.9,0,,,23.1,2015,1,1
2,336812A001,아산시 염치읍,2015-01-02,-5.3,-0.9,-10.2,63.1,259.3,1.1,10.1,0.0,377,8.9,0,,,21.8,2015,1,2
3,336812A001,아산시 염치읍,2015-01-03,-4.1,3.6,-11.8,71.7,110.4,0.5,3.9,0.0,330,8.5,0,,,17.7,2015,1,3
4,336812A001,아산시 염치읍,2015-01-04,2.1,9.8,-3.1,75.6,124.4,0.7,4.1,0.5,418,8.8,245,,,18.5,2015,1,4
5,336812A001,아산시 염치읍,2015-01-05,2.6,8.6,-4.1,81.7,106.0,0.4,5.2,0.0,328,7.5,640,,,21.8,2015,1,5
6,336812A001,아산시 염치읍,2015-01-06,-0.9,3.4,-6.0,64.1,265.2,2.1,10.7,0.0,507,11.1,340,,,30.6,2015,1,6
7,336812A001,아산시 염치읍,2015-01-07,-4.5,-0.8,-8.2,47.7,250.8,1.4,8.2,0.0,540,10.6,0,,,25.4,2015,1,7
8,336812A001,아산시 염치읍,2015-01-08,-5.2,1.8,-10.9,73.0,238.7,0.7,6.2,0.0,538,10.8,0,,,16.2,2015,1,8
9,336812A001,아산시 염치읍,2015-01-09,-2.8,3.5,-8.6,84.4,239.5,0.6,4.8,0.0,136,6.1,162,,,14.5,2015,1,9
10,336812A001,아산시 염치읍,2015-01-10,-1.6,6.5,-7.9,78.3,239.9,0.6,6.4,0.0,426,10.3,182,,,14.9,2015,1,10
11,336812A001,아산시 염치읍,2015-01-11,0.2,3.6,-3.7,67.1,267.2,1.8,12.5,0.0,485,10.5,196,,,16.0,2015,1,11
12,336812A001,아산시 염치읍,2015-01-12,-3.3,2.8,-9.1,54.8,227.5,0.7,5.0,0.0,542,10.8,0,,,14.3,2015,1,12
13,336812A001,아산시 염치읍,2015-01-13,-2.0,7.7,-9.2,68.8,120.6,0.4,3.2,0.0,379,7.9,34,,,10.8,2015,1,13
14,336812A001,아산시 염치읍,2015-01-14,1.3,5.7,-2.1,70.4,177.3,0.5,3.8,0.0,0,3.7,0,,,14.5,2015,1,14
15,336812A001,아산시 염치읍,2015-01-15,1.7,8.1,-3.6,70.9,236.9,0.9,5.2,0.0,318,8.2,195,,,17.7,2015,1,15
16,336812A001,아산시 염치읍,2015-01-16,0.1,3.7,-4.6,82.9,261.4,1.4,9.7,0.0,7,1.9,583,,,21.0,2015,1,16
17,336812A001,아산시 염치읍,2015-01-17,-2.6,0.8,-7.6,61.3,259.8,1.6,9.2,0.0,566,11.8,0,,,22.6,2015,1,17
18,336812A001,아산시 염치읍,2015-01-18,-1.9,3.9,-8.8,76.9,180.7,1.2,7.7,0.0,180,7.1,251,,,18.8,2015,1,18
19,336812A001,아산시 염치읍,2015-01-19,1.6,4.7,-1.3,74.6,256.7,1.6,7.7,0.0,211,6.2,295,,,21.1,2015,1,19
20,336812A001,아산시 염치읍,2015-01-20,-0.4,6.6,-6.3,71.5,133.1,0.7,4.0,0.0,505,10.8,181,,,24.1,2015,1,20
21,336812A001,아산시 염치읍,2015-01-21,1.9,6.2,-2.2,76.3,90.4,0.5,4.1,0.0,2,3.8,428,,,26.0,2015,1,21
22,336812A001,아산시 염치읍,2015-01-22,2.1,7.0,-2.2,85.4,249.5,0.8,4.6,0.0,282,7.8,713,,,30.8,2015,1,22
23,336812A001,아산시 염치읍,2015-01-23,0.4,6.5,-3.8,83.3,226.3,0.7,5.8,0.0,215,7.3,321,,,29.7,2015,1,23
24,336812A001,아산시 염치읍,2015-01-24,2.0,7.8,-2.1,78.7,237.2,0.6,4.8,0.0,147,7.0,165,,,30.0,2015,1,24
25,336812A001,아산시 염치읍,2015-01-25,2.9,5.9,-2.2,79.9,75.9,1.2,6.6,0.0,0,2.2,607,,,30.5,2015,1,25
26,336812A001,아산시 염치읍,2015-01-26,4.1,6.4,1.3,91.3,257.3,1.3,5.7,0.0,24,1.9,716,,,32.1,2015,1,26
27,336812A001,아산시 염치읍,2015-01-27,-1.8,1.8,-6.4,68.5,260.8,2.0,8.7,0.0,510,12.8,0,,,29.9,2015,1,27
28,336812A001,아산시 염치읍,2015-01-28,-4.3,1.3,-8.0,60.0,214.2,0.9,4.4,0.0,477,11.5,0,,,27.6,2015,1,28
29,336812A001,아산시 염치읍,2015-01-29,-1.3,4.8,-6.3,77.1,237.3,0.7,4.6,0.0,17,4.5,0,,,27.1,2015,1,29
30,336812A001,아산시 염치읍,2015-01-30,-1.4,1.4,-4.8,61.9,259.4,1.6,9.7,0.0,400,10.4,61,,,27.4,2015,1,30
31,336812A001,아산시 염치읍,2015-01-31,-5.0,0.3,-9.5,62.7,202.6,1.1,6.1,0.0,574,13.5,0,,,25.9,2015,1,31
