no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,336812A001,아산시 염치읍,2018-01-01,-2.7,4.1,-7.8,67.8,215.6,0.3,4.8,0.0,364,8.0,0,,,,2018
2,336812A001,아산시 염치읍,2018-01-02,-2.5,2.8,-6.3,71.5,231.6,0.4,4.7,0.0,146,5.0,62,,,,2018
3,336812A001,아산시 염치읍,2018-01-03,-3.3,0.0,-7.9,54.6,240.9,0.9,6.4,0.0,405,9.8,0,,,,2018
4,336812A001,아산시 염치읍,2018-01-04,-4.0,-0.9,-8.1,51.9,244.6,0.4,4.4,0.0,261,7.5,0,,,,2018
5,336812A001,아산시 염치읍,2018-01-05,-2.9,2.5,-7.1,71.0,234.0,0.5,4.8,0.0,352,8.8,0,,,,2018
6,336812A001,아산시 염치읍,2018-01-06,-3.2,3.1,-8.8,72.3,225.8,0.4,4.9,0.0,416,10.3,0,,,,2018
7,336812A001,아산시 염치읍,2018-01-07,-2.7,2.0,-8.8,69.5,65.9,0.3,3.3,0.0,26,4.1,0,,,,2018
8,336812A001,아산시 염치읍,2018-01-08,1.0,3.8,-1.3,78.5,232.8,0.9,9.5,0.5,3,4.1,642,,,,2018
9,336812A001,아산시 염치읍,2018-01-09,-3.0,-0.9,-6.2,87.5,234.7,1.5,7.4,0.0,102,6.1,376,,,,2018
10,336812A001,아산시 염치읍,2018-01-10,-6.8,-2.3,-14.4,76.8,243.2,0.9,8.0,0.0,6,2.0,157,,,,2018
11,336812A001,아산시 염치읍,2018-01-11,-9.1,-6.5,-11.5,67.0,242.7,1.2,8.0,0.0,260,5.4,56,,,,2018
12,336812A001,아산시 염치읍,2018-01-12,-10.9,-6.4,-16.9,67.9,194.4,0.5,4.0,0.0,418,12.0,0,,,,2018
13,336812A001,아산시 염치읍,2018-01-13,-4.5,0.2,-7.6,80.2,61.2,0.8,4.2,0.0,229,7.5,172,,,,2018
14,336812A001,아산시 염치읍,2018-01-14,-1.9,4.1,-9.4,78.9,61.2,0.7,4.2,5.0,361,9.9,99,,,,2018
15,336812A001,아산시 염치읍,2018-01-15,3.5,8.0,-1.6,76.7,227.6,0.4,4.5,3.0,395,9.1,91,,,,2018
16,336812A001,아산시 염치읍,2018-01-16,2.1,6.6,-2.6,86.5,60.6,0.3,3.2,0.0,0,3.1,299,,,,2018
17,336812A001,아산시 염치읍,2018-01-17,3.6,6.6,1.8,91.7,221.1,0.4,5.1,3.5,80,5.2,676,,,,2018
18,336812A001,아산시 염치읍,2018-01-18,2.1,4.8,-1.3,84.0,232.2,0.6,4.8,0.0,137,5.8,295,,,,2018
19,336812A001,아산시 염치읍,2018-01-19,-0.8,5.4,-4.8,70.9,227.4,0.3,3.9,0.0,420,9.7,201,,,,2018
20,336812A001,아산시 염치읍,2018-01-20,-0.3,7.6,-5.4,78.7,229.4,0.4,5.1,0.0,281,7.8,155,,,,2018
21,336812A001,아산시 염치읍,2018-01-21,-1.5,5.4,-6.9,72.2,218.3,0.3,3.2,0.0,345,8.9,61,,,,2018
22,336812A001,아산시 염치읍,2018-01-22,1.8,7.6,-2.0,68.1,228.2,1.0,8.6,1.0,92,5.0,46,,,,2018
23,336812A001,아산시 염치읍,2018-01-23,-8.3,-2.0,-12.4,56.6,242.5,1.6,8.3,0.0,398,10.4,0,,,,2018
24,336812A001,아산시 염치읍,2018-01-24,-12.5,-9.5,-15.4,41.7,241.7,1.1,8.6,0.0,369,9.1,0,,,,2018
25,336812A001,아산시 염치읍,2018-01-25,-12.7,-8.4,-17.0,48.6,243.5,1.0,8.1,0.0,360,11.4,0,,,,2018
26,336812A001,아산시 염치읍,2018-01-26,-13.2,-9.3,-16.3,53.6,249.0,1.0,7.5,0.0,309,10.0,0,,,,2018
27,336812A001,아산시 염치읍,2018-01-27,-11.1,-4.2,-17.4,55.7,213.7,0.4,4.2,0.0,436,11.8,0,,,,2018
28,336812A001,아산시 염치읍,2018-01-28,-4.9,-0.4,-8.8,49.2,238.7,0.7,7.6,0.0,356,10.6,0,,,,2018
29,336812A001,아산시 염치읍,2018-01-29,-7.4,-4.4,-12.2,53.7,241.5,0.9,7.6,0.0,417,11.7,0,,,,2018
30,336812A001,아산시 염치읍,2018-01-30,-6.5,1.1,-14.8,69.2,217.5,0.6,7.1,0.0,365,10.9,26,,,,2018
31,336812A001,아산시 염치읍,2018-01-31,-1.7,2.2,-5.9,56.3,239.8,0.3,3.7,0.0,80,6.3,489,,,,2018
32,336812A001,아산시 염치읍,2018-02-01,-4.8,1.9,-10.5,57.1,230.2,0.5,5.6,0.0,462,13.0,0,,,,2018
33,336812A001,아산시 염치읍,2018-02-02,-5.1,3.4,-11.6,65.1,224.5,0.4,4.9,0.0,427,12.3,0,,,,2018
34,336812A001,아산시 염치읍,2018-02-03,-5.5,-2.8,-8.2,57.5,239.0,2.0,9.0,0.0,371,12.0,80,,,,2018
35,336812A001,아산시 염치읍,2018-02-04,-7.6,-4.6,-10.0,50.7,243.0,1.3,9.1,0.0,392,13.0,50,,,,2018
36,336812A001,아산시 염치읍,2018-02-05,-8.4,-4.6,-13.7,50.0,245.1,1.1,8.7,0.0,384,12.4,0,,,,2018
37,336812A001,아산시 염치읍,2018-02-06,-8.5,-5.1,-12.3,49.4,247.1,1.2,8.9,0.0,410,13.1,0,,,,2018
38,336812A001,아산시 염치읍,2018-02-07,-9.7,-2.5,-17.5,60.0,218.4,0.4,5.2,0.0,455,13.6,0,,,,2018
39,336812A001,아산시 염치읍,2018-02-08,-6.0,3.3,-13.4,62.2,158.2,0.3,3.6,0.0,472,12.7,82,,,,2018
40,336812A001,아산시 염치읍,2018-02-09,-0.6,7.4,-9.0,58.4,214.8,0.6,6.5,0.0,211,8.8,57,,,,2018
41,336812A001,아산시 염치읍,2018-02-10,-0.7,5.2,-6.5,59.6,241.9,1.3,8.4,0.0,326,10.4,502,,,,2018
42,336812A001,아산시 염치읍,2018-02-11,-5.1,-0.3,-9.3,68.8,230.2,0.9,8.6,0.0,313,11.2,853,,,,2018
43,336812A001,아산시 염치읍,2018-02-12,-7.3,-2.7,-16.0,73.9,233.8,0.7,5.2,1.5,362,6.8,538,,,,2018
44,336812A001,아산시 염치읍,2018-02-13,-3.4,4.2,-15.4,72.3,209.3,0.8,9.1,2.0,491,14.4,108,,,,2018
45,336812A001,아산시 염치읍,2018-02-14,3.5,9.9,-3.8,66.8,220.2,1.3,9.5,0.0,210,8.6,12,,,,2018
46,336812A001,아산시 염치읍,2018-02-15,-1.1,3.6,-6.1,45.6,235.8,0.8,5.4,0.0,485,14.9,0,,,,2018
47,336812A001,아산시 염치읍,2018-02-16,-2.2,4.8,-7.8,61.8,231.9,0.6,6.1,0.0,490,13.5,0,,,,2018
48,336812A001,아산시 염치읍,2018-02-17,-2.7,0.6,-7.7,41.8,235.6,1.1,8.5,0.0,440,16.1,0,,,,2018
49,336812A001,아산시 염치읍,2018-02-18,-1.6,4.4,-6.2,47.3,168.8,0.3,3.6,0.0,157,8.0,0,,,,2018
50,336812A001,아산시 염치읍,2018-02-19,-0.3,6.8,-6.5,64.5,243.4,0.4,4.7,0.0,327,11.0,132,,,,2018
51,336812A001,아산시 염치읍,2018-02-20,-0.3,6.1,-5.9,63.2,232.3,0.6,6.0,0.0,366,12.2,523,,,,2018
52,336812A001,아산시 염치읍,2018-02-21,-1.3,3.6,-7.1,39.4,237.2,0.8,6.1,0.0,497,14.5,0,,,,2018
53,336812A001,아산시 염치읍,2018-02-22,-0.9,7.2,-8.6,60.6,203.4,1.0,8.5,0.0,369,12.2,11,,,,2018
54,336812A001,아산시 염치읍,2018-02-23,5.6,11.2,0.5,70.8,208.7,1.5,9.1,0.0,348,11.2,145,,,,2018
55,336812A001,아산시 염치읍,2018-02-24,3.5,8.1,-3.0,64.0,235.2,1.0,5.4,0.0,442,14.5,80,,,,2018
56,336812A001,아산시 염치읍,2018-02-25,0.9,7.8,-4.5,57.1,232.6,0.6,5.9,0.0,474,14.7,0,,,,2018
57,336812A001,아산시 염치읍,2018-02-26,0.6,11.2,-6.9,59.4,222.6,0.4,4.1,0.0,495,17.2,6,,,,2018
58,336812A001,아산시 염치읍,2018-02-27,3.0,12.3,-5.0,63.2,231.4,0.4,5.0,0.0,157,9.1,0,,,,2018
59,336812A001,아산시 염치읍,2018-02-28,5.0,9.0,1.7,77.1,82.1,1.3,9.7,38.0,0,1.5,647,,,,2018
60,336812A001,아산시 염치읍,2018-03-01,1.1,4.3,-2.7,70.2,235.3,2.6,12.6,1.5,405,15.1,458,,,,2018
61,336812A001,아산시 염치읍,2018-03-02,-0.7,7.0,-7.3,50.1,221.2,0.5,4.9,0.0,531,18.4,0,,,,2018
62,336812A001,아산시 염치읍,2018-03-03,7.1,17.1,-1.7,55.8,110.4,0.9,5.8,0.0,498,16.2,0,,,,2018
63,336812A001,아산시 염치읍,2018-03-04,12.5,18.9,7.6,75.2,98.6,0.7,5.8,14.0,208,11.2,244,,,,2018
64,336812A001,아산시 염치읍,2018-03-05,6.6,10.9,2.5,74.9,84.3,1.5,11.0,9.0,186,8.1,570,,,,2018
65,336812A001,아산시 염치읍,2018-03-06,3.2,19.9,-2.8,64.3,222.4,0.5,5.0,0.0,410,16.3,112,,,,2018
66,336812A001,아산시 염치읍,2018-03-07,5.6,10.2,-0.7,62.3,62.1,1.9,6.5,2.5,267,12.1,274,,,,2018
67,336812A001,아산시 염치읍,2018-03-08,3.4,7.0,1.5,80.2,239.8,1.0,7.9,9.5,102,5.9,665,,,,2018
68,336812A001,아산시 염치읍,2018-03-09,4.1,9.7,-0.5,68.0,220.0,0.7,4.8,0.0,287,12.1,87,,,,2018
69,336812A001,아산시 염치읍,2018-03-10,3.3,10.8,-2.2,70.4,226.6,0.8,6.6,0.0,544,18.1,207,,,,2018
70,336812A001,아산시 염치읍,2018-03-11,6.1,13.0,0.6,61.8,228.5,0.5,5.0,0.0,553,18.4,97,,,,2018
71,336812A001,아산시 염치읍,2018-03-12,6.4,17.3,-1.6,62.7,226.2,0.8,6.2,0.0,517,16.3,368,,,,2018
72,336812A001,아산시 염치읍,2018-03-13,10.8,20.0,1.3,65.3,220.7,1.0,7.8,0.0,510,18.5,49,,,,2018
73,336812A001,아산시 염치읍,2018-03-14,14.5,22.7,7.1,63.7,215.1,1.2,8.1,0.0,511,18.1,207,,,,2018
74,336812A001,아산시 염치읍,2018-03-15,12.3,15.1,6.9,88.8,234.5,0.8,5.7,6.5,0,1.3,1037,,,,2018
75,336812A001,아산시 염치읍,2018-03-16,7.1,10.6,3.6,64.2,73.7,1.5,7.2,0.0,356,13.3,52,,,,2018
76,336812A001,아산시 염치읍,2018-03-17,6.2,14.1,1.0,54.1,65.5,1.1,5.7,0.0,568,19.4,0,,,,2018
77,336812A001,아산시 염치읍,2018-03-18,7.0,11.2,2.4,72.9,67.7,0.4,3.4,3.5,0,5.8,353,,,,2018
78,336812A001,아산시 염치읍,2018-03-19,8.2,10.8,6.2,82.5,72.4,1.5,8.1,9.0,0,3.6,1143,,,,2018
79,336812A001,아산시 염치읍,2018-03-20,6.5,10.5,3.2,46.3,65.6,2.4,11.1,0.5,365,14.7,66,,,,2018
80,336812A001,아산시 염치읍,2018-03-21,1.7,3.3,-0.4,72.6,95.3,0.9,5.8,2.0,0,4.4,875,,,,2018
81,336812A001,아산시 염치읍,2018-03-22,4.5,11.8,0.1,72.0,230.3,1.0,6.4,1.5,417,15.8,484,,,,2018
82,336812A001,아산시 염치읍,2018-03-23,4.6,13.1,-2.2,67.6,223.5,0.5,5.5,0.0,607,20.7,106,,,,2018
83,336812A001,아산시 염치읍,2018-03-24,6.8,15.4,0.3,77.1,230.6,0.9,7.0,0.0,460,16.4,421,,,,2018
84,336812A001,아산시 염치읍,2018-03-25,8.4,18.5,3.7,80.7,226.3,0.9,5.4,0.0,481,19.3,63,,,,2018
85,336812A001,아산시 염치읍,2018-03-26,9.8,19.7,3.2,80.1,233.2,0.8,6.4,0.0,503,19.2,415,,,,2018
86,336812A001,아산시 염치읍,2018-03-27,12.0,21.2,3.4,73.7,220.7,1.1,8.5,0.0,548,17.1,485,,,,2018
87,336812A001,아산시 염치읍,2018-03-28,13.5,21.1,6.3,73.0,221.3,1.4,8.9,0.0,614,18.0,341,,,,2018
88,336812A001,아산시 염치읍,2018-03-29,14.1,20.8,8.8,78.8,230.2,0.5,5.0,0.0,256,12.4,108,,,,2018
89,336812A001,아산시 염치읍,2018-03-30,13.7,21.6,7.0,63.7,62.6,1.4,6.9,0.0,578,18.1,226,,,,2018
90,336812A001,아산시 염치읍,2018-03-31,13.6,21.9,6.1,64.8,226.0,0.8,7.5,0.0,605,18.6,311,,,,2018
91,336812A001,아산시 염치읍,2018-04-01,14.5,19.8,8.3,75.6,218.8,0.7,5.9,0.0,10,5.5,9,,,,2018
92,336812A001,아산시 염치읍,2018-04-02,17.0,25.1,9.2,73.7,218.8,1.2,8.5,0.0,588,18.5,280,,,,2018
93,336812A001,아산시 염치읍,2018-04-03,18.0,23.8,11.5,75.6,220.2,1.1,7.1,0.0,361,13.0,137,,,,2018
94,336812A001,아산시 염치읍,2018-04-04,13.1,16.8,10.1,84.9,85.7,1.5,6.9,14.5,0,6.5,287,,,,2018
95,336812A001,아산시 염치읍,2018-04-05,8.4,10.1,7.7,93.4,61.8,2.7,8.7,15.5,0,2.5,1262,,,,2018
96,336812A001,아산시 염치읍,2018-04-06,7.1,10.2,3.9,75.2,231.1,2.4,10.3,10.5,208,13.4,462,,,,2018
97,336812A001,아산시 염치읍,2018-04-07,5.2,9.6,2.4,46.1,234.0,2.8,11.8,0.0,606,21.7,0,,,,2018
98,336812A001,아산시 염치읍,2018-04-08,0.3,2.5,-1.4,81.9,242.9,0.2,1.9,0.0,0,0.0,184,,,,2018
99,336812A001,아산시 염치읍,2018-04-09,12.6,17.7,3.0,41.8,199.6,0.6,4.3,0.0,666,19.9,94,,,,2018
100,336812A001,아산시 염치읍,2018-04-10,15.8,23.9,5.1,54.6,194.6,1.4,11.5,1.0,479,15.8,64,,,,2018
101,336812A001,아산시 염치읍,2018-04-11,13.9,18.9,7.8,58.1,228.8,1.9,10.3,0.0,695,22.5,0,,,,2018
102,336812A001,아산시 염치읍,2018-04-12,11.9,20.3,3.9,46.9,231.8,1.1,8.1,0.0,703,22.6,0,,,,2018
103,336812A001,아산시 염치읍,2018-04-13,12.3,19.2,3.2,47.3,61.8,1.2,6.5,0.0,106,11.1,6,,,,2018
104,336812A001,아산시 염치읍,2018-04-14,8.9,12.9,7.2,83.9,117.1,1.3,5.7,16.5,0,3.2,711,,,,2018
