no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,036614B005,안동시 북후면,2022-05-01,12.2,18.8,3.2,45.1,224.4,1.7,9.9,0.0,474,26.3,305,,14.7,50.0,2022,5,1
122,036614B005,안동시 북후면,2022-05-02,9.8,18.0,1.7,60.7,163.5,1.2,8.5,1.0,394,21.8,634,,14.3,50.0,2022,5,2
123,036614B005,안동시 북후면,2022-05-03,10.6,21.1,2.1,66.2,202.9,1.6,9.7,0.0,297,24.5,525,,14.1,50.0,2022,5,3
124,036614B005,안동시 북후면,2022-05-04,14.8,26.6,3.2,55.2,200.2,1.2,8.6,0.0,520,27.9,602,,14.6,50.0,2022,5,4
125,036614B005,안동시 북후면,2022-05-05,16.0,26.7,5.3,57.1,202.2,1.2,7.6,0.0,515,28.9,548,,15.4,50.0,2022,5,5
126,036614B005,안동시 북후면,2022-05-06,17.1,26.8,6.1,60.8,210.3,1.2,9.5,0.0,513,27.9,557,,16.0,50.0,2022,5,6
127,036614B005,안동시 북후면,2022-05-07,15.8,23.7,8.8,66.2,220.8,1.3,9.2,0.0,330,20.1,478,,16.4,50.0,2022,5,7
128,036614B005,안동시 북후면,2022-05-08,13.9,19.6,8.1,56.2,95.5,1.2,6.1,0.0,287,20.1,275,,16.2,50.0,2022,5,8
129,036614B005,안동시 북후면,2022-05-09,14.8,22.7,7.8,50.4,77.9,1.5,10.8,0.0,401,28.5,253,,16.5,50.0,2022,5,9
130,036614B005,안동시 북후면,2022-05-10,14.1,23.6,5.2,52.3,122.0,1.1,7.0,0.0,429,23.1,347,,16.4,50.0,2022,5,10
131,036614B005,안동시 북후면,2022-05-11,17.6,25.2,9.4,56.9,202.6,1.0,5.7,0.0,573,24.4,0,,16.9,50.0,2022,5,11
132,036614B005,안동시 북후면,2022-05-12,19.2,25.7,13.7,66.2,127.7,0.9,6.1,0.0,342,18.6,0,,17.6,50.0,2022,5,12
133,036614B005,안동시 북후면,2022-05-13,14.9,19.1,11.4,83.7,124.5,0.7,4.0,5.5,1,7.0,586,,17.3,50.0,2022,5,13
134,036614B005,안동시 북후면,2022-05-14,15.4,21.5,8.6,58.4,246.8,1.9,10.3,0.0,639,28.2,505,,17.2,50.0,2022,5,14
135,036614B005,안동시 북후면,2022-05-15,14.4,21.5,6.3,50.5,208.5,1.2,8.0,0.0,683,29.8,102,,16.9,50.0,2022,5,15
136,036614B005,안동시 북후면,2022-05-16,14.5,24.3,3.7,55.3,215.9,1.2,10.5,0.0,729,30.3,373,,16.7,50.0,2022,5,16
137,036614B005,안동시 북후면,2022-05-17,16.7,26.5,5.7,58.0,195.3,1.2,9.0,0.0,653,26.9,453,,17.0,50.0,2022,5,17
138,036614B005,안동시 북후면,2022-05-18,19.1,28.0,7.5,54.5,220.8,1.5,8.7,0.0,684,26.5,456,,17.4,50.0,2022,5,18
139,036614B005,안동시 북후면,2022-05-19,18.9,25.2,10.5,47.0,207.3,1.6,7.3,0.0,512,18.9,0,,17.6,50.0,2022,5,19
140,036614B005,안동시 북후면,2022-05-20,18.8,27.0,10.9,56.0,200.8,1.1,6.3,0.0,650,25.4,0,,17.8,50.0,2022,5,20
141,036614B005,안동시 북후면,2022-05-21,19.7,27.9,9.6,64.5,227.0,1.1,7.1,0.0,713,27.4,257,,18.6,50.0,2022,5,21
142,036614B005,안동시 북후면,2022-05-22,21.1,29.9,12.0,64.1,214.0,1.4,8.3,0.0,673,26.7,129,,19.4,50.0,2022,5,22
143,036614B005,안동시 북후면,2022-05-23,20.9,30.5,10.9,64.1,206.3,0.9,6.9,0.0,726,26.9,164,,20.0,50.0,2022,5,23
144,036614B005,안동시 북후면,2022-05-24,22.4,32.0,13.5,62.2,177.5,1.0,6.2,0.0,697,27.3,309,,20.8,50.0,2022,5,24
145,036614B005,안동시 북후면,2022-05-25,22.3,30.2,12.7,62.0,220.1,1.3,7.5,0.0,601,25.3,324,,21.3,50.0,2022,5,25
146,036614B005,안동시 북후면,2022-05-26,20.3,25.2,14.8,50.0,231.4,2.1,9.0,0.0,692,29.7,86,,21.5,50.0,2022,5,26
147,036614B005,안동시 북후면,2022-05-27,20.4,25.4,13.6,48.3,237.7,2.4,11.5,0.0,547,22.5,0,,20.9,50.0,2022,5,27
148,036614B005,안동시 북후면,2022-05-28,20.4,29.2,9.6,58.2,205.9,1.5,8.9,0.0,740,25.6,295,,20.8,50.0,2022,5,28
149,036614B005,안동시 북후면,2022-05-29,20.6,30.7,9.4,55.9,218.1,0.8,6.6,0.0,705,27.8,253,,21.1,50.0,2022,5,29
150,036614B005,안동시 북후면,2022-05-30,21.4,27.1,16.0,60.7,218.0,1.1,5.2,0.0,91,14.7,0,,21.5,50.0,2022,5,30
151,036614B005,안동시 북후면,2022-05-31,21.7,28.4,12.6,50.1,228.5,1.7,8.8,0.0,754,29.9,0,,21.9,50.0,2022,5,31
