no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,760380A001,안동시 송천동,2016-11-01,4.1,10.2,-2.7,59.3,267.9,0.7,5.4,0.0,599,12.2,71,5.6,13.7,25.4,2016,11,1
306,760380A001,안동시 송천동,2016-11-02,2.6,12.3,-5.1,68.5,263.4,0.5,8.7,0.0,587,13.0,0,5.0,12.2,25.1,2016,11,2
307,760380A001,안동시 송천동,2016-11-03,5.6,14.2,-0.7,78.2,267.3,0.4,6.9,0.0,474,10.0,0,7.0,12.0,24.8,2016,11,3
308,760380A001,안동시 송천동,2016-11-04,7.0,17.4,0.4,81.6,268.4,0.3,5.4,0.0,495,10.6,0,8.4,12.2,24.5,2016,11,4
309,760380A001,안동시 송천동,2016-11-05,10.2,19.5,1.7,82.5,269.0,0.4,6.5,0.0,328,8.5,0,10.7,12.5,24.3,2016,11,5
310,760380A001,안동시 송천동,2016-11-06,11.1,12.5,7.5,80.2,88.2,1.3,5.7,0.0,0,1.6,0,11.1,13.1,24.2,2016,11,6
311,760380A001,안동시 송천동,2016-11-07,12.0,16.9,8.6,82.2,256.9,0.1,3.0,0.0,158,6.0,0,12.7,13.6,24.0,2016,11,7
312,760380A001,안동시 송천동,2016-11-08,9.2,13.1,1.2,72.0,268.2,1.0,5.4,0.5,487,10.5,3,9.9,13.9,23.8,2016,11,8
313,760380A001,안동시 송천동,2016-11-09,3.0,11.1,-3.2,75.8,266.6,0.3,3.6,0.0,548,11.1,0,5.0,12.3,23.6,2016,11,9
314,760380A001,안동시 송천동,2016-11-10,7.4,14.8,1.1,79.0,88.3,0.5,3.5,0.0,89,6.2,0,8.3,11.8,23.5,2016,11,10
315,760380A001,안동시 송천동,2016-11-11,8.2,15.5,1.7,77.2,268.1,0.7,6.6,0.0,468,9.1,0,8.8,12.3,23.4,2016,11,11
316,760380A001,안동시 송천동,2016-11-12,6.5,16.9,-0.4,79.8,266.2,0.3,4.0,0.0,488,9.4,0,7.5,11.8,23.2,2016,11,12
317,760380A001,안동시 송천동,2016-11-13,9.1,18.5,1.4,83.2,88.7,0.0,2.4,0.0,342,6.8,0,9.6,11.7,23.1,2016,11,13
318,760380A001,안동시 송천동,2016-11-14,12.4,19.9,5.9,86.1,267.8,0.1,3.6,0.0,314,6.2,0,12.5,12.6,23.0,2016,11,14
319,760380A001,안동시 송천동,2016-11-15,9.5,16.7,-0.2,64.9,269.6,0.5,4.2,0.0,512,10.3,0,9.6,12.8,22.8,2016,11,15
320,760380A001,안동시 송천동,2016-11-16,3.7,13.2,-3.3,73.4,272.3,0.3,3.8,0.0,309,7.8,0,4.9,11.5,22.5,2016,11,16
321,760380A001,안동시 송천동,2016-11-17,5.0,15.5,-1.4,76.5,,0.0,0.0,0.0,509,8.5,0,5.9,10.8,22.4,2016,11,17
322,760380A001,안동시 송천동,2016-11-18,7.3,14.1,0.8,89.4,85.0,0.2,2.4,6.5,100,4.6,44,8.0,10.7,22.4,2016,11,18
323,760380A001,안동시 송천동,2016-11-19,11.4,13.7,9.7,95.3,265.1,0.0,2.4,6.0,0,2.0,590,11.7,11.8,27.5,2016,11,19
324,760380A001,안동시 송천동,2016-11-20,12.5,18.9,7.2,81.2,249.6,0.3,3.3,0.0,477,8.9,117,12.6,12.6,26.8,2016,11,20
325,760380A001,안동시 송천동,2016-11-21,9.9,16.2,5.2,87.6,88.2,0.3,2.5,0.0,80,4.0,0,10.2,12.4,26.4,2016,11,21
326,760380A001,안동시 송천동,2016-11-22,7.0,9.1,3.6,74.6,266.3,0.7,5.8,0.0,78,3.0,0,7.4,12.2,26.1,2016,11,22
327,760380A001,안동시 송천동,2016-11-23,3.9,8.6,-0.3,52.0,266.8,0.5,4.2,0.0,234,6.7,0,5.0,11.1,25.8,2016,11,23
328,760380A001,안동시 송천동,2016-11-24,-0.4,5.1,-5.1,46.1,266.4,0.9,6.2,0.0,569,10.2,0,0.5,9.6,25.4,2016,11,24
329,760380A001,안동시 송천동,2016-11-25,-1.1,6.9,-7.2,66.7,262.6,0.3,4.1,0.0,427,7.1,0,-0.1,8.1,25.2,2016,11,25
330,760380A001,안동시 송천동,2016-11-26,-1.8,3.1,-6.5,85.9,210.0,0.1,3.2,1.5,39,2.8,29,-0.8,7.2,25.1,2016,11,26
331,760380A001,안동시 송천동,2016-11-27,1.5,3.1,0.0,93.0,276.2,0.2,3.0,0.0,0,2.4,192,2.7,7.4,25.7,2016,11,27
332,760380A001,안동시 송천동,2016-11-28,2.6,8.4,-2.7,75.6,262.5,0.5,4.8,0.0,443,7.2,0,3.2,7.9,25.9,2016,11,28
333,760380A001,안동시 송천동,2016-11-29,0.8,9.7,-6.7,71.7,86.2,0.1,4.6,0.0,548,9.1,0,1.8,7.1,25.6,2016,11,29
334,760380A001,안동시 송천동,2016-11-30,5.9,11.1,1.0,83.4,266.3,0.2,3.7,2.0,30,3.4,38,6.3,7.6,25.6,2016,11,30
