no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,760380A001,안동시 송천동,2022-01-01,-6.4,1.8,-13.6,49.0,299.9,0.2,3.3,0.0,511,9.1,0,-6.1,1.9,22.1,2022
2,760380A001,안동시 송천동,2022-01-02,-3.9,6.4,-11.3,61.8,272.9,0.3,5.3,0.0,361,6.8,0,-4.0,1.7,21.5,2022
3,760380A001,안동시 송천동,2022-01-03,-3.4,4.4,-11.6,59.4,274.6,0.6,5.7,0.0,472,9.2,0,-3.4,1.5,20.9,2022
4,760380A001,안동시 송천동,2022-01-04,0.1,6.9,-8.1,48.1,266.2,0.3,4.5,0.0,504,9.4,0,-0.5,1.6,20.8,2022
5,760380A001,안동시 송천동,2022-01-05,-2.3,5.7,-9.5,60.3,92.2,0.0,2.0,0.0,205,5.9,0,-2.3,1.6,20.7,2022
6,760380A001,안동시 송천동,2022-01-06,-0.6,8.1,-7.4,57.9,270.0,0.3,4.6,0.0,501,9.4,0,-1.1,1.7,20.8,2022
7,760380A001,안동시 송천동,2022-01-07,-3.7,6.5,-10.6,58.7,281.6,0.1,3.3,0.0,505,9.3,0,-3.8,1.7,20.8,2022
8,760380A001,안동시 송천동,2022-01-08,-2.5,7.7,-10.7,61.7,266.9,0.3,5.6,0.0,494,9.4,0,-2.4,1.5,20.6,2022
9,760380A001,안동시 송천동,2022-01-09,1.4,7.7,-4.7,70.5,266.0,0.2,2.5,0.0,345,6.3,0,0.3,1.6,20.5,2022
10,760380A001,안동시 송천동,2022-01-10,-0.6,7.7,-7.1,69.9,269.6,0.1,3.0,0.0,370,7.6,0,-0.8,1.7,20.7,2022
11,760380A001,안동시 송천동,2022-01-11,-1.6,3.1,-7.5,43.0,273.7,1.6,7.7,0.0,503,10.0,0,-1.5,1.8,20.8,2022
12,760380A001,안동시 송천동,2022-01-12,-5.4,0.3,-11.3,41.7,268.5,0.6,5.1,0.0,510,10.4,0,-5.1,1.7,20.9,2022
13,760380A001,안동시 송천동,2022-01-13,-4.3,-0.1,-7.0,38.1,272.9,1.1,8.7,0.0,505,10.3,0,-4.4,1.5,20.6,2022
