stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
456871A001,안성시 보개면,2024-09-01,26.3,32.6,21.5,74.8,267.9,0.6,5.7,0.0,489,15.4,,,26.0,,2024,9,1
456871A001,안성시 보개면,2024-09-02,24.2,28.6,20.7,80.4,43.5,0.4,3.7,2.0,73,7.4,,,25.6,,2024,9,2
456871A001,안성시 보개면,2024-09-03,26.3,32.5,22.5,64.6,9.6,1.4,6.4,0.0,595,16.7,,,25.4,,2024,9,3
456871A001,안성시 보개면,2024-09-04,26.0,32.7,19.6,64.2,81.2,0.5,4.7,0.0,643,18.0,,,25.5,,2024,9,4
456871A001,안성시 보개면,2024-09-05,26.6,31.9,23.2,77.6,117.0,1.0,7.6,0.0,309,12.0,,,25.7,,2024,9,5
456871A001,안성시 보개면,2024-09-06,24.4,26.6,22.1,87.2,346.7,1.0,6.3,1.0,4,5.0,,,25.5,,2024,9,6
456871A001,안성시 보개면,2024-09-07,26.0,32.4,22.1,75.5,270.0,0.5,4.0,0.0,435,13.9,,,25.3,,2024,9,7
456871A001,안성시 보개면,2024-09-08,26.4,32.5,21.1,75.4,250.7,0.5,4.0,0.0,579,15.5,,,25.6,,2024,9,8
456871A001,안성시 보개면,2024-09-09,27.9,34.3,23.1,74.8,49.6,0.5,4.4,0.0,519,14.1,,,26.0,,2024,9,9
456871A001,안성시 보개면,2024-09-10,28.7,34.7,23.9,72.9,60.8,0.5,4.1,0.0,598,14.9,,,26.3,,2024,9,10
456871A001,안성시 보개면,2024-09-11,27.8,35.2,23.4,79.9,80.3,0.3,5.6,6.0,334,11.6,,,26.4,,2024,9,11
456871A001,안성시 보개면,2024-09-12,25.6,26.7,24.8,97.4,22.1,0.0,3.2,31.5,0,3.4,,,26.2,,2024,9,12
456871A001,안성시 보개면,2024-09-13,26.6,31.4,24.2,89.8,124.0,0.3,5.5,4.5,98,8.4,,,26.0,,2024,9,13
456871A001,안성시 보개면,2024-09-14,26.7,31.5,24.9,91.0,228.0,0.1,4.3,65.0,209,9.3,,,26.1,,2024,9,14
456871A001,안성시 보개면,2024-09-15,27.7,32.1,24.5,80.1,3.1,1.6,7.5,0.0,507,13.9,,,26.4,,2024,9,15
456871A001,안성시 보개면,2024-09-16,27.2,32.0,22.7,72.5,27.5,1.4,6.4,0.5,385,13.2,,,26.2,,2024,9,16
456871A001,안성시 보개면,2024-09-17,28.6,34.8,24.7,78.7,333.9,0.3,3.6,0.0,418,12.9,,,26.5,,2024,9,17
456871A001,안성시 보개면,2024-09-18,28.8,34.0,25.0,79.3,125.9,0.5,6.9,0.0,476,12.2,,,26.8,,2024,9,18
456871A001,안성시 보개면,2024-09-19,27.9,32.7,24.1,81.9,317.7,0.5,3.6,0.0,138,9.7,,,26.7,,2024,9,19
456871A001,안성시 보개면,2024-09-20,25.5,27.3,18.5,94.9,317.2,0.4,10.1,66.5,0,3.3,,,26.6,,2024,9,20
456871A001,안성시 보개면,2024-09-21,18.9,20.6,17.6,91.6,341.9,2.6,8.5,54.5,0,3.0,,,23.2,,2024,9,21
456871A001,안성시 보개면,2024-09-22,21.3,25.9,18.1,68.9,340.1,2.1,8.1,0.0,373,12.3,,,22.5,,2024,9,22
456871A001,안성시 보개면,2024-09-23,19.8,25.5,15.6,66.7,358.4,1.3,6.5,0.0,616,16.1,,,22.3,,2024,9,23
456871A001,안성시 보개면,2024-09-24,19.7,26.8,14.8,67.1,0.7,0.6,5.2,0.0,609,16.5,,,22.1,,2024,9,24
456871A001,안성시 보개면,2024-09-25,21.9,28.1,17.0,76.5,57.2,0.0,3.4,0.0,306,10.4,,,22.3,,2024,9,25
456871A001,안성시 보개면,2024-09-26,23.2,29.2,19.4,79.7,105.0,0.0,3.9,0.0,296,11.4,,,22.8,,2024,9,26
456871A001,안성시 보개면,2024-09-26,23.2,29.2,19.4,79.7,105.0,0.0,3.9,0.0,296,11.4,,,22.8,,2024,9,26
456871A001,안성시 보개면,2024-09-27,22.3,28.2,18.0,76.8,312.4,0.4,5.3,0.0,459,12.8,,,23.0,,2024,9,27
456871A001,안성시 보개면,2024-09-28,22.9,27.9,18.5,66.8,6.9,1.5,6.9,0.0,502,14.9,,,22.8,,2024,9,28
456871A001,안성시 보개면,2024-09-28,22.9,27.9,18.5,66.8,6.9,1.5,6.9,0.0,502,14.9,,,22.8,,2024,9,28
