stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
456871A001,안성시 보개면,2024-10-01,17.3,19.8,12.0,81.3,16.0,0.8,5.1,2.5,0.0,4.2,,,21.8,
456871A001,안성시 보개면,2024-10-02,13.5,20.0,8.3,65.3,293.7,0.8,6.4,0.0,508.0,15.6,,,20.4,
456871A001,안성시 보개면,2024-10-03,13.0,19.9,7.9,78.6,39.6,1.1,7.4,0.0,265.0,9.3,,,19.3,
456871A001,안성시 보개면,2024-10-04,14.7,22.6,8.4,74.4,5.8,0.6,4.7,0.0,631.0,15.9,,,19.0,
456871A001,안성시 보개면,2024-10-05,15.8,23.5,10.0,75.5,340.8,0.8,5.5,0.0,591.0,14.6,,,19.0,
456871A001,안성시 보개면,2024-10-06,15.0,17.3,11.7,88.6,317.2,0.8,3.7,0.5,0.0,4.3,,,18.9,
456871A001,안성시 보개면,2024-10-07,16.9,21.1,13.4,83.2,276.7,0.5,3.7,0.0,67.0,7.7,,,19.2,
456871A001,안성시 보개면,2024-10-08,15.4,21.9,11.2,85.7,326.3,0.7,4.5,0.0,393.0,11.6,,,19.1,
456871A001,안성시 보개면,2024-10-09,17.4,24.0,12.4,74.7,1.5,1.1,6.0,0.0,564.0,12.7,,,19.1,
456871A001,안성시 보개면,2024-10-10,16.8,23.5,12.2,78.9,359.4,0.8,4.4,1.0,322.0,9.7,,,19.1,
456871A001,안성시 보개면,2024-10-11,16.3,23.5,11.1,82.3,311.7,0.6,3.8,0.0,450.0,11.5,,,19.0,
456871A001,안성시 보개면,2024-10-12,16.1,24.0,10.4,77.5,301.2,0.4,3.7,0.0,599.0,13.2,,,18.8,
456871A001,안성시 보개면,2024-10-13,16.7,22.9,10.6,75.5,35.1,0.6,7.1,0.0,303.0,9.9,,,18.5,
456871A001,안성시 보개면,2024-10-14,17.8,20.3,15.2,84.1,73.1,0.1,3.6,1.0,0.0,3.9,,,18.8,
456871A001,안성시 보개면,2024-10-15,18.3,21.2,16.6,94.5,308.0,0.3,2.9,11.0,0.0,4.4,,,19.1,
456871A001,안성시 보개면,2024-10-16,18.2,24.0,13.8,85.2,326.0,0.4,4.1,0.0,398.0,10.5,,,19.5,
456871A001,안성시 보개면,2024-10-17,17.7,24.4,13.0,82.7,356.6,0.9,4.7,0.0,503.0,11.7,,,19.2,
456871A001,안성시 보개면,2024-10-18,17.6,18.6,16.5,90.6,333.5,1.0,6.4,57.0,0.0,1.9,,,19.0,
456871A001,안성시 보개면,2024-10-20,13.1,17.0,9.7,57.2,35.0,2.3,9.2,0.0,588.0,12.4,,,17.8,
456871A001,안성시 보개면,2024-10-21,13.6,19.4,7.3,75.5,0.2,0.8,6.2,0.0,111.0,7.2,,,17.1,
