no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,255840A001,,2014-03-01,2.3,9.6,0.3,85.7,165.5,0.8,6.9,0.0,,,0,2.2,-0.2,,2014,3,1
61,255840A001,,2014-03-02,0.7,5.3,-3.7,80.7,175.3,0.8,10.6,0.5,,,174,1.0,-0.1,,2014,3,2
62,255840A001,,2014-03-03,0.6,7.9,-6.5,65.1,192.1,1.2,11.4,0.0,,,98,0.1,-0.1,,2014,3,3
63,255840A001,,2014-03-04,4.7,9.1,0.7,34.6,210.2,2.6,13.3,0.0,,,0,3.6,-0.1,,2014,3,4
64,255840A001,,2014-03-05,-0.5,3.1,-3.9,63.5,233.0,2.2,10.0,0.5,,,384,-0.3,-0.1,,2014,3,5
65,255840A001,,2014-03-06,-2.9,1.3,-8.7,46.5,231.2,2.9,17.8,0.0,,,0,-3.2,-0.1,,2014,3,6
66,255840A001,,2014-03-07,-3.2,1.9,-8.1,41.8,230.4,3.2,22.0,0.0,,,0,-2.9,-0.2,,2014,3,7
67,255840A001,,2014-03-08,-0.3,4.8,-4.7,49.9,212.1,2.7,13.4,0.0,,,0,-0.2,-0.4,,2014,3,8
68,255840A001,,2014-03-09,-0.6,2.9,-3.2,43.5,236.4,3.3,13.3,0.0,,,0,-0.4,-0.4,,2014,3,9
69,255840A001,,2014-03-10,-0.9,6.4,-9.9,46.2,213.5,1.9,14.1,0.0,,,0,-1.1,-0.6,,2014,3,10
70,255840A001,,2014-03-11,2.2,7.5,-4.2,55.6,210.8,3.7,19.2,0.0,,,0,1.4,-0.4,,2014,3,11
71,255840A001,,2014-03-12,4.3,9.5,1.4,67.5,210.5,2.6,13.7,0.5,,,552,3.6,-0.3,,2014,3,12
72,255840A001,,2014-03-13,-1.4,2.4,-7.0,85.3,73.4,1.9,11.4,2.0,,,746,-1.7,-0.2,,2014,3,13
73,255840A001,,2014-03-14,-0.6,6.2,-7.8,68.1,207.0,1.5,10.9,0.5,,,202,-0.5,-0.2,,2014,3,14
74,255840A001,,2014-03-15,3.8,10.1,-2.8,61.6,205.4,3.9,23.7,0.0,,,0,3.2,-0.2,,2014,3,15
75,255840A001,,2014-03-16,7.7,15.4,0.9,63.6,209.9,1.8,14.4,0.0,,,0,7.2,0.4,,2014,3,16
76,255840A001,,2014-03-17,9.1,16.1,0.3,72.9,198.2,2.6,24.5,4.5,,,278,8.0,1.1,,2014,3,17
77,255840A001,,2014-03-18,9.6,15.4,2.1,74.9,211.6,2.6,19.5,2.0,,,301,9.5,3.1,,2014,3,18
78,255840A001,,2014-03-19,4.7,9.8,1.0,74.2,162.5,0.7,5.2,0.0,,,0,4.1,1.5,,2014,3,19
79,255840A001,,2014-03-20,2.2,6.7,-2.1,86.6,112.2,1.3,11.6,0.0,,,0,1.9,1.5,,2014,3,20
80,255840A001,,2014-03-21,0.8,7.8,-4.3,74.1,218.4,1.2,10.3,0.5,,,126,1.3,1.6,,2014,3,21
81,255840A001,,2014-03-22,4.6,12.2,-4.9,60.5,206.7,2.0,12.6,0.0,,,0,4.2,2.2,,2014,3,22
82,255840A001,,2014-03-23,8.5,15.4,0.3,55.9,208.3,2.5,15.5,0.0,,,0,7.4,3.6,,2014,3,23
83,255840A001,,2014-03-24,8.6,14.6,1.0,54.2,210.7,3.0,17.2,0.0,,,0,7.8,4.2,,2014,3,24
84,255840A001,,2014-03-25,12.3,17.2,8.4,64.4,198.0,2.0,13.7,0.0,,,0,11.7,6.5,,2014,3,25
85,255840A001,,2014-03-26,11.6,20.5,4.9,66.2,190.4,1.0,8.6,0.0,,,0,11.1,7.4,,2014,3,26
86,255840A001,,2014-03-27,11.2,21.2,0.0,61.2,187.0,1.3,11.5,0.0,,,0,10.5,7.2,,2014,3,27
87,255840A001,,2014-03-28,13.6,20.5,5.3,61.2,180.8,2.0,13.6,0.0,,,0,12.7,8.1,,2014,3,28
88,255840A001,,2014-03-29,12.4,20.1,6.1,59.4,194.2,1.4,11.8,1.5,,,61,11.4,8.3,,2014,3,29
89,255840A001,,2014-03-30,8.0,15.4,3.9,73.7,89.8,1.4,10.0,0.0,,,795,8.5,8.0,,2014,3,30
90,255840A001,,2014-03-31,9.6,18.8,-0.7,56.6,192.5,1.3,9.9,0.0,,,89,8.7,7.2,,2014,3,31
