no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,255840A002,양구군 후리,2022-05-01,8.2,15.8,-0.7,68.7,242.1,1.0,6.3,1.5,468,,252,8.2,,,2022,5,1
122,255840A002,양구군 후리,2022-05-02,5.8,14.9,0.0,84.3,26.3,0.4,4.3,0.0,250,,495,6.3,,,2022,5,2
123,255840A002,양구군 후리,2022-05-03,9.7,19.7,-1.9,62.7,208.5,1.0,5.7,0.0,658,,94,9.9,,,2022,5,3
124,255840A002,양구군 후리,2022-05-04,15.6,23.7,5.4,47.5,194.1,1.1,5.8,0.0,711,,0,15.2,,,2022,5,4
125,255840A002,양구군 후리,2022-05-05,16.4,24.0,6.4,54.4,188.4,0.9,4.4,0.0,701,,0,15.9,,,2022,5,5
126,255840A002,양구군 후리,2022-05-06,17.6,23.3,11.4,63.2,205.3,1.0,4.3,0.0,573,,0,17.7,,,2022,5,6
127,255840A002,양구군 후리,2022-05-07,12.9,17.1,5.8,79.0,77.4,0.8,3.7,0.0,293,,107,13.6,,,2022,5,7
128,255840A002,양구군 후리,2022-05-08,9.8,15.7,3.7,72.5,217.5,0.4,3.0,0.0,97,,310,10.0,,,2022,5,8
129,255840A002,양구군 후리,2022-05-09,11.3,21.4,2.9,65.5,30.2,0.5,4.0,0.0,637,,321,11.5,,,2022,5,9
130,255840A002,양구군 후리,2022-05-10,11.0,23.2,-0.4,60.1,45.6,0.4,3.6,0.0,631,,68,11.2,,,2022,5,10
131,255840A002,양구군 후리,2022-05-11,15.2,23.2,5.4,64.3,201.7,0.7,4.6,0.0,607,,0,16.1,,,2022,5,11
132,255840A002,양구군 후리,2022-05-12,14.1,19.3,7.9,78.8,41.7,0.8,4.8,0.0,678,,44,15.0,,,2022,5,12
133,255840A002,양구군 후리,2022-05-13,10.3,15.1,3.6,84.2,48.3,0.5,4.5,0.0,80,,59,10.9,,,2022,5,13
134,255840A002,양구군 후리,2022-05-14,10.0,17.3,0.3,58.2,234.4,1.1,7.0,0.0,702,,323,10.3,,,2022,5,14
135,255840A002,양구군 후리,2022-05-15,11.5,19.1,0.8,54.2,228.7,0.8,4.8,0.0,727,,114,12.0,,,2022,5,15
136,255840A002,양구군 후리,2022-05-16,13.6,20.5,2.9,53.9,199.1,0.9,4.9,0.5,581,,8,13.5,,,2022,5,16
137,255840A002,양구군 후리,2022-05-17,15.3,23.8,6.5,67.9,203.3,0.8,6.1,0.0,655,,1,15.6,,,2022,5,17
138,255840A002,양구군 후리,2022-05-18,16.7,21.9,8.4,66.7,210.6,1.0,6.3,0.0,522,,0,16.2,,,2022,5,18
139,255840A002,양구군 후리,2022-05-19,17.7,23.6,10.1,62.6,194.6,0.9,4.3,0.0,657,,0,18.4,,,2022,5,19
140,255840A002,양구군 후리,2022-05-20,16.5,24.5,7.1,61.8,215.3,0.7,3.8,0.0,692,,0,17.1,,,2022,5,20
141,255840A002,양구군 후리,2022-05-21,17.4,24.7,7.9,72.9,208.6,0.8,4.3,0.0,680,,96,18.3,,,2022,5,21
142,255840A002,양구군 후리,2022-05-22,16.8,22.0,11.4,82.0,201.4,0.7,4.2,0.0,505,,197,17.4,,,2022,5,22
143,255840A002,양구군 후리,2022-05-23,18.2,27.7,9.2,78.2,199.1,0.5,3.8,0.0,623,,463,19.6,,,2022,5,23
144,255840A002,양구군 후리,2022-05-24,19.7,28.6,11.4,69.2,218.8,0.6,3.8,0.0,693,,294,20.5,,,2022,5,24
145,255840A002,양구군 후리,2022-05-25,17.3,26.0,7.9,71.4,207.5,0.9,4.9,2.5,529,,258,17.9,,,2022,5,25
146,255840A002,양구군 후리,2022-05-26,15.6,20.3,11.0,62.1,229.3,1.5,6.2,1.5,594,,84,16.6,,,2022,5,26
147,255840A002,양구군 후리,2022-05-27,14.9,19.2,11.2,75.7,245.8,1.0,5.5,1.5,118,,62,15.0,,,2022,5,27
148,255840A002,양구군 후리,2022-05-28,18.9,27.0,8.2,64.7,213.6,0.9,6.1,0.0,708,,202,19.1,,,2022,5,28
149,255840A002,양구군 후리,2022-05-29,17.6,27.2,7.7,69.3,203.8,0.6,3.7,0.0,673,,85,18.0,,,2022,5,29
150,255840A002,양구군 후리,2022-05-30,15.8,21.5,9.5,86.9,218.5,0.3,2.8,0.5,31,,476,15.8,,,2022,5,30
151,255840A002,양구군 후리,2022-05-31,16.9,23.8,7.0,58.0,250.3,1.0,5.8,0.0,691,,277,17.3,,,2022,5,31
