no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,215821A001,,2014-07-01,23.5,29.9,18.2,81.1,112.4,1.2,4.5,0.0,512,,,,,,2014,7,1
183,215821A001,,2014-07-02,22.6,25.5,20.3,87.6,110.0,1.5,5.2,0.0,102,,,,,,2014,7,2
184,215821A001,,2014-07-03,21.5,22.7,20.2,94.6,107.6,1.1,4.1,20.5,0,,,,,,2014,7,3
185,215821A001,,2014-07-04,22.3,28.4,-43.8,85.5,100.0,1.6,6.6,13.0,381,,,,,,2014,7,4
186,215821A001,,2014-07-05,21.3,26.1,17.3,79.5,158.1,1.6,5.3,0.0,465,,,,,,2014,7,5
187,215821A001,,2014-07-06,20.4,24.7,16.2,83.1,137.4,1.7,5.9,0.0,231,,,,,,2014,7,6
188,215821A001,,2014-07-07,21.1,25.9,15.1,82.4,134.8,2.0,6.7,0.0,499,,,,,,2014,7,7
189,215821A001,,2014-07-08,22.6,28.1,17.3,82.5,22.4,1.5,5.7,0.0,371,,,,,,2014,7,8
190,215821A001,,2014-07-09,25.7,32.2,21.8,83.2,155.1,1.3,7.3,25.0,254,,,,,,2014,7,9
191,215821A001,,2014-07-10,24.6,28.3,21.8,81.9,10.7,1.7,10.6,0.5,498,,,,,,2014,7,10
192,215821A001,,2014-07-11,28.3,34.0,22.5,45.4,269.3,3.4,13.2,0.0,495,,,,,,2014,7,11
193,215821A001,,2014-07-12,25.9,28.5,22.8,58.8,267.4,2.9,11.6,0.0,69,,,,,,2014,7,12
194,215821A001,,2014-07-13,27.0,32.4,23.6,59.1,258.2,2.6,7.3,0.0,392,,,,,,2014,7,13
195,215821A001,,2014-07-14,28.6,33.6,23.1,51.4,256.8,2.6,11.2,0.0,498,,,,,,2014,7,14
196,215821A001,,2014-07-15,26.8,30.7,23.4,60.7,215.1,2.2,7.7,0.5,294,,,,,,2014,7,15
197,215821A001,,2014-07-16,26.8,32.1,22.0,62.8,222.9,2.6,9.1,0.0,533,,,,,,2014,7,16
198,215821A001,,2014-07-17,26.4,32.7,22.5,66.3,182.9,2.0,7.8,0.0,497,,,,,,2014,7,17
199,215821A001,,2014-07-18,27.8,34.6,23.1,63.2,253.4,2.3,10.1,0.0,237,,,,,,2014,7,18
200,215821A001,,2014-07-19,26.9,31.6,22.3,70.1,262.9,2.0,6.9,0.0,413,,,,,,2014,7,19
201,215821A001,,2014-07-20,25.2,30.4,20.4,78.9,120.9,1.8,6.4,0.0,464,,,,,,2014,7,20
202,215821A001,,2014-07-21,28.8,36.2,20.9,63.1,249.1,2.4,9.8,0.0,522,,,,,,2014,7,21
203,215821A001,,2014-07-22,26.9,30.0,23.9,64.8,247.8,2.9,11.3,2.5,4,,,,,,2014,7,22
204,215821A001,,2014-07-23,26.7,32.0,24.1,67.4,255.3,2.9,10.6,0.0,99,,,,,,2014,7,23
205,215821A001,,2014-07-24,26.7,33.1,20.6,56.2,249.3,2.6,10.6,1.5,156,,,,,,2014,7,24
206,215821A001,,2014-07-25,21.8,25.9,19.3,88.8,326.7,1.0,5.6,25.5,0,,,,,,2014,7,25
207,215821A001,,2014-07-26,25.6,30.3,19.7,67.4,251.7,4.5,19.4,4.5,133,,,,,,2014,7,26
208,215821A001,,2014-07-27,22.3,27.0,17.9,79.8,145.5,1.5,5.3,3.0,418,,,,,,2014,7,27
209,215821A001,,2014-07-28,22.0,27.9,15.5,77.1,116.8,1.3,5.7,0.0,541,,,,,,2014,7,28
210,215821A001,,2014-07-29,22.2,27.9,18.6,79.2,130.8,1.5,5.8,0.0,359,,,,,,2014,7,29
211,215821A001,,2014-07-30,24.7,30.6,19.0,78.7,124.3,1.5,6.0,0.0,503,,,,,,2014,7,30
212,215821A001,,2014-07-31,26.2,33.1,21.7,77.3,191.4,1.7,7.9,4.5,477,,,,,,2014,7,31
