no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,482841A001,양주시 은현면,2010-05-01,9.6,17.5,0.7,62.6,71.1,0.9,4.4,0.0,636.0,,,,,,2010,5,1
122,482841A001,양주시 은현면,2010-05-02,14.4,23.3,4.5,54.0,70.0,0.9,4.6,0.0,570.0,2.7,,,,,2010,5,2
123,482841A001,양주시 은현면,2010-05-03,16.4,17.6,11.2,82.7,75.7,1.4,5.4,0.0,0.0,9.5,,,,,2010,5,3
124,482841A001,양주시 은현면,2010-05-04,18.7,23.0,13.8,78.8,74.4,1.1,4.1,0.0,6.0,12.0,,,,,2010,5,4
125,482841A001,양주시 은현면,2010-05-05,18.1,25.2,11.0,69.8,70.3,0.7,5.3,1.0,258.0,9.3,,,,,2010,5,5
126,482841A001,양주시 은현면,2010-05-06,13.7,18.0,9.3,87.0,74.2,1.6,6.0,23.0,138.0,7.7,,,,,2010,5,6
127,482841A001,양주시 은현면,2010-05-07,14.0,21.2,7.9,55.3,88.0,1.2,4.0,0.0,678.0,6.2,,,,,2010,5,7
128,482841A001,양주시 은현면,2010-05-08,14.9,23.6,6.8,61.9,71.3,0.6,2.7,0.0,678.0,5.0,,,,,2010,5,8
129,482841A001,양주시 은현면,2010-05-09,17.0,25.8,9.0,58.9,76.7,0.5,3.3,0.0,498.0,7.3,,,,,2010,5,9
131,482841A001,양주시 은현면,2010-05-11,10.8,16.1,5.4,76.0,65.2,0.5,3.9,0.5,120.0,3.7,,,,,2010,5,11
132,482841A001,양주시 은현면,2010-05-12,12.2,21.6,4.3,72.2,72.9,0.6,3.6,0.0,510.0,2.7,,,,,2010,5,12
133,482841A001,양주시 은현면,2010-05-13,14.0,23.8,5.8,63.7,54.2,0.3,2.6,0.0,438.0,4.1,,,,,2010,5,13
134,482841A001,양주시 은현면,2010-05-14,15.6,25.4,6.3,58.0,72.2,0.5,3.8,0.0,696.0,4.6,,,,,2010,5,14
135,482841A001,양주시 은현면,2010-05-15,14.9,23.2,8.5,58.9,81.4,0.7,3.5,0.0,540.0,6.7,,,,,2010,5,15
136,482841A001,양주시 은현면,2010-05-16,16.5,26.2,7.5,59.6,68.6,0.6,2.8,0.0,648.0,5.7,,,,,2010,5,16
137,482841A001,양주시 은현면,2010-05-17,17.9,27.1,9.5,56.9,80.0,0.5,3.3,0.0,408.0,7.8,,,,,2010,5,17
138,482841A001,양주시 은현면,2010-05-18,16.6,18.4,13.9,98.1,57.6,0.7,3.0,47.5,0.0,12.2,,,,,2010,5,18
139,482841A001,양주시 은현면,2010-05-19,17.1,21.5,14.2,83.6,83.1,0.8,3.1,0.5,468.0,12.5,,,,,2010,5,19
140,482841A001,양주시 은현면,2010-05-20,18.1,26.1,11.7,74.5,77.7,0.7,3.5,0.5,336.0,10.0,,,,,2010,5,20
141,482841A001,양주시 은현면,2010-05-21,19.2,30.0,11.0,64.0,78.0,0.4,2.3,0.0,486.0,9.3,,,,,2010,5,21
142,482841A001,양주시 은현면,2010-05-22,19.1,24.7,15.1,67.2,47.5,0.5,2.8,3.0,6.0,13.5,,,,,2010,5,22
143,482841A001,양주시 은현면,2010-05-23,15.4,17.9,13.4,84.9,26.3,0.8,3.3,15.0,0.0,11.7,,,,,2010,5,23
144,482841A001,양주시 은현면,2010-05-24,12.7,14.5,11.3,94.3,46.9,0.8,2.9,9.5,0.0,9.6,,,,,2010,5,24
145,482841A001,양주시 은현면,2010-05-25,14.3,18.2,12.1,90.9,55.5,0.3,1.8,0.0,18.0,10.3,,,,,2010,5,25
146,482841A001,양주시 은현면,2010-05-26,16.4,21.5,10.4,70.7,31.5,0.6,2.7,0.0,216.0,8.9,,,,,2010,5,26
147,482841A001,양주시 은현면,2010-05-27,15.9,25.5,7.6,66.4,62.5,0.5,2.9,0.0,618.0,5.9,,,,,2010,5,27
148,482841A001,양주시 은현면,2010-05-28,15.9,21.2,10.9,77.5,81.2,0.5,2.4,0.0,96.0,9.1,,,,,2010,5,28
149,482841A001,양주시 은현면,2010-05-29,17.3,24.2,13.4,77.1,71.5,0.5,2.3,15.0,228.0,11.7,,,,,2010,5,29
150,482841A001,양주시 은현면,2010-05-30,16.8,23.4,11.0,77.0,32.2,0.5,3.2,0.0,318.0,9.3,,,,,2010,5,30
151,482841A001,양주시 은현면,2010-05-31,16.0,22.0,11.9,77.9,65.2,0.4,1.9,5.5,186.0,10.2,,,,,2010,5,31
