no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,476801A001,양평군 양평읍,2018-10-01,14.0,19.0,10.6,66.7,169.1,0.7,7.4,0.0,0.0,15.5,7.0,13.9,,20.0,2018,10,1
275,476801A001,양평군 양평읍,2018-10-02,13.5,20.8,7.6,77.7,228.1,0.6,4.2,0.0,0.0,19.3,201.0,14.2,,19.2,2018,10,2
276,476801A001,양평군 양평읍,2018-10-03,14.4,22.9,7.4,77.3,214.2,0.4,4.1,0.0,0.0,18.5,388.0,14.6,,18.6,2018,10,3
277,476801A001,양평군 양평읍,2018-10-04,17.3,24.7,10.0,72.6,113.5,0.6,6.5,0.0,0.0,17.4,0.0,17.6,,17.6,2018,10,4
278,476801A001,양평군 양평읍,2018-10-05,16.8,19.2,14.2,84.7,189.0,1.0,12.0,27.5,0.0,2.6,1062.0,16.1,,20.5,2018,10,5
279,476801A001,양평군 양평읍,2018-10-06,18.1,21.5,14.9,83.1,152.7,1.3,16.8,66.5,0.0,3.9,733.0,16.7,,33.7,2018,10,6
280,476801A001,양평군 양평읍,2018-10-07,15.4,22.0,9.7,77.2,236.9,0.3,4.2,0.0,0.0,15.2,331.0,15.5,,29.7,2018,10,7
281,476801A001,양평군 양평읍,2018-10-08,12.2,19.7,6.2,67.3,287.2,0.4,3.3,0.0,0.0,15.8,0.0,12.3,,27.8,2018,10,8
282,476801A001,양평군 양평읍,2018-10-09,12.7,18.0,7.0,75.0,120.7,0.3,4.7,0.0,0.0,9.7,0.0,12.7,,27.1,2018,10,9
283,476801A001,양평군 양평읍,2018-10-10,12.0,15.6,6.2,71.9,149.0,0.7,7.5,2.0,0.0,15.1,261.0,12.4,,26.6,2018,10,10
284,476801A001,양평군 양평읍,2018-10-11,8.0,14.0,2.6,67.0,215.7,0.7,7.7,0.0,0.0,15.9,0.0,8.3,,26.2,2018,10,11
285,476801A001,양평군 양평읍,2018-10-12,8.4,16.1,1.1,72.7,264.7,0.5,3.7,0.0,0.0,17.8,124.0,9.3,,25.2,2018,10,12
286,476801A001,양평군 양평읍,2018-10-13,9.9,18.5,2.6,75.8,228.9,0.4,4.1,0.0,0.0,17.3,336.0,10.4,,23.9,2018,10,13
287,476801A001,양평군 양평읍,2018-10-14,11.1,18.7,4.7,72.2,228.7,0.5,4.1,0.0,0.0,16.5,152.0,11.3,,23.4,2018,10,14
288,476801A001,양평군 양평읍,2018-10-15,12.4,19.3,6.8,81.0,232.8,0.5,4.3,0.0,0.0,12.4,160.0,12.2,,22.7,2018,10,15
289,476801A001,양평군 양평읍,2018-10-16,12.1,18.4,7.3,80.1,205.9,0.3,3.3,0.0,0.0,12.6,177.0,12.1,,22.4,2018,10,16
290,476801A001,양평군 양평읍,2018-10-17,10.8,17.8,6.0,75.2,208.1,0.4,2.9,0.0,0.0,13.7,235.0,10.6,,22.6,2018,10,17
291,476801A001,양평군 양평읍,2018-10-18,9.5,17.4,3.6,80.6,174.1,0.4,6.6,0.0,0.0,9.7,211.0,9.4,,22.4,2018,10,18
292,476801A001,양평군 양평읍,2018-10-19,11.7,19.1,5.9,68.1,245.9,0.6,3.1,0.0,0.0,16.9,0.0,11.6,,21.4,2018,10,19
293,476801A001,양평군 양평읍,2018-10-20,11.1,20.0,4.2,68.5,237.9,0.4,3.4,0.0,0.0,16.7,13.0,10.8,,21.2,2018,10,20
294,476801A001,양평군 양평읍,2018-10-21,10.8,19.5,3.8,67.7,232.7,0.4,3.8,0.0,0.0,16.2,40.0,10.6,,20.7,2018,10,21
295,476801A001,양평군 양평읍,2018-10-22,11.7,19.3,5.4,70.0,154.9,0.4,3.3,0.0,0.0,12.9,0.0,11.4,,20.3,2018,10,22
296,476801A001,양평군 양평읍,2018-10-23,9.6,13.3,5.9,91.2,189.5,0.2,3.0,3.5,0.0,5.6,304.0,9.4,,19.6,2018,10,23
297,476801A001,양평군 양평읍,2018-10-24,11.0,17.6,7.4,82.6,177.7,0.5,4.4,0.0,0.0,13.0,158.0,11.6,,20.4,2018,10,24
298,476801A001,양평군 양평읍,2018-10-25,10.7,19.1,3.6,77.3,277.4,0.4,2.8,0.0,0.0,13.1,367.0,10.5,,19.9,2018,10,25
299,476801A001,양평군 양평읍,2018-10-26,10.5,12.8,6.8,87.3,121.9,0.4,6.2,5.0,0.0,1.7,852.0,9.8,,19.9,2018,10,26
300,476801A001,양평군 양평읍,2018-10-27,7.3,12.0,3.8,66.9,154.7,0.7,9.8,0.0,0.0,13.0,86.0,6.9,,21.7,2018,10,27
301,476801A001,양평군 양평읍,2018-10-28,6.2,10.6,2.9,86.8,167.3,0.3,5.0,4.0,0.0,5.9,506.0,6.1,,22.4,2018,10,28
302,476801A001,양평군 양평읍,2018-10-29,6.2,12.1,2.3,72.5,178.8,0.6,5.1,0.0,0.0,10.4,6.0,6.3,,23.5,2018,10,29
303,476801A001,양평군 양평읍,2018-10-30,4.8,11.2,-1.0,62.4,182.1,0.5,5.3,0.0,0.0,15.0,0.0,5.0,,23.1,2018,10,30
304,476801A001,양평군 양평읍,2018-10-31,6.4,12.5,1.7,64.7,204.1,0.7,6.4,0.0,0.0,15.0,0.0,6.7,,22.3,2018,10,31
