no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,469803A001,여주시 상거동,2010-02-01,0.0,6.5,-3.4,83.7,246.8,0.1,3.6,0.0,120,,,,0.0,,2010,2,1
33,469803A001,여주시 상거동,2010-02-02,-3.9,-0.1,-9.5,39.2,295.5,0.7,9.3,0.0,546,,,,0.0,,2010,2,2
34,469803A001,여주시 상거동,2010-02-03,-7.9,-2.8,-13.3,42.9,263.2,0.4,8.5,0.0,540,,,,-0.7,,2010,2,3
35,469803A001,여주시 상거동,2010-02-04,-5.7,0.7,-12.9,61.4,252.4,0.2,6.8,0.0,498,,,,-1.1,,2010,2,4
36,469803A001,여주시 상거동,2010-02-05,-4.6,0.9,-11.2,45.0,254.5,0.3,8.7,0.0,558,,,,-1.2,,2010,2,5
37,469803A001,여주시 상거동,2010-02-06,-6.0,2.9,-14.4,55.8,269.2,0.0,4.1,0.0,558,,,,-1.7,,2010,2,6
38,469803A001,여주시 상거동,2010-02-07,-2.7,6.8,-11.9,54.7,257.8,0.0,5.5,0.0,378,,,,-1.5,,2010,2,7
39,469803A001,여주시 상거동,2010-02-08,2.1,5.0,0.5,66.6,,0.0,0.5,0.5,30,,,,-0.2,,2010,2,8
40,469803A001,여주시 상거동,2010-02-09,2.9,3.8,1.4,97.7,,0.0,1.3,14.5,0,,,,0.0,,2010,2,9
41,469803A001,여주시 상거동,2010-02-10,2.6,4.0,1.1,98.2,340.8,0.0,2.9,8.5,0,,,,0.0,,2010,2,10
42,469803A001,여주시 상거동,2010-02-11,0.9,3.0,-0.6,93.1,352.4,0.2,3.9,10.0,0,,,,0.0,,2010,2,11
43,469803A001,여주시 상거동,2010-02-12,0.3,4.3,-2.4,82.5,,0.0,3.3,0.0,90,,,,0.0,,2010,2,12
44,469803A001,여주시 상거동,2010-02-13,-1.8,1.5,-7.0,76.0,224.1,0.5,7.0,3.0,426,,,,0.0,,2010,2,13
45,469803A001,여주시 상거동,2010-02-14,-3.8,0.9,-7.9,77.7,,0.0,0.8,0.0,0,,,,0.0,,2010,2,14
46,469803A001,여주시 상거동,2010-02-15,-3.6,2.5,-9.1,67.5,268.3,0.0,5.0,0.0,198,,,,0.0,,2010,2,15
47,469803A001,여주시 상거동,2010-02-16,-4.0,2.0,-8.5,61.0,224.7,0.2,6.4,0.0,528,,,,0.0,,2010,2,16
48,469803A001,여주시 상거동,2010-02-17,-4.7,0.5,-10.8,66.1,,0.0,-1.0,0.0,66,,,,0.0,,2010,2,17
49,469803A001,여주시 상거동,2010-02-18,-2.2,1.2,-8.1,60.7,271.8,0.4,9.3,0.0,468,,,,0.0,,2010,2,18
50,469803A001,여주시 상거동,2010-02-19,-3.0,3.9,-8.8,64.1,229.7,0.3,8.1,0.0,348,,,,0.0,,2010,2,19
51,469803A001,여주시 상거동,2010-02-20,0.0,8.3,-7.2,71.2,210.4,0.0,5.7,0.0,438,,,,0.0,,2010,2,20
52,469803A001,여주시 상거동,2010-02-21,1.7,10.3,-5.3,72.8,196.5,0.3,7.4,0.0,486,,,,0.0,,2010,2,21
53,469803A001,여주시 상거동,2010-02-22,2.1,11.0,-2.8,84.1,206.3,0.0,4.2,0.0,210,,,,0.0,,2010,2,22
54,469803A001,여주시 상거동,2010-02-23,4.0,16.4,-2.6,71.4,198.3,0.0,5.1,0.0,438,,,,0.0,,2010,2,23
55,469803A001,여주시 상거동,2010-02-24,7.4,18.8,-2.0,59.6,284.5,0.0,3.2,0.0,420,,,,0.0,,2010,2,24
56,469803A001,여주시 상거동,2010-02-25,10.7,13.8,7.7,94.1,194.5,0.0,3.7,13.5,0,,,,0.0,,2010,2,25
57,469803A001,여주시 상거동,2010-02-26,10.7,17.4,4.0,86.9,312.4,0.2,5.5,0.0,180,,,,2.4,,2010,2,26
58,469803A001,여주시 상거동,2010-02-27,5.5,12.0,0.2,80.5,167.1,0.3,8.2,0.0,288,,,,4.7,,2010,2,27
59,469803A001,여주시 상거동,2010-02-28,5.2,10.5,0.0,81.8,170.5,0.3,10.1,0.0,6,,,,5.1,,2010,2,28
