no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,4.86831e+16,연천군 신서면,2018-11-01,4.2,16.8,-4.2,76.9,,0.0,5.7,0.0,526,14.9,,,8.5,,2018,11,1
306,4.86831e+16,연천군 신서면,2018-11-02,5.9,19.6,-2.9,75.1,,0.0,3.5,0.0,515,14.5,,,8.4,,2018,11,2
307,4.86831e+16,연천군 신서면,2018-11-03,6.6,20.2,-2.5,73.7,,0.0,5.1,0.0,522,14.7,,,8.5,,2018,11,3
308,4.86831e+16,연천군 신서면,2018-11-04,7.0,20.4,-1.9,75.8,,0.0,4.3,0.0,519,14.0,,,8.6,,2018,11,4
309,4.86831e+16,연천군 신서면,2018-11-05,8.3,20.5,0.8,77.7,,0.0,4.1,0.0,502,13.2,,,9.0,,2018,11,5
310,4.86831e+16,연천군 신서면,2018-11-06,9.6,19.4,1.8,79.8,,0.0,4.6,0.0,445,11.1,,,9.4,,2018,11,6
311,4.86831e+16,연천군 신서면,2018-11-07,11.1,12.6,9.2,87.3,,0.0,5.8,2.5,0,2.0,,,10.2,,2018,11,7
312,4.86831e+16,연천군 신서면,2018-11-08,11.4,14.3,10.2,91.9,,0.0,9.5,33.0,0,1.8,,,10.6,,2018,11,8
313,4.86831e+16,연천군 신서면,2018-11-09,11.6,15.9,9.4,80.0,,0.0,9.2,2.5,173,7.5,,,11.2,,2018,11,9
314,4.86831e+16,연천군 신서면,2018-11-10,8.4,16.9,0.6,82.6,,0.0,4.9,0.0,369,10.0,,,11.1,,2018,11,10
315,4.86831e+16,연천군 신서면,2018-11-11,3.9,9.6,-1.5,82.0,,0.0,4.7,0.0,57,3.9,,,9.8,,2018,11,11
316,4.86831e+16,연천군 신서면,2018-11-12,4.1,15.8,-3.3,79.5,,0.0,3.6,0.0,502,13.4,,,8.7,,2018,11,12
317,4.86831e+16,연천군 신서면,2018-11-13,6.1,17.0,-1.7,78.1,,0.0,4.8,0.0,497,13.3,,,8.4,,2018,11,13
318,4.86831e+16,연천군 신서면,2018-11-14,5.9,17.2,-1.3,79.7,,0.0,4.6,0.0,495,12.9,,,8.4,,2018,11,14
319,4.86831e+16,연천군 신서면,2018-11-15,4.7,16.6,-2.3,78.9,,0.0,4.4,0.0,463,10.5,,,8.0,,2018,11,15
320,4.86831e+16,연천군 신서면,2018-11-16,3.7,11.4,-2.5,86.7,,0.0,4.2,0.0,23,3.8,,,7.8,,2018,11,16
321,4.86831e+16,연천군 신서면,2018-11-17,1.1,9.8,-5.4,82.7,,0.0,4.9,0.0,269,9.5,,,7.2,,2018,11,17
322,4.86831e+16,연천군 신서면,2018-11-18,1.6,10.0,-4.6,76.2,,0.0,4.6,0.0,247,8.2,,,6.7,,2018,11,18
323,4.86831e+16,연천군 신서면,2018-11-19,1.4,10.6,-4.9,81.0,,0.0,3.9,0.0,216,7.2,,,6.2,,2018,11,19
324,4.86831e+16,연천군 신서면,2018-11-20,2.6,11.5,-7.0,68.0,,0.0,8.8,1.0,462,11.8,,,5.5,,2018,11,20
325,4.86831e+16,연천군 신서면,2018-11-21,3.5,6.8,-4.2,83.0,,0.0,2.9,0.0,0,2.9,,,6.0,,2018,11,21
326,4.86831e+16,연천군 신서면,2018-11-22,-2.0,6.6,-8.5,70.9,,0.0,8.1,0.5,480,12.4,,,5.4,,2018,11,22
327,4.86831e+16,연천군 신서면,2018-11-23,-2.9,6.6,-10.5,67.4,,0.0,4.5,0.0,460,12.1,,,4.2,,2018,11,23
328,4.86831e+16,연천군 신서면,2018-11-24,1.1,3.7,-1.6,81.8,,0.0,4.9,3.5,0,1.8,,,3.7,,2018,11,24
329,4.86831e+16,연천군 신서면,2018-11-25,1.6,8.4,-1.9,92.2,,0.0,3.9,0.0,58,5.2,,,4.1,,2018,11,25
330,4.86831e+16,연천군 신서면,2018-11-26,2.4,12.9,-2.6,88.8,,0.0,4.3,0.0,389,9.9,,,4.6,,2018,11,26
331,4.86831e+16,연천군 신서면,2018-11-27,3.8,11.9,-3.2,85.4,,0.0,4.1,0.0,2,3.7,,,5.0,,2018,11,27
332,4.86831e+16,연천군 신서면,2018-11-28,-0.3,10.2,-5.6,70.5,,0.0,4.0,0.0,405,10.4,,,4.7,,2018,11,28
333,4.86831e+16,연천군 신서면,2018-11-29,-1.4,6.8,-6.2,76.3,,0.0,2.9,0.0,16,3.9,,,4.0,,2018,11,29
334,4.86831e+16,연천군 신서면,2018-11-30,-2.1,7.9,-8.7,75.4,,0.0,4.2,0.0,466,11.3,,,3.3,,2018,11,30
