stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
4.86831e+16,연천군 신서면,2024-10-01,16.7,21.1,8.2,81.7,208.0,0.8,7.5,5.5,214.0,8.8,,,21.6,28.5
4.86831e+16,연천군 신서면,2024-10-02,10.9,19.9,4.9,75.4,188.0,0.5,5.4,0.0,593.0,20.2,,,19.6,28.1
4.86831e+16,연천군 신서면,2024-10-03,13.1,22.2,5.0,74.4,116.6,0.9,6.1,0.0,417.0,16.8,,,18.4,27.9
4.86831e+16,연천군 신서면,2024-10-04,13.4,23.2,6.4,75.5,195.5,0.5,4.0,0.0,587.0,19.7,,,18.2,27.7
4.86831e+16,연천군 신서면,2024-10-05,13.1,23.9,5.7,76.7,205.9,0.5,3.7,0.0,584.0,18.3,,,17.8,27.5
4.86831e+16,연천군 신서면,2024-10-06,11.9,17.2,6.4,89.2,154.5,0.4,3.5,0.0,0.0,4.1,,,17.2,27.3
4.86831e+16,연천군 신서면,2024-10-07,14.1,20.2,9.8,86.6,188.5,0.4,3.2,0.0,176.0,10.7,,,16.9,27.1
4.86831e+16,연천군 신서면,2024-10-08,14.7,22.8,9.1,82.5,101.9,1.1,7.3,0.0,416.0,13.3,,,17.2,27.0
4.86831e+16,연천군 신서면,2024-10-09,15.9,24.6,9.5,78.0,154.9,0.6,4.8,0.0,431.0,14.4,,,17.3,26.8
4.86831e+16,연천군 신서면,2024-10-10,15.5,22.5,11.3,86.2,234.8,0.6,3.7,5.5,305.0,10.4,,,17.7,26.6
4.86831e+16,연천군 신서면,2024-10-11,14.6,23.2,9.1,86.1,186.7,0.6,4.1,0.0,368.0,14.0,,,17.5,26.4
4.86831e+16,연천군 신서면,2024-10-12,13.8,23.7,7.5,82.4,193.2,0.4,3.6,0.0,556.0,17.3,,,17.3,26.3
4.86831e+16,연천군 신서면,2024-10-13,15.0,23.2,6.9,82.1,178.8,0.5,2.9,0.0,347.0,12.4,,,17.0,26.2
