no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,486803A001,연천군 연천읍,2019-01-01,-9.2,-0.7,-15.9,65.2,270.1,0.5,7.4,0.0,461.0,9.2,0.0,,-0.5,,2019,1,1
2,486803A001,연천군 연천읍,2019-01-02,-9.7,0.0,-16.5,63.5,288.7,0.4,4.4,0.0,497.0,11.2,0.0,,-0.7,,2019,1,2
3,486803A001,연천군 연천읍,2019-01-03,-8.8,1.8,-16.3,61.2,82.9,0.4,4.0,0.0,498.0,11.0,0.0,,-0.8,,2019,1,3
4,486803A001,연천군 연천읍,2019-01-04,-5.6,3.2,-14.0,68.3,196.4,0.4,6.7,0.0,376.0,8.3,0.0,,-0.7,,2019,1,4
5,486803A001,연천군 연천읍,2019-01-05,-6.6,0.4,-12.2,60.9,309.0,0.7,5.7,0.0,498.0,11.2,0.0,,-0.5,,2019,1,5
6,486803A001,연천군 연천읍,2019-01-06,-7.4,2.1,-13.8,55.1,214.8,0.4,3.6,0.0,456.0,10.1,0.0,,-0.7,,2019,1,6
7,486803A001,연천군 연천읍,2019-01-07,-7.0,2.1,-14.4,62.0,211.5,0.3,4.6,0.0,399.0,9.6,0.0,,-0.8,,2019,1,7
8,486803A001,연천군 연천읍,2019-01-08,-7.1,0.5,-13.9,53.0,294.5,1.4,8.8,0.0,505.0,11.2,0.0,,-0.8,,2019,1,8
9,486803A001,연천군 연천읍,2019-01-09,-9.6,-0.6,-16.2,53.1,42.1,0.2,3.4,0.0,398.0,8.6,0.0,,-1.0,,2019,1,9
10,486803A001,연천군 연천읍,2019-01-10,-3.3,2.9,-9.6,57.2,232.7,0.6,5.5,0.0,246.0,7.6,0.0,,-0.7,,2019,1,10
11,486803A001,연천군 연천읍,2019-01-11,-1.9,6.1,-7.7,71.2,272.7,0.2,3.0,0.0,456.0,9.5,15.0,,-0.4,,2019,1,11
12,486803A001,연천군 연천읍,2019-01-12,-0.6,7.2,-7.5,64.1,145.8,0.3,3.5,0.0,312.0,7.8,0.0,,-0.2,,2019,1,12
13,486803A001,연천군 연천읍,2019-01-13,-3.5,7.5,-10.8,65.2,273.0,0.2,3.8,0.0,492.0,10.5,10.0,,-0.2,,2019,1,13
14,486803A001,연천군 연천읍,2019-01-14,-3.4,4.1,-9.3,79.7,177.7,0.1,3.4,0.0,55.0,4.9,10.0,,-0.3,,2019,1,14
15,486803A001,연천군 연천읍,2019-01-15,-3.4,2.5,-11.6,67.2,268.8,1.3,9.2,0.0,269.0,8.0,0.0,,-0.1,,2019,1,15
16,486803A001,연천군 연천읍,2019-01-16,-8.3,-1.2,-15.9,56.7,213.6,0.5,5.1,0.0,473.0,10.7,0.0,,-0.4,,2019,1,16
17,486803A001,연천군 연천읍,2019-01-17,-3.8,4.0,-10.5,56.0,270.8,0.7,6.0,0.0,520.0,11.5,0.0,,-0.3,,2019,1,17
18,486803A001,연천군 연천읍,2019-01-18,-5.0,5.4,-13.2,61.7,216.1,0.4,5.0,0.0,516.0,11.7,0.0,,-0.5,,2019,1,18
19,486803A001,연천군 연천읍,2019-01-19,-2.7,3.8,-7.7,81.8,355.3,0.2,3.1,0.0,10.0,3.1,0.0,-7.6,-0.4,,2019,1,19
20,486803A001,연천군 연천읍,2019-01-20,-3.5,1.4,-10.8,56.1,288.4,1.3,9.7,0.0,521.0,12.0,0.0,,-0.2,,2019,1,20
21,486803A001,연천군 연천읍,2019-01-21,-5.7,3.6,-13.7,71.0,160.5,0.5,4.8,0.0,28.0,4.2,0.0,,-0.5,,2019,1,21
22,486803A001,연천군 연천읍,2019-01-22,-3.9,6.8,-12.4,75.1,219.9,0.6,7.3,0.0,471.0,11.0,46.0,,-0.5,,2019,1,22
23,486803A001,연천군 연천읍,2019-01-23,-2.5,6.7,-9.8,62.4,283.5,0.7,8.0,0.0,475.0,11.0,87.0,,-0.4,,2019,1,23
24,486803A001,연천군 연천읍,2019-01-24,-4.9,5.7,-12.7,50.7,306.9,0.4,4.3,0.0,533.0,12.5,0.0,,-0.5,,2019,1,24
25,486803A001,연천군 연천읍,2019-01-25,-6.0,2.3,-13.4,49.2,291.5,1.1,8.2,0.0,534.0,12.4,0.0,,-0.7,,2019,1,25
26,486803A001,연천군 연천읍,2019-01-26,-7.3,2.2,-14.7,51.8,308.9,0.9,5.7,0.0,541.0,13.0,0.0,,-0.8,,2019,1,26
27,486803A001,연천군 연천읍,2019-01-27,-4.8,4.1,-15.3,65.6,212.9,0.8,5.9,0.0,424.0,11.0,0.0,,-0.9,,2019,1,27
28,486803A001,연천군 연천읍,2019-01-28,-0.4,3.6,-9.2,50.7,275.5,1.8,9.1,0.0,537.0,12.2,132.0,39.3,-0.4,,2019,1,28
29,486803A001,연천군 연천읍,2019-01-29,-4.9,5.7,-13.1,51.4,212.7,0.5,10.4,0.0,529.0,12.5,0.0,,-0.6,,2019,1,29
30,486803A001,연천군 연천읍,2019-01-30,-2.4,6.4,-10.4,62.2,206.6,0.5,4.3,0.0,449.0,9.1,0.0,,-0.5,,2019,1,30
31,486803A001,연천군 연천읍,2019-01-31,-3.8,0.1,-12.2,40.8,305.1,1.2,5.3,0.0,226.0,6.4,0.0,,-0.3,,2019,1,31
