stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
486803A001,연천군 연천읍,2024-03-01,-4.1,0.2,-9.3,37.7,284.9,1.6,7.5,0.0,607,18.8,0,-3.5,,-19.0,2024,3,1
486803A001,연천군 연천읍,2024-03-02,-2.4,4.1,-11.4,62.4,207.9,1.5,9.9,0.0,271,9.8,0,-2.2,,-19.0,2024,3,2
486803A001,연천군 연천읍,2024-03-03,2.0,8.2,-4.1,65.2,244.6,0.6,5.5,0.0,535,14.1,5,2.1,,-19.0,2024,3,3
486803A001,연천군 연천읍,2024-03-04,1.5,12.0,-7.7,52.5,222.0,0.3,3.7,0.0,558,18.9,0,1.9,,-19.0,2024,3,4
486803A001,연천군 연천읍,2024-03-05,4.1,12.8,-1.2,61.1,1.2,1.0,8.2,0.0,111,8.8,0,4.3,,-19.0,2024,3,5
486803A001,연천군 연천읍,2024-03-06,3.5,10.0,-1.3,69.6,10.1,0.7,5.3,0.0,435,13.8,0,4.0,,-19.0,2024,3,6
486803A001,연천군 연천읍,2024-03-07,0.8,5.5,-3.9,85.1,357.2,0.5,3.2,0.5,113,6.2,562,0.9,,-18.0,2024,3,7
486803A001,연천군 연천읍,2024-03-08,-0.1,6.8,-6.2,60.9,288.0,0.9,6.5,0.0,619,19.1,156,0.3,,-19.0,2024,3,8
486803A001,연천군 연천읍,2024-03-09,-0.4,8.0,-8.0,57.9,262.6,0.6,4.2,0.0,636,19.9,5,0.4,,-19.0,2024,3,9
486803A001,연천군 연천읍,2024-03-10,1.4,10.9,-7.0,63.0,226.5,0.7,6.0,0.0,637,19.5,24,2.0,,-19.0,2024,3,10
486803A001,연천군 연천읍,2024-03-11,2.9,10.7,-2.5,70.7,215.8,0.3,4.1,0.0,92,7.9,74,2.9,,-18.5,2024,3,11
486803A001,연천군 연천읍,2024-03-12,5.3,12.1,0.1,70.2,2.9,0.4,4.2,0.5,177,6.4,293,5.6,,-7.8,2024,3,12
486803A001,연천군 연천읍,2024-03-13,4.4,13.1,-3.8,62.3,218.4,1.1,7.3,0.0,629,19.7,40,5.0,,5.0,2024,3,13
486803A001,연천군 연천읍,2024-03-14,5.7,15.5,-3.0,60.2,218.3,0.7,5.8,0.0,626,19.7,50,6.1,,5.0,2024,3,14
486803A001,연천군 연천읍,2024-03-15,6.4,16.1,-2.0,70.8,224.5,0.8,6.4,0.0,609,18.0,26,6.9,,5.0,2024,3,15
486803A001,연천군 연천읍,2024-03-16,8.3,17.4,-0.7,62.8,227.4,0.6,5.2,0.0,419,15.2,131,8.8,,5.0,2024,3,16
486803A001,연천군 연천읍,2024-03-17,8.5,12.5,0.1,45.7,291.9,1.6,7.8,0.0,578,19.4,0,9.1,,5.0,2024,3,17
486803A001,연천군 연천읍,2024-03-18,4.3,13.6,-4.6,41.5,228.0,0.8,6.5,0.0,644,20.4,0,5.0,,5.0,2024,3,18
486803A001,연천군 연천읍,2024-03-19,5.3,11.4,1.9,61.4,244.5,1.1,8.0,8.0,70,5.3,367,5.2,,5.0,2024,3,19
486803A001,연천군 연천읍,2024-03-20,3.0,8.6,-2.9,59.6,302.8,0.9,7.3,0.0,540,17.8,40,3.4,,5.0,2024,3,20
486803A001,연천군 연천읍,2024-03-21,3.0,11.7,-4.7,58.4,223.3,0.6,5.4,0.0,652,20.9,0,4.0,,5.0,2024,3,21
486803A001,연천군 연천읍,2024-03-22,6.8,14.5,-0.9,69.4,152.3,0.6,6.5,17.5,226,8.6,485,7.0,,5.0,2024,3,22
486803A001,연천군 연천읍,2024-03-23,10.6,17.8,5.8,75.6,339.5,0.6,4.9,0.5,508,19.5,665,11.4,,5.0,2024,3,23
486803A001,연천군 연천읍,2024-03-24,12.4,23.7,2.5,60.0,195.6,0.5,4.3,0.0,624,20.4,5,13.0,,5.0,2024,3,24
486803A001,연천군 연천읍,2024-03-25,9.4,13.1,6.2,67.0,20.8,1.0,6.0,1.0,8,5.9,368,9.4,,5.0,2024,3,25
486803A001,연천군 연천읍,2024-03-26,6.3,12.9,1.8,77.6,0.9,1.3,5.0,8.0,420,18.5,583,7.3,,5.0,2024,3,26
486803A001,연천군 연천읍,2024-03-27,8.2,16.1,0.4,77.4,222.5,0.5,4.8,0.0,572,17.9,0,8.9,,5.0,2024,3,27
486803A001,연천군 연천읍,2024-03-28,9.5,12.6,7.1,86.3,214.6,0.3,3.9,3.5,0,4.5,627,9.6,,5.0,2024,3,28
486803A001,연천군 연천읍,2024-03-29,6.8,13.4,0.8,76.2,280.0,0.6,6.9,2.0,198,6.8,428,6.6,,5.0,2024,3,29
486803A001,연천군 연천읍,2024-03-30,5.3,15.3,-1.3,66.7,296.9,0.6,5.2,0.0,273,9.9,0,5.2,,5.0,2024,3,30
486803A001,연천군 연천읍,2024-03-31,7.0,15.9,-2.3,57.2,330.5,0.4,5.6,0.0,558,20.5,51,7.3,,5.0,2024,3,31
