no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,513842A001,영광군 군서면,2010-02-01,2.5,5.6,0.7,82.2,5.7,2.6,9.5,0.0,258,7.2,330,,4.4,,2010,2,1
33,513842A001,영광군 군서면,2010-02-02,-1.3,1.2,-4.9,55.9,9.4,4.3,11.2,0.0,432,10.6,0,,3.8,,2010,2,2
34,513842A001,영광군 군서면,2010-02-03,-3.9,-1.0,-7.9,59.0,17.6,3.4,10.0,0.0,486,11.0,0,,2.9,,2010,2,3
35,513842A001,영광군 군서면,2010-02-04,-2.9,3.3,-7.5,75.4,10.1,1.6,8.5,0.0,486,10.6,36,,2.6,,2010,2,4
36,513842A001,영광군 군서면,2010-02-05,-2.8,2.2,-7.6,73.6,27.0,2.3,8.6,0.0,480,10.2,66,,2.5,,2010,2,5
37,513842A001,영광군 군서면,2010-02-06,-3.1,4.0,-8.1,60.5,27.8,2.3,7.5,0.0,612,13.6,0,,2.4,,2010,2,6
38,513842A001,영광군 군서면,2010-02-07,1.3,9.5,-9.3,65.2,86.2,2.0,7.3,0.0,192,6.1,36,,2.2,,2010,2,7
39,513842A001,영광군 군서면,2010-02-08,7.2,10.7,5.0,62.4,170.7,2.1,9.1,4.5,0,1.7,1074,,3.3,,2010,2,8
40,513842A001,영광군 군서면,2010-02-09,7.2,8.9,5.8,6.8,32.8,1.8,5.9,7.0,0,1.6,1236,,4.8,,2010,2,9
41,513842A001,영광군 군서면,2010-02-10,4.4,7.1,3.0,0.0,8.3,2.5,7.9,4.5,0,0.9,1434,,5.3,,2010,2,10
42,513842A001,영광군 군서면,2010-02-11,4.0,5.5,1.9,0.0,26.4,2.5,7.4,22.5,0,2.0,1434,,5.2,,2010,2,11
43,513842A001,영광군 군서면,2010-02-12,1.2,2.6,-1.0,48.7,356.8,2.1,6.6,1.5,0,1.8,750,,4.8,,2010,2,12
44,513842A001,영광군 군서면,2010-02-13,-0.1,1.6,-2.1,67.7,326.3,2.8,7.6,0.0,132,5.6,0,,4.0,,2010,2,13
45,513842A001,영광군 군서면,2010-02-14,-1.0,1.5,-4.2,69.9,29.0,2.6,8.7,0.0,24,5.0,0,,3.4,,2010,2,14
46,513842A001,영광군 군서면,2010-02-15,-0.3,3.2,-2.2,60.4,8.6,3.5,10.5,0.0,432,10.6,0,,3.1,,2010,2,15
47,513842A001,영광군 군서면,2010-02-16,-1.8,1.3,-4.8,64.3,6.8,3.1,9.1,0.0,534,13.1,0,,3.1,,2010,2,16
48,513842A001,영광군 군서면,2010-02-17,-1.0,5.0,-6.0,60.1,30.8,2.2,8.1,0.0,450,11.7,96,,3.1,,2010,2,17
49,513842A001,영광군 군서면,2010-02-18,-0.7,1.6,-5.4,65.3,333.5,3.7,13.6,0.5,384,10.5,762,,3.4,,2010,2,18
50,513842A001,영광군 군서면,2010-02-19,-0.1,5.7,-6.3,67.6,230.5,2.6,10.8,0.0,546,13.3,504,,3.1,,2010,2,19
51,513842A001,영광군 군서면,2010-02-20,1.2,10.2,-6.2,70.8,257.2,1.5,5.7,0.0,612,14.3,702,,3.4,,2010,2,20
52,513842A001,영광군 군서면,2010-02-21,3.2,12.6,-5.2,74.4,195.2,2.1,8.8,0.0,600,13.1,780,,3.9,,2010,2,21
53,513842A001,영광군 군서면,2010-02-22,4.0,11.0,-2.2,74.8,352.7,1.2,4.6,0.0,144,4.2,882,,4.2,,2010,2,22
54,513842A001,영광군 군서면,2010-02-23,6.3,18.2,-2.5,38.9,52.8,1.9,6.7,0.0,582,13.0,852,,4.9,,2010,2,23
55,513842A001,영광군 군서면,2010-02-24,13.6,19.2,4.3,72.5,143.8,4.5,13.6,0.0,306,8.6,78,,6.1,,2010,2,24
56,513842A001,영광군 군서면,2010-02-25,14.2,17.8,8.4,32.4,192.4,4.2,14.0,54.0,0,0.8,1302,,8.9,,2010,2,25
57,513842A001,영광군 군서면,2010-02-26,8.2,9.9,6.6,0.0,12.1,1.9,5.5,5.0,0,2.1,852,,9.5,,2010,2,26
58,513842A001,영광군 군서면,2010-02-27,7.7,10.7,5.3,51.3,47.2,1.7,6.1,3.0,0,2.3,1044,,8.8,,2010,2,27
59,513842A001,영광군 군서면,2010-02-28,6.7,12.3,3.7,33.7,193.7,1.7,5.6,0.5,318,10.1,828,,8.4,,2010,2,28
