no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,7668510.0,영덕군 병곡면,2019-02-01,0.1,5.3,-4.7,38.2,,,,0.0,541,13.1,0.0,,4.0,19.3,2019,2,1
33,7668510.0,영덕군 병곡면,2019-02-02,4.0,10.5,-3.0,49.2,,,,0.0,538,12.9,0.0,,3.8,19.3,2019,2,2
34,7668510.0,영덕군 병곡면,2019-02-03,7.6,11.7,4.1,83.1,,,,3.0,23,3.1,576.0,,5.2,19.4,2019,2,3
35,7668510.0,영덕군 병곡면,2019-02-04,5.5,9.5,1.4,39.4,,,,0.0,545,13.0,0.0,,5.7,19.6,2019,2,4
36,7668510.0,영덕군 병곡면,2019-02-05,5.0,11.7,-1.7,32.6,,,,0.0,483,12.3,0.0,,5.0,19.6,2019,2,5
37,7668510.0,영덕군 병곡면,2019-02-06,6.9,15.1,-1.5,49.9,,,,0.0,411,12.0,0.0,,5.2,19.7,2019,2,6
38,7668510.0,영덕군 병곡면,2019-02-07,6.6,9.8,-0.7,49.8,,,,0.0,290,7.6,0.0,,6.0,19.7,2019,2,7
39,7668510.0,영덕군 병곡면,2019-02-08,-0.1,3.9,-3.0,52.2,,,,0.0,480,12.7,0.0,,5.0,19.4,2019,2,8
40,7668510.0,영덕군 병곡면,2019-02-09,1.2,5.1,-1.9,32.1,,,,0.0,469,13.1,0.0,,4.7,19.3,2019,2,9
41,7668510.0,영덕군 병곡면,2019-02-10,1.6,4.2,-2.1,52.4,,,,0.0,32,4.8,3.0,,4.5,19.2,2019,2,10
42,7668510.0,영덕군 병곡면,2019-02-11,2.0,5.5,-1.7,30.4,,,,0.0,540,14.4,0.0,,4.8,19.1,2019,2,11
43,7668510.0,영덕군 병곡면,2019-02-12,1.6,6.6,-2.1,40.7,,,,0.0,515,12.8,0.0,,4.4,18.9,2019,2,12
44,7668510.0,영덕군 병곡면,2019-02-13,2.3,7.2,-3.0,42.5,,,,0.0,548,12.9,0.0,,4.7,18.9,2019,2,13
45,7668510.0,영덕군 병곡면,2019-02-14,1.4,4.0,-3.2,74.2,,,,0.0,113,6.7,27.0,,4.6,18.7,2019,2,14
46,7668510.0,영덕군 병곡면,2019-02-15,4.2,9.7,-0.1,62.0,,,,0.0,330,10.1,0.0,,5.1,18.7,2019,2,15
47,7668510.0,영덕군 병곡면,2019-02-16,2.0,5.6,-0.8,47.9,,,,0.0,563,13.5,0.0,,5.2,18.6,2019,2,16
48,7668510.0,영덕군 병곡면,2019-02-17,2.0,8.6,-3.5,39.7,,,,0.0,574,15.5,0.0,,4.8,18.4,2019,2,17
49,7668510.0,영덕군 병곡면,2019-02-18,5.2,10.4,0.5,40.6,,,,0.0,309,11.2,0.0,,5.0,18.4,2019,2,18
50,7668510.0,영덕군 병곡면,2019-02-19,5.1,8.3,2.8,84.9,,,,15.0,0,2.8,821.0,,5.9,19.6,2019,2,19
51,7668510.0,영덕군 병곡면,2019-02-20,4.5,8.3,2.4,61.0,,,,0.0,466,12.9,0.0,,5.9,22.9,2019,2,20
52,7668510.0,영덕군 병곡면,2019-02-21,4.6,9.7,0.9,67.5,,,,0.0,520,13.2,0.0,,5.8,23.3,2019,2,21
53,7668510.0,영덕군 병곡면,2019-02-22,5.3,11.1,0.0,70.6,,,,0.0,339,12.5,22.0,,6.0,23.1,2019,2,22
54,7668510.0,영덕군 병곡면,2019-02-23,4.3,10.5,-1.6,74.8,,,,0.0,302,9.4,552.0,,5.9,22.8,2019,2,23
55,7668510.0,영덕군 병곡면,2019-02-24,6.9,15.4,-2.7,59.8,,,,0.0,594,16.1,479.0,,5.7,22.6,2019,2,24
56,7668510.0,영덕군 병곡면,2019-02-25,9.2,13.2,3.8,57.0,,,,0.0,495,13.5,0.0,,6.7,22.4,2019,2,25
57,7668510.0,영덕군 병곡면,2019-02-26,7.1,11.8,1.1,65.9,,,,0.0,578,15.1,265.0,,7.1,22.1,2019,2,26
58,7668510.0,영덕군 병곡면,2019-02-27,8.0,13.0,3.4,71.8,,,,0.0,250,10.1,0.0,,7.7,21.8,2019,2,27
59,7668510.0,영덕군 병곡면,2019-02-28,8.4,12.4,2.9,71.3,,,,0.0,395,12.7,77.0,,8.2,21.4,2019,2,28
