no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,370853A001,영동군 심천면,2021-10-01,20.3,29.7,15.9,87.7,,0.0,0.1,0.0,,17.0,627,,21.7,14.2,2021,10,1
275,370853A001,영동군 심천면,2021-10-02,20.8,29.9,14.6,81.9,105.8,0.1,8.4,0.0,,17.8,577,,21.7,13.8,2021,10,2
276,370853A001,영동군 심천면,2021-10-03,20.5,32.9,14.1,81.5,110.4,0.0,3.0,0.0,,17.8,700,,21.5,13.3,2021,10,3
277,370853A001,영동군 심천면,2021-10-04,20.8,31.7,12.9,83.3,154.9,0.0,5.4,0.0,,14.9,615,,21.3,12.9,2021,10,4
278,370853A001,영동군 심천면,2021-10-05,21.5,30.9,16.2,82.6,143.9,0.3,7.9,0.0,,17.6,662,,21.8,12.3,2021,10,5
279,370853A001,영동군 심천면,2021-10-06,20.9,29.6,15.5,83.9,145.9,0.4,5.5,0.0,,16.9,515,,21.8,11.7,2021,10,6
280,370853A001,영동군 심천면,2021-10-07,19.6,27.0,15.3,89.2,135.1,0.1,6.4,0.0,,8.6,1023,,21.3,11.2,2021,10,7
281,370853A001,영동군 심천면,2021-10-08,20.5,23.6,18.4,92.2,,0.0,0.7,0.0,,5.1,269,,20.9,11.1,2021,10,8
282,370853A001,영동군 심천면,2021-10-09,23.1,30.0,18.2,83.1,93.1,0.2,4.5,0.5,,13.7,220,,21.4,10.9,2021,10,9
283,370853A001,영동군 심천면,2021-10-10,23.3,31.9,17.6,81.6,113.6,0.3,5.0,0.0,,12.7,521,,21.9,10.4,2021,10,10
284,370853A001,영동군 심천면,2021-10-11,15.5,18.3,13.3,91.7,106.7,0.1,3.9,9.0,,3.3,1171,,20.7,10.5,2021,10,11
285,370853A001,영동군 심천면,2021-10-12,15.9,16.6,15.0,90.1,137.3,0.3,7.6,5.5,,3.4,1025,,19.1,13.2,2021,10,12
286,370853A001,영동군 심천면,2021-10-13,18.7,24.4,13.7,78.7,131.5,0.5,6.9,0.0,,12.0,27,,18.9,13.7,2021,10,13
287,370853A001,영동군 심천면,2021-10-14,18.3,27.6,13.5,85.1,92.3,0.2,4.8,0.0,,15.5,571,,19.3,13.0,2021,10,14
288,370853A001,영동군 심천면,2021-10-15,17.9,23.1,13.9,90.6,76.1,0.0,2.7,7.0,,6.4,1040,,19.2,12.8,2021,10,15
289,370853A001,영동군 심천면,2021-10-16,14.0,17.3,6.0,68.1,93.3,0.6,6.4,8.5,,6.1,480,,18.5,14.7,2021,10,16
290,370853A001,영동군 심천면,2021-10-17,5.5,13.7,-0.6,66.5,94.1,0.4,5.4,0.0,,18.8,18,,15.2,14.0,2021,10,17
291,370853A001,영동군 심천면,2021-10-18,7.7,19.4,-0.5,76.8,109.4,0.1,3.5,0.0,,17.5,63,,14.1,13.5,2021,10,18
292,370853A001,영동군 심천면,2021-10-19,9.8,17.6,3.9,87.5,179.5,0.3,5.6,2.5,,10.1,368,,14.4,13.3,2021,10,19
293,370853A001,영동군 심천면,2021-10-20,7.7,18.2,3.0,82.7,91.3,0.1,3.2,0.0,,16.6,663,,13.8,13.2,2021,10,20
294,370853A001,영동군 심천면,2021-10-21,7.5,18.2,2.0,85.8,92.1,0.1,3.3,0.0,,13.8,748,,13.6,13.0,2021,10,21
295,370853A001,영동군 심천면,2021-10-22,7.8,18.1,2.5,83.1,100.5,0.3,5.8,0.0,,15.3,686,,13.3,12.7,2021,10,22
296,370853A001,영동군 심천면,2021-10-23,8.2,20.9,1.8,79.2,89.2,0.1,3.4,0.0,,16.2,661,,13.0,12.4,2021,10,23
297,370853A001,영동군 심천면,2021-10-24,8.4,20.2,1.1,80.4,74.3,0.1,3.9,0.0,,15.4,679,,12.9,12.0,2021,10,24
298,370853A001,영동군 심천면,2021-10-25,8.2,20.0,2.4,82.2,82.8,0.2,4.8,0.0,,15.3,716,,12.8,11.7,2021,10,25
299,370853A001,영동군 심천면,2021-10-26,8.9,20.0,1.3,83.3,81.8,0.1,3.5,0.0,,13.5,550,,12.6,11.4,2021,10,26
300,370853A001,영동군 심천면,2021-10-27,10.6,21.5,3.7,81.5,93.3,0.2,4.5,0.0,,13.8,408,,12.9,11.2,2021,10,27
301,370853A001,영동군 심천면,2021-10-28,8.7,21.8,0.3,78.4,122.4,0.0,2.3,0.0,,16.0,543,,12.6,10.8,2021,10,28
302,370853A001,영동군 심천면,2021-10-29,10.1,21.3,2.2,77.2,148.4,0.4,7.1,0.0,,14.1,589,,12.5,10.6,2021,10,29
303,370853A001,영동군 심천면,2021-10-30,10.2,19.0,4.8,83.5,,0.0,0.3,0.0,,8.0,743,,12.5,10.3,2021,10,30
304,370853A001,영동군 심천면,2021-10-31,10.5,22.1,4.3,85.3,73.8,0.0,3.6,0.0,,13.6,699,,12.5,10.2,2021,10,31
