no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,036531B008,영양군 대천리,2022-09-01,19.2,24.3,16.0,93.8,236.4,0.3,3.1,0.0,114,9.9,976,,21.8,26.2,2022,9,1
245,036531B008,영양군 대천리,2022-09-02,19.5,24.3,14.6,88.6,161.4,0.7,8.3,1.0,154,11.9,810,,22.0,25.3,2022,9,2
246,036531B008,영양군 대천리,2022-09-03,20.4,23.3,18.2,89.1,159.3,0.6,6.2,0.0,7,7.0,659,,22.2,24.6,2022,9,3
247,036531B008,영양군 대천리,2022-09-04,21.9,26.5,18.4,97.4,133.2,0.3,4.1,0.5,40,8.8,1013,,22.7,24.2,2022,9,4
248,036531B008,영양군 대천리,2022-09-05,22.7,27.0,20.7,98.0,136.5,0.3,3.3,5.0,0,4.4,1326,,23.5,23.8,2022,9,5
249,036531B008,영양군 대천리,2022-09-06,20.2,24.2,15.2,87.3,228.4,1.8,16.2,37.5,244,12.9,873,,22.4,27.9,2022,9,6
250,036531B008,영양군 대천리,2022-09-07,18.6,27.5,12.4,82.0,213.9,0.6,4.7,0.0,615,23.6,825,,22.3,25.7,2022,9,7
251,036531B008,영양군 대천리,2022-09-08,18.1,27.4,10.7,81.5,148.3,0.6,4.5,0.0,647,24.1,880,,22.1,24.7,2022,9,8
252,036531B008,영양군 대천리,2022-09-09,18.5,26.6,12.2,82.4,141.5,0.7,5.1,0.0,597,23.2,873,,22.2,23.7,2022,9,9
253,036531B008,영양군 대천리,2022-09-10,18.6,23.9,13.4,84.6,152.3,0.6,6.4,0.0,341,12.0,582,,21.6,22.8,2022,9,10
254,036531B008,영양군 대천리,2022-09-11,20.3,24.5,16.6,89.7,153.2,0.4,4.9,0.0,93,8.1,579,,21.9,21.9,2022,9,11
255,036531B008,영양군 대천리,2022-09-12,19.7,25.0,14.8,90.4,184.2,0.3,2.4,0.0,183,9.9,1130,,21.9,21.1,2022,9,12
256,036531B008,영양군 대천리,2022-09-13,21.1,26.5,17.6,81.6,162.5,0.7,8.3,0.0,432,16.1,588,,22.7,20.5,2022,9,13
257,036531B008,영양군 대천리,2022-09-14,21.6,27.0,16.5,73.2,154.9,1.0,12.9,0.0,594,19.3,0,,22.9,20.0,2022,9,14
258,036531B008,영양군 대천리,2022-09-15,21.1,26.1,16.1,81.5,139.7,0.7,6.3,0.0,651,21.6,264,,23.7,19.5,2022,9,15
259,036531B008,영양군 대천리,2022-09-16,21.4,27.3,15.5,93.2,139.3,0.4,3.3,0.0,126,10.7,564,,23.5,19.0,2022,9,16
260,036531B008,영양군 대천리,2022-09-17,24.3,31.7,19.5,86.9,175.9,0.4,3.8,0.5,468,18.8,872,,25.2,18.4,2022,9,17
261,036531B008,영양군 대천리,2022-09-18,24.0,28.3,20.7,89.4,187.5,1.0,8.4,0.5,160,11.8,761,,25.6,17.8,2022,9,18
262,036531B008,영양군 대천리,2022-09-19,20.3,24.5,12.6,88.9,194.6,1.4,13.6,18.5,264,11.0,1047,,24.3,23.2,2022,9,19
263,036531B008,영양군 대천리,2022-09-20,14.9,18.6,9.6,84.1,150.7,0.5,6.2,0.0,226,10.9,559,,21.3,24.8,2022,9,20
264,036531B008,영양군 대천리,2022-09-21,13.3,21.1,8.5,82.8,140.0,0.6,4.9,0.0,565,21.0,851,,20.4,24.1,2022,9,21
265,036531B008,영양군 대천리,2022-09-22,14.7,22.5,7.3,86.1,141.4,0.5,4.2,0.0,519,16.1,840,,19.7,23.5,2022,9,22
266,036531B008,영양군 대천리,2022-09-23,17.3,24.9,10.6,76.6,271.4,1.3,11.0,0.0,535,19.6,560,,20.6,22.8,2022,9,23
267,036531B008,영양군 대천리,2022-09-24,14.5,23.0,7.5,77.9,241.6,0.7,5.5,0.0,624,21.8,650,,19.5,22.0,2022,9,24
268,036531B008,영양군 대천리,2022-09-25,15.2,21.5,10.3,88.3,192.4,0.4,2.9,0.0,219,10.8,758,,19.4,21.1,2022,9,25
269,036531B008,영양군 대천리,2022-09-26,15.8,21.9,11.7,91.1,201.4,0.3,2.0,0.0,53,8.5,916,,19.4,20.4,2022,9,26
270,036531B008,영양군 대천리,2022-09-27,16.2,24.8,10.9,87.2,134.3,0.5,4.4,0.0,518,18.6,935,,20.0,19.6,2022,9,27
271,036531B008,영양군 대천리,2022-09-28,15.4,23.5,9.6,88.5,175.8,0.4,3.5,0.0,375,13.9,908,,19.8,18.8,2022,9,28
272,036531B008,영양군 대천리,2022-09-29,16.4,26.8,11.4,89.2,199.4,0.4,2.8,0.0,406,16.7,944,,20.1,18.1,2022,9,29
273,036531B008,영양군 대천리,2022-09-30,16.9,27.9,10.4,84.4,228.6,0.5,5.0,0.0,509,18.9,885,,20.7,17.2,2022,9,30
