no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,764803A001,영양군 영양읍,2020-10-01,15.5,23.7,9.8,81.5,138.5,0.7,5.2,0.0,428,14.1,0,17.1,19.3,17.4,2020,10,1
275,764803A001,영양군 영양읍,2020-10-02,17.2,23.7,12.2,80.6,295.7,0.7,6.0,0.0,379,13.6,0,18.5,19.5,16.5,2020,10,2
276,764803A001,영양군 영양읍,2020-10-03,17.4,22.7,14.6,86.5,296.1,0.5,4.4,0.5,220,9.8,508,18.6,20.0,16.0,2020,10,3
277,764803A001,영양군 영양읍,2020-10-04,17.5,21.1,14.9,78.1,310.6,1.1,6.8,0.0,62,7.5,348,18.2,20.1,15.6,2020,10,4
278,764803A001,영양군 영양읍,2020-10-05,11.8,18.1,5.8,60.3,301.6,1.5,8.8,0.0,604,17.8,0,12.9,18.6,14.7,2020,10,5
279,764803A001,영양군 영양읍,2020-10-06,11.1,20.4,3.6,74.5,238.6,0.5,4.3,0.0,555,17.4,0,12.6,17.4,14.0,2020,10,6
280,764803A001,영양군 영양읍,2020-10-07,13.0,20.7,7.6,81.7,224.7,0.6,6.7,0.0,191,10.0,0,14.6,17.4,13.5,2020,10,7
281,764803A001,영양군 영양읍,2020-10-08,15.0,20.2,9.5,67.6,168.6,1.3,10.2,0.0,446,15.0,0,15.2,17.8,13.1,2020,10,8
282,764803A001,영양군 영양읍,2020-10-09,15.9,20.0,12.4,62.9,164.5,1.6,7.8,0.0,228,11.0,0,16.2,17.9,12.5,2020,10,9
283,764803A001,영양군 영양읍,2020-10-10,14.1,20.3,9.0,73.3,184.6,0.9,6.3,0.0,342,11.9,0,14.8,17.9,12.0,2020,10,10
284,764803A001,영양군 영양읍,2020-10-11,13.6,20.1,7.5,79.4,248.1,0.3,3.7,0.0,180,9.3,0,14.9,17.7,11.7,2020,10,11
285,764803A001,영양군 영양읍,2020-10-12,14.0,22.0,9.6,82.4,192.3,0.4,4.3,0.0,264,10.8,0,15.1,17.9,11.3,2020,10,12
286,764803A001,영양군 영양읍,2020-10-13,12.3,19.9,7.8,78.8,267.5,0.5,4.8,0.0,432,13.8,0,13.9,17.6,10.8,2020,10,13
287,764803A001,영양군 영양읍,2020-10-14,10.1,17.9,4.9,78.4,293.8,0.6,4.9,0.0,226,9.9,0,11.8,17.0,10.4,2020,10,14
288,764803A001,영양군 영양읍,2020-10-15,10.1,19.9,3.8,80.5,175.0,0.6,5.2,0.0,421,13.4,0,11.7,16.3,10.1,2020,10,15
289,764803A001,영양군 영양읍,2020-10-16,10.7,16.9,6.5,80.5,143.8,0.1,2.5,0.0,111,7.4,0,12.3,16.3,9.9,2020,10,16
290,764803A001,영양군 영양읍,2020-10-17,10.5,19.8,4.7,79.7,243.9,0.4,4.1,0.0,472,14.6,0,11.5,16.0,9.7,2020,10,17
291,764803A001,영양군 영양읍,2020-10-18,10.0,20.1,4.0,77.8,137.9,0.2,4.5,0.0,440,14.5,0,11.2,15.8,9.4,2020,10,18
292,764803A001,영양군 영양읍,2020-10-19,10.0,21.9,2.1,77.4,160.2,0.5,4.5,0.0,486,14.2,0,10.8,15.2,9.4,2020,10,19
293,764803A001,영양군 영양읍,2020-10-20,10.7,22.2,4.4,78.1,143.5,0.5,5.2,0.0,448,13.9,0,11.1,15.2,9.2,2020,10,20
294,764803A001,영양군 영양읍,2020-10-21,10.7,17.7,4.2,85.8,312.4,0.2,4.7,1.5,93,6.6,271,11.7,15.1,9.2,2020,10,21
295,764803A001,영양군 영양읍,2020-10-22,12.4,19.0,9.5,83.7,308.4,0.6,5.1,0.0,194,8.7,773,13.3,15.8,9.2,2020,10,22
296,764803A001,영양군 영양읍,2020-10-23,7.9,15.1,1.2,58.4,304.5,1.4,7.4,0.0,567,15.2,0,8.4,14.6,9.0,2020,10,23
297,764803A001,영양군 영양읍,2020-10-24,6.0,15.1,-1.5,58.1,304.3,1.1,8.6,0.0,566,15.0,0,6.4,12.9,9.3,2020,10,24
298,764803A001,영양군 영양읍,2020-10-25,8.6,19.1,-0.4,63.3,303.9,0.9,7.3,0.0,522,14.3,0,8.7,12.5,9.3,2020,10,25
299,764803A001,영양군 영양읍,2020-10-26,8.0,20.0,-0.8,74.2,298.4,0.1,4.0,0.0,547,14.1,0,8.2,12.5,9.2,2020,10,26
300,764803A001,영양군 영양읍,2020-10-27,8.9,20.0,1.7,76.1,303.6,0.1,3.9,0.0,499,12.9,2,9.4,12.7,9.1,2020,10,27
301,764803A001,영양군 영양읍,2020-10-28,10.6,20.1,2.7,71.3,304.6,0.3,7.2,0.0,402,10.6,0,10.8,13.4,9.1,2020,10,28
302,764803A001,영양군 영양읍,2020-10-29,7.0,17.4,-1.1,72.6,305.2,0.1,4.3,0.0,556,13.4,0,7.5,12.7,9.0,2020,10,29
303,764803A001,영양군 영양읍,2020-10-30,7.7,17.3,0.8,77.9,170.5,0.8,6.6,0.0,405,10.2,0,8.0,12.5,9.0,2020,10,30
304,764803A001,영양군 영양읍,2020-10-31,7.5,16.0,0.1,77.4,286.5,0.5,5.3,0.0,370,11.7,0,8.3,12.4,9.0,2020,10,31
