no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,230802A001,영월군 영월읍,2023-06-01,21.2,28.9,14.8,65.5,253.7,0.4,2.5,0.0,167,17.7,0,,21.7,25.2,2023,6,1
153,230802A001,영월군 영월읍,2023-06-02,22.9,28.9,18.0,68.5,277.3,0.6,4.1,0.0,385,19.7,0,,22.8,24.0,2023,6,2
154,230802A001,영월군 영월읍,2023-06-03,22.3,28.5,17.0,59.0,290.9,0.6,5.5,0.0,524,21.9,0,,22.9,22.7,2023,6,3
155,230802A001,영월군 영월읍,2023-06-04,20.3,29.0,11.5,56.3,270.1,0.7,5.0,0.0,692,22.8,0,,22.3,21.6,2023,6,4
156,230802A001,영월군 영월읍,2023-06-05,20.5,27.5,12.2,61.8,266.1,0.8,5.8,0.0,609,21.6,0,,22.2,20.6,2023,6,5
157,230802A001,영월군 영월읍,2023-06-06,20.9,28.4,14.0,65.7,275.3,0.6,4.8,0.0,539,21.7,0,,22.5,19.7,2023,6,6
158,230802A001,영월군 영월읍,2023-06-07,20.7,26.0,16.3,75.8,216.6,0.7,6.7,0.0,192,14.3,0,,22.5,19.1,2023,6,7
159,230802A001,영월군 영월읍,2023-06-08,23.0,30.8,16.9,70.6,205.8,0.9,4.9,0.0,338,20.4,0,,23.2,18.5,2023,6,8
160,230802A001,영월군 영월읍,2023-06-09,22.0,29.0,15.7,65.5,202.6,1.0,4.6,7.0,615,23.4,256,,23.7,19.3,2023,6,9
161,230802A001,영월군 영월읍,2023-06-10,20.7,29.8,14.6,71.6,158.8,0.8,11.5,1.5,111,15.2,134,,22.8,18.8,2023,6,10
162,230802A001,영월군 영월읍,2023-06-11,20.3,28.9,15.8,86.5,176.6,0.7,6.0,12.0,287,18.3,773,,22.7,20.0,2023,6,11
163,230802A001,영월군 영월읍,2023-06-12,22.3,29.4,17.8,73.1,274.1,0.6,3.6,0.0,439,20.3,471,,23.3,22.4,2023,6,12
164,230802A001,영월군 영월읍,2023-06-13,22.3,29.3,17.0,68.1,271.6,0.7,6.6,0.0,436,19.4,0,,23.6,20.9,2023,6,13
165,230802A001,영월군 영월읍,2023-06-14,19.3,26.9,14.4,82.3,146.3,0.7,10.8,25.5,358,16.3,376,,22.5,23.6,2023,6,14
166,230802A001,영월군 영월읍,2023-06-15,19.1,27.1,16.2,87.9,137.6,0.6,7.6,4.5,333,16.4,1014,,22.3,30.4,2023,6,15
167,230802A001,영월군 영월읍,2023-06-16,22.6,30.5,16.6,77.4,250.3,0.6,3.8,0.0,516,21.0,495,,23.2,28.3,2023,6,16
168,230802A001,영월군 영월읍,2023-06-17,24.0,33.1,17.4,71.7,260.3,0.6,3.5,0.0,485,22.2,0,,24.2,25.8,2023,6,17
169,230802A001,영월군 영월읍,2023-06-18,25.9,34.2,18.5,67.1,49.4,0.7,4.4,0.0,564,21.9,0,,24.9,23.7,2023,6,18
170,230802A001,영월군 영월읍,2023-06-19,26.3,33.4,19.3,61.8,134.9,1.2,5.4,0.0,523,21.3,0,,25.3,21.7,2023,6,19
171,230802A001,영월군 영월읍,2023-06-20,23.4,27.7,18.2,61.4,132.6,1.1,8.7,0.0,30,11.8,0,,24.4,20.2,2023,6,20
172,230802A001,영월군 영월읍,2023-06-21,20.5,22.6,18.3,94.3,154.8,0.5,3.9,27.5,0,5.9,1095,,22.9,28.7,2023,6,21
173,230802A001,영월군 영월읍,2023-06-22,21.9,26.2,19.5,84.3,255.7,0.6,4.1,0.5,136,12.3,917,,23.3,28.8,2023,6,22
174,230802A001,영월군 영월읍,2023-06-23,23.8,30.5,19.0,73.7,338.9,0.6,4.5,0.0,419,22.1,361,,24.4,26.7,2023,6,23
175,230802A001,영월군 영월읍,2023-06-24,24.6,32.8,16.7,69.7,215.6,0.6,4.2,0.0,733,23.6,0,,24.9,24.4,2023,6,24
176,230802A001,영월군 영월읍,2023-06-25,25.5,31.8,19.3,73.1,172.2,0.8,4.8,0.0,386,18.9,0,,25.2,22.4,2023,6,25
177,230802A001,영월군 영월읍,2023-06-26,22.7,24.4,20.9,90.2,126.5,0.5,4.9,37.5,0,3.9,848,,24.2,30.0,2023,6,26
178,230802A001,영월군 영월읍,2023-06-27,24.8,29.6,21.5,80.1,249.7,0.9,4.7,33.5,368,16.2,425,,24.7,37.4,2023,6,27
179,230802A001,영월군 영월읍,2023-06-28,24.8,30.4,20.1,80.5,237.4,0.7,4.0,0.0,299,17.7,0,,25.2,29.7,2023,6,28
180,230802A001,영월군 영월읍,2023-06-29,23.7,26.5,21.8,95.5,150.8,0.4,3.5,37.5,0,4.6,525,,25.0,32.2,2023,6,29
181,230802A001,영월군 영월읍,2023-06-30,24.3,28.2,22.5,95.4,184.0,0.3,2.4,9.0,7,8.5,1174,,24.9,37.2,2023,6,30
