no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,750823A005,,2014-01-01,2.8,5.5,-1.2,48.9,274.7,0.7,9.0,0.0,,8.2,71,,,,2014
2,750823A005,,2014-01-02,1.4,6.1,-3.7,44.5,52.7,0.3,6.4,0.0,,11.9,10,,,,2014
3,750823A005,,2014-01-03,1.0,8.1,-4.4,51.1,39.2,0.0,3.7,0.0,,7.8,0,,,,2014
4,750823A005,,2014-01-04,1.8,7.0,-3.6,65.0,291.5,0.1,4.4,0.0,,10.5,78,,,,2014
5,750823A005,,2014-01-05,0.9,5.4,-3.2,64.2,349.2,0.3,5.5,0.0,,9.5,0,,,,2014
6,750823A005,,2014-01-06,-0.6,5.3,-5.3,53.5,28.2,0.2,6.0,0.0,,11.3,0,,,,2014
7,750823A005,,2014-01-07,-0.7,4.3,-5.7,64.4,101.5,0.1,6.5,0.0,,6.8,0,,,,2014
8,750823A005,,2014-01-08,1.3,3.8,-2.9,66.5,7.6,0.6,10.0,0.0,,3.4,22,,,,2014
9,750823A005,,2014-01-09,-6.7,-2.7,-11.5,36.7,342.9,0.9,8.9,0.0,,12.7,0,,,,2014
10,750823A005,,2014-01-10,-6.1,-0.3,-11.6,48.4,6.6,0.3,6.3,0.0,,10.7,0,,,,2014
11,750823A005,,2014-01-11,-2.8,1.3,-7.2,53.4,14.1,0.4,6.1,0.0,,10.0,0,,,,2014
12,750823A005,,2014-01-12,-2.0,1.3,-7.5,57.0,265.8,0.3,6.4,0.0,,4.8,103,,,,2014
13,750823A005,,2014-01-13,-6.1,0.0,-12.5,39.1,350.6,0.4,5.9,0.0,,13.1,0,,,,2014
14,750823A005,,2014-01-14,-4.0,2.0,-9.9,32.0,22.4,0.4,8.3,0.0,,13.3,0,,,,2014
15,750823A005,,2014-01-15,-3.5,2.4,-10.2,39.2,29.3,0.2,9.1,0.0,,13.3,0,,,,2014
16,750823A005,,2014-01-16,-2.1,2.6,-8.5,59.5,356.5,0.3,8.5,0.0,,11.0,6,,,,2014
17,750823A005,,2014-01-17,-1.3,3.8,-6.2,62.3,15.0,0.1,5.2,0.0,,9.7,195,,,,2014
18,750823A005,,2014-01-18,-2.5,1.5,-8.9,49.8,7.9,0.4,7.7,0.0,,9.1,0,,,,2014
19,750823A005,,2014-01-19,-4.7,1.7,-10.9,49.9,,0.0,1.8,0.0,,12.7,0,,,,2014
20,750823A005,,2014-01-20,-2.8,0.5,-5.6,77.6,358.7,0.2,8.8,0.5,,1.7,1101,,,,2014
21,750823A005,,2014-01-21,-5.1,-1.1,-8.9,66.8,27.8,0.2,6.6,0.5,,2.4,1087,,,,2014
22,750823A005,,2014-01-22,-4.7,-0.2,-9.7,56.6,27.6,0.6,9.1,0.5,,12.3,509,,,,2014
23,750823A005,,2014-01-23,-2.9,5.5,-10.4,61.5,,0.0,2.7,2.0,,13.0,235,,,,2014
24,750823A005,,2014-01-24,1.0,7.7,-6.3,66.6,347.7,0.4,9.9,0.5,,11.0,1,,,,2014
25,750823A005,,2014-01-25,3.8,7.2,0.5,85.6,51.8,0.0,4.1,3.5,,2.9,1260,,,,2014
26,750823A005,,2014-01-26,-0.1,3.8,-5.0,63.1,22.9,0.2,5.9,0.0,,13.0,0,,,,2014
27,750823A005,,2014-01-27,-0.8,6.5,-8.3,52.8,21.3,0.1,4.2,0.0,,13.0,1,,,,2014
28,750823A005,,2014-01-28,2.5,7.2,-3.2,50.8,61.0,0.5,7.9,0.0,,10.8,19,,,,2014
29,750823A005,,2014-01-29,1.3,10.4,-6.7,47.2,,0.0,0.2,0.0,,13.9,0,,,,2014
30,750823A005,,2014-01-30,4.2,7.5,1.0,63.7,4.0,0.7,10.6,0.0,,2.5,411,,,,2014
31,750823A005,,2014-01-31,1.3,8.5,-4.8,31.7,32.8,0.2,8.6,0.0,,13.0,0,,,,2014
32,750823A005,,2014-02-01,5.2,9.9,-1.2,58.6,,0.0,0.0,3.5,,3.0,266,,,,2014
33,750823A005,,2014-02-02,6.9,12.2,4.0,83.4,34.1,0.5,7.7,0.5,,7.9,688,,,,2014
34,750823A005,,2014-02-03,0.9,6.6,-7.3,56.5,20.1,0.6,7.9,0.0,,7.0,25,,,,2014
35,750823A005,,2014-02-04,-7.4,-2.1,-11.1,37.2,2.9,1.3,8.7,0.0,,15.6,0,,,,2014
36,750823A005,,2014-02-05,-6.3,0.5,-11.6,39.4,116.9,0.1,5.6,0.0,,13.4,0,,,,2014
37,750823A005,,2014-02-06,-2.8,3.5,-7.5,45.0,140.7,0.0,3.1,0.0,,10.4,0,,,,2014
38,750823A005,,2014-02-07,0.9,5.8,-5.1,62.5,88.1,0.3,6.1,0.0,,8.0,23,,,,2014
39,750823A005,,2014-02-08,0.3,4.8,-2.4,80.4,231.7,0.0,2.4,1.0,,7.3,245,,,,2014
40,750823A005,,2014-02-09,-0.8,3.6,-3.1,84.4,93.1,0.0,3.3,2.0,,6.9,385,,,,2014
41,750823A005,,2014-02-10,-2.6,1.7,-7.6,70.2,,0.0,1.7,1.5,,6.4,215,,,,2014
42,750823A005,,2014-02-11,-3.5,3.5,-9.8,64.3,182.7,0.0,3.3,0.5,,14.9,157,,,,2014
43,750823A005,,2014-02-12,-1.6,4.7,-7.1,66.6,,0.0,1.4,0.0,,11.3,0,,,,2014
44,750823A005,,2014-02-13,-0.6,6.5,-4.1,74.1,50.5,0.0,4.2,0.0,,10.7,195,,,,2014
45,750823A005,,2014-02-14,-1.2,4.2,-5.1,72.4,211.5,0.0,3.4,0.5,,9.6,97,,,,2014
46,750823A005,,2014-02-15,0.4,7.8,-6.2,58.6,9.7,0.2,5.6,0.0,,17.0,0,,,,2014
47,750823A005,,2014-02-16,1.5,8.7,-4.3,57.4,311.8,0.0,5.1,0.0,,13.5,0,,,,2014
48,750823A005,,2014-02-17,2.8,8.1,-1.2,58.3,193.2,0.1,4.0,0.0,,11.3,0,,,,2014
49,750823A005,,2014-02-18,-0.5,3.4,-5.7,60.6,200.9,0.1,5.6,0.0,,9.6,0,,,,2014
50,750823A005,,2014-02-19,-1.2,4.8,-6.4,62.5,196.3,0.1,4.2,0.0,,15.4,0,,,,2014
51,750823A005,,2014-02-20,0.0,6.7,-5.0,66.1,302.3,0.1,5.7,0.0,,14.3,0,,,,2014
52,750823A005,,2014-02-21,0.4,7.6,-6.0,57.0,43.1,0.1,3.9,0.0,,17.1,0,,,,2014
53,750823A005,,2014-02-22,0.8,8.1,-5.3,51.0,61.1,0.0,3.5,0.0,,17.3,0,,,,2014
54,750823A005,,2014-02-23,2.0,9.3,-3.8,59.5,,0.0,0.4,0.0,,15.4,40,,,,2014
55,750823A005,,2014-02-24,3.0,10.3,-3.0,55.4,5.0,0.2,5.6,0.0,,14.8,0,,,,2014
56,750823A005,,2014-02-25,4.5,12.8,-2.4,59.9,113.1,0.0,1.8,0.0,,15.8,0,,,,2014
57,750823A005,,2014-02-26,5.4,10.6,-0.2,64.6,222.7,0.0,2.5,0.0,,9.1,0,,,,2014
58,750823A005,,2014-02-27,8.4,15.5,1.6,58.2,349.0,0.2,6.4,0.0,,15.9,209,,,,2014
59,750823A005,,2014-02-28,5.7,9.6,0.8,64.4,165.7,0.1,4.1,0.0,,8.9,0,,,,2014
60,750823A005,,2014-03-01,5.3,7.7,3.6,82.3,,0.0,0.0,0.5,,3.0,402,,,,2014
61,750823A005,,2014-03-02,3.0,8.6,-2.7,67.4,25.0,0.3,6.4,0.0,,14.8,290,,,,2014
62,750823A005,,2014-03-03,1.9,10.2,-4.5,59.8,216.3,0.1,3.7,0.0,,18.9,172,,,,2014
63,750823A005,,2014-03-04,2.9,9.6,-2.4,55.4,324.3,0.0,1.9,0.0,,11.5,0,,,,2014
64,750823A005,,2014-03-05,1.8,6.6,-3.2,48.1,352.8,0.7,8.1,0.0,,15.0,154,,,,2014
65,750823A005,,2014-03-06,-1.1,4.6,-8.2,40.2,297.2,0.5,7.6,0.0,,18.3,0,,,,2014
66,750823A005,,2014-03-07,-1.5,4.0,-8.8,35.0,326.1,0.6,10.9,0.0,,21.4,0,,,,2014
67,750823A005,,2014-03-08,0.3,5.8,-3.5,44.6,345.8,0.5,6.5,0.0,,17.2,0,,,,2014
68,750823A005,,2014-03-09,-0.3,4.7,-3.2,54.0,310.1,0.3,8.4,2.0,,13.9,448,,,,2014
69,750823A005,,2014-03-10,-0.1,7.3,-7.5,39.0,353.9,0.4,7.4,0.0,,21.6,0,,,,2014
70,750823A005,,2014-03-11,3.7,12.7,-5.1,38.1,240.4,0.2,4.1,0.0,,18.1,0,,,,2014
71,750823A005,,2014-03-12,3.7,8.3,-1.5,64.6,49.3,0.1,6.1,8.5,,6.2,668,,,,2014
72,750823A005,,2014-03-13,2.1,5.0,-3.0,68.4,37.2,0.8,10.2,6.0,,8.1,529,,,,2014
73,750823A005,,2014-03-14,0.6,6.6,-5.0,60.5,269.2,0.0,4.4,0.0,,16.3,0,,,,2014
74,750823A005,,2014-03-15,4.3,12.7,-4.0,54.5,249.1,0.1,5.9,0.0,,21.1,0,,,,2014
75,750823A005,,2014-03-16,10.1,17.3,2.1,54.6,43.1,0.1,4.5,0.0,,19.0,0,,,,2014
76,750823A005,,2014-03-17,11.1,19.0,2.6,61.6,211.3,0.1,4.2,0.0,,20.6,152,,,,2014
77,750823A005,,2014-03-18,11.5,17.4,5.5,66.6,7.4,0.4,8.1,1.0,,18.4,452,,,,2014
78,750823A005,,2014-03-19,6.4,9.8,3.0,68.0,64.9,0.1,3.2,0.0,,7.9,276,,,,2014
79,750823A005,,2014-03-20,3.6,6.1,1.3,82.2,34.6,0.2,5.8,5.5,,7.0,1041,,,,2014
80,750823A005,,2014-03-21,2.3,6.8,-1.1,65.3,358.4,0.4,5.1,0.0,,17.7,0,,,,2014
81,750823A005,,2014-03-22,5.2,13.6,-3.2,56.5,33.4,0.2,8.0,0.0,,22.3,0,,,,2014
82,750823A005,,2014-03-23,10.3,16.9,2.6,43.6,359.4,0.1,7.5,0.0,,21.5,0,,,,2014
83,750823A005,,2014-03-24,10.4,19.3,1.6,39.7,270.2,0.3,6.5,0.0,,21.2,0,,,,2014
84,750823A005,,2014-03-25,13.6,18.9,10.2,62.9,279.6,0.1,5.0,0.0,,13.1,109,,,,2014
85,750823A005,,2014-03-26,13.1,18.5,9.8,82.9,,0.0,0.0,1.5,,11.6,645,,,,2014
86,750823A005,,2014-03-27,13.3,22.4,5.9,60.0,26.9,0.0,3.5,0.0,,21.4,454,,,,2014
87,750823A005,,2014-03-28,14.8,23.7,6.6,54.7,337.8,0.0,3.4,0.0,,19.9,0,,,,2014
88,750823A005,,2014-03-29,12.4,15.6,9.3,78.2,211.6,0.0,3.7,6.5,,4.4,862,,,,2014
89,750823A005,,2014-03-30,10.8,15.6,6.7,69.2,30.6,1.3,10.3,3.5,,21.1,336,,,,2014
90,750823A005,,2014-03-31,11.8,18.6,4.7,58.9,206.6,0.1,3.7,0.0,,19.2,34,,,,2014
91,750823A005,,2014-04-01,12.8,20.8,4.8,48.4,199.3,0.0,4.1,0.0,,22.7,0,,,,2014
92,750823A005,,2014-04-02,14.7,22.6,7.1,42.2,290.6,0.2,6.6,0.0,,21.2,0,,,,2014
93,750823A005,,2014-04-03,11.4,18.8,1.9,47.8,17.0,0.8,13.0,10.5,,15.0,318,,,,2014
94,750823A005,,2014-04-04,4.4,8.5,1.2,62.3,22.3,0.7,8.6,0.5,,14.7,141,,,,2014
95,750823A005,,2014-04-05,4.1,10.8,-0.1,69.7,349.3,0.2,6.6,2.5,,17.0,387,,,,2014
