stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
750873A001,영주시 안정로,2024-07-01,26.0,32.7,20.1,72.1,269.0,0.5,6.2,0.0,711,25.1,293,28.3,28.9,23.2,2024,7,1
750873A001,영주시 안정로,2024-07-02,21.5,22.6,20.2,96.4,271.7,0.8,3.8,60.0,0,1.3,948,21.7,27.2,28.8,2024,7,2
750873A001,영주시 안정로,2024-07-03,25.1,30.4,21.2,82.5,246.3,0.5,5.5,20.0,227,14.5,383,26.1,27.1,27.8,2024,7,3
750873A001,영주시 안정로,2024-07-04,25.7,32.9,19.8,78.1,117.8,0.3,4.1,0.0,580,21.7,419,27.2,28.5,23.9,2024,7,4
750873A001,영주시 안정로,2024-07-05,25.5,28.9,22.3,74.3,277.4,1.3,7.5,12.0,385,17.3,368,26.4,29.1,24.7,2024,7,5
750873A001,영주시 안정로,2024-07-06,26.0,31.9,20.4,79.3,176.4,0.4,3.9,0.0,207,15.8,224,27.2,28.8,22.7,2024,7,6
750873A001,영주시 안정로,2024-07-07,23.3,27.3,20.8,96.2,255.0,0.6,9.2,67.0,2,3.5,1073,23.7,28.1,32.0,2024,7,7
750873A001,영주시 안정로,2024-07-08,23.1,24.2,21.9,99.8,315.6,0.5,8.8,54.5,0,3.4,1438,23.6,27.2,30.7,2024,7,8
750873A001,영주시 안정로,2024-07-09,23.0,24.5,21.3,97.1,279.8,0.5,6.9,7.5,0,3.9,955,23.4,26.6,28.8,2024,7,9
750873A001,영주시 안정로,2024-07-10,24.2,29.4,19.4,87.3,228.0,0.5,7.1,57.5,412,18.9,678,26.0,27.3,32.1,2024,7,10
750873A001,영주시 안정로,2024-07-11,25.8,32.4,20.2,79.0,136.8,0.3,2.4,0.0,699,24.8,386,28.0,29.3,27.4,2024,7,11
750873A001,영주시 안정로,2024-07-12,25.4,32.2,21.3,81.1,159.0,0.2,3.2,0.0,497,19.9,427,26.9,30.0,25.7,2024,7,12
750873A001,영주시 안정로,2024-07-13,25.8,32.9,19.2,72.9,89.5,0.2,4.6,0.0,629,23.6,434,27.3,30.0,24.7,2024,7,13
750873A001,영주시 안정로,2024-07-14,23.8,27.5,22.1,82.6,273.0,0.5,3.5,1.5,7,5.7,506,24.5,29.2,24.0,2024,7,14
750873A001,영주시 안정로,2024-07-15,25.1,30.6,21.2,82.1,271.4,0.2,3.1,1.0,320,15.9,394,27.0,28.7,24.1,2024,7,15
750873A001,영주시 안정로,2024-07-16,24.5,29.2,22.3,86.4,252.3,0.2,2.8,11.0,41,8.8,922,25.5,28.9,24.0,2024,7,16
750873A001,영주시 안정로,2024-07-17,25.2,30.1,21.7,88.8,107.1,0.2,3.0,31.0,79,11.3,628,26.2,28.4,28.7,2024,7,17
750873A001,영주시 안정로,2024-07-18,24.8,27.2,23.2,91.5,167.4,0.3,6.7,22.0,5,3.7,1136,25.0,28.7,28.2,2024,7,18
750873A001,영주시 안정로,2024-07-19,25.9,31.6,21.4,82.6,271.8,0.2,5.2,0.0,390,18.1,397,27.9,29.1,26.9,2024,7,19
750873A001,영주시 안정로,2024-07-20,24.2,28.6,20.4,89.7,146.0,0.3,2.2,2.0,163,10.1,568,25.5,29.1,25.7,2024,7,20
750873A001,영주시 안정로,2024-07-21,26.9,31.9,23.1,76.5,262.1,0.8,6.6,9.0,425,16.5,317,28.3,29.5,26.9,2024,7,21
750873A001,영주시 안정로,2024-07-22,27.8,32.2,23.2,78.3,162.5,0.3,3.2,0.0,468,16.8,204,29.7,30.5,25.1,2024,7,22
750873A001,영주시 안정로,2024-07-23,26.7,30.2,23.6,79.9,170.1,0.4,4.2,0.0,86,8.6,279,27.4,30.5,24.4,2024,7,23
750873A001,영주시 안정로,2024-07-24,25.2,32.4,23.0,89.8,111.9,0.3,3.9,30.5,261,13.6,981,26.4,30.1,27.8,2024,7,24
750873A001,영주시 안정로,2024-07-25,27.1,33.9,22.6,83.5,9.8,0.2,2.4,0.0,326,13.9,612,28.3,30.5,26.6,2024,7,25
750873A001,영주시 안정로,2024-07-26,27.9,33.9,23.8,79.9,118.1,0.2,4.0,0.0,419,17.4,432,29.5,31.7,25.4,2024,7,26
