no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,750873A002,영주시 안풍리,2019-05-01,15.9,22.1,10.0,69.4,271.3,1.6,11.0,0.0,586.0,23.2,422,16.2,14.8,,2019,5,1
122,750873A002,영주시 안풍리,2019-05-02,16.3,23.2,7.3,54.0,278.6,1.7,8.3,0.0,737.0,26.3,119,16.1,15.3,,2019,5,2
123,750873A002,영주시 안풍리,2019-05-03,17.0,27.5,4.6,44.4,254.5,1.2,7.1,0.0,748.0,26.4,0,15.7,15.3,,2019,5,3
124,750873A002,영주시 안풍리,2019-05-04,17.3,27.3,6.0,55.9,195.4,1.1,11.0,0.0,589.0,23.7,61,16.1,15.5,,2019,5,4
125,750873A002,영주시 안풍리,2019-05-05,18.5,27.6,9.1,48.4,274.1,1.3,7.5,0.0,643.0,22.6,0,16.9,15.8,,2019,5,5
126,750873A002,영주시 안풍리,2019-05-06,14.4,19.5,5.2,55.4,310.3,2.0,8.9,0.0,394.0,21.0,90,15.2,16.0,,2019,5,6
127,750873A002,영주시 안풍리,2019-05-07,12.6,21.2,1.5,54.3,272.3,1.3,10.1,0.0,770.0,27.4,462,13.3,15.5,,2019,5,7
128,750873A002,영주시 안풍리,2019-05-08,16.1,22.6,5.6,37.5,285.3,1.8,7.3,0.0,550.0,23.4,0,15.3,15.4,,2019,5,8
129,750873A002,영주시 안풍리,2019-05-09,17.5,23.0,10.1,39.7,274.1,1.8,8.1,0.0,721.0,23.8,0,17.3,15.8,,2019,5,9
130,750873A002,영주시 안풍리,2019-05-10,16.6,27.6,4.2,51.4,164.9,0.8,4.5,0.0,739.0,26.6,24,16.3,15.8,,2019,5,10
131,750873A002,영주시 안풍리,2019-05-11,18.2,28.4,8.4,57.9,168.5,1.0,7.6,0.0,647.0,24.9,100,18.9,16.4,,2019,5,11
132,750873A002,영주시 안풍리,2019-05-12,17.5,26.7,8.6,55.9,169.5,1.0,15.9,0.0,733.0,24.3,227,18.1,16.9,,2019,5,12
133,750873A002,영주시 안풍리,2019-05-13,17.0,25.4,7.5,54.7,213.1,0.9,7.8,0.0,443.0,21.3,263,17.8,16.9,,2019,5,13
134,750873A002,영주시 안풍리,2019-05-14,19.4,27.3,11.0,59.8,233.8,0.9,5.3,0.0,579.0,22.1,0,20.2,17.4,,2019,5,14
135,750873A002,영주시 안풍리,2019-05-15,18.1,27.1,10.6,68.6,208.0,0.7,5.0,0.0,532.0,21.2,299,18.6,17.8,,2019,5,15
136,750873A002,영주시 안풍리,2019-05-16,20.0,28.8,11.9,67.5,176.4,0.9,5.4,0.0,581.0,25.3,259,21.2,18.1,,2019,5,16
137,750873A002,영주시 안풍리,2019-05-17,20.0,27.5,12.4,64.8,150.6,0.8,7.8,0.0,369.0,19.1,90,21.1,18.6,,2019,5,17
138,750873A002,영주시 안풍리,2019-05-18,17.1,20.8,14.9,87.6,65.0,0.5,10.9,7.0,3.0,10.7,580,18.1,18.6,,2019,5,18
139,750873A002,영주시 안풍리,2019-05-19,18.9,23.0,14.8,86.4,97.2,0.6,3.9,7.0,148.0,11.8,558,20.2,18.6,,2019,5,19
140,750873A002,영주시 안풍리,2019-05-20,16.9,20.7,12.1,62.1,278.7,2.3,11.4,2.5,371.0,20.1,455,17.9,18.9,,2019,5,20
141,750873A002,영주시 안풍리,2019-05-21,15.1,23.6,4.6,55.7,249.5,1.6,9.9,0.0,765.0,27.7,189,17.4,18.2,,2019,5,21
142,750873A002,영주시 안풍리,2019-05-22,16.8,27.1,6.1,55.3,218.0,1.0,6.3,0.0,784.0,28.2,100,18.3,18.2,,2019,5,22
143,750873A002,영주시 안풍리,2019-05-23,17.7,28.0,7.4,57.5,275.2,1.1,7.5,0.0,795.0,28.3,0,19.6,18.5,,2019,5,23
144,750873A002,영주시 안풍리,2019-05-24,20.8,31.6,8.9,64.4,164.5,0.8,11.0,0.0,783.0,27.3,292,21.9,18.9,,2019,5,24
145,750873A002,영주시 안풍리,2019-05-25,22.3,30.5,13.7,59.0,273.8,1.2,8.1,0.0,579.0,23.2,294,22.9,19.6,,2019,5,25
146,750873A002,영주시 안풍리,2019-05-26,21.5,31.1,12.2,52.3,191.3,1.0,6.3,0.0,639.0,26.9,0,22.7,20.0,,2019,5,26
147,750873A002,영주시 안풍리,2019-05-27,17.1,20.1,15.0,90.0,180.3,1.0,7.1,39.0,0.0,5.2,916,17.8,19.8,,2019,5,27
148,750873A002,영주시 안풍리,2019-05-28,17.7,23.2,13.5,52.3,270.4,1.9,8.3,0.0,462.0,22.0,0,18.1,19.0,,2019,5,28
149,750873A002,영주시 안풍리,2019-05-29,19.2,25.8,7.7,44.9,274.8,2.0,11.1,0.0,787.0,28.3,0,20.4,19.0,,2019,5,29
150,750873A002,영주시 안풍리,2019-05-30,19.3,25.8,9.3,50.8,232.4,1.2,7.7,0.0,473.0,22.2,27,20.1,19.3,,2019,5,30
151,750873A002,영주시 안풍리,2019-05-31,18.6,23.8,13.5,59.0,273.1,1.8,8.0,0.0,683.0,27.4,98,21.0,19.7,,2019,5,31
