no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,750873A002,영주시 안풍리,2016-01-01,-1.6,5.5,-8.7,75.6,259.2,0.9,5.4,0.0,477.0,12.4,22,-1.4,1.5,,2016
2,750873A002,영주시 안풍리,2016-01-02,2.3,11.1,-3.2,75.6,131.2,0.7,4.8,0.0,494.0,12.2,87,2.4,1.9,,2016
3,750873A002,영주시 안풍리,2016-01-03,2.3,11.7,-4.1,84.6,159.9,0.3,4.3,0.0,461.0,11.8,627,2.2,2.4,,2016
4,750873A002,영주시 안풍리,2016-01-04,5.7,8.8,0.9,50.5,271.2,1.8,9.3,0.0,459.0,10.6,24,5.6,3.3,,2016
5,750873A002,영주시 안풍리,2016-01-05,0.2,4.3,-4.1,36.5,270.8,1.3,6.6,0.0,281.0,8.8,0,0.2,2.6,,2016
6,750873A002,영주시 안풍리,2016-01-06,-1.7,3.1,-9.4,53.8,269.0,1.4,8.1,0.0,517.0,12.7,0,-1.7,1.9,,2016
7,750873A002,영주시 안풍리,2016-01-07,-0.8,3.2,-3.8,46.1,266.8,1.7,7.5,0.0,527.0,14.3,0,-0.5,1.6,,2016
8,750873A002,영주시 안풍리,2016-01-08,-1.8,2.1,-5.4,44.0,272.9,1.6,8.7,0.0,529.0,14.5,0,-1.8,1.4,,2016
9,750873A002,영주시 안풍리,2016-01-09,-1.9,3.8,-8.5,56.4,269.9,1.2,7.5,0.0,482.0,13.5,0,-1.4,1.2,,2016
10,750873A002,영주시 안풍리,2016-01-10,1.6,4.6,-1.7,50.3,272.2,1.8,8.6,0.0,286.0,8.4,0,1.4,1.3,,2016
11,750873A002,영주시 안풍리,2016-01-11,-1.3,3.5,-8.6,31.1,268.4,1.2,7.5,0.0,526.0,13.7,0,-1.3,1.3,,2016
