no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,036052B006,영주시 용산리,2020-03-01,6.6,11.0,1.8,84.6,125.2,0.4,7.7,0.0,25,6.7,353,,5.5,19.0,2020,3,1
61,036052B006,영주시 용산리,2020-03-02,4.7,9.1,1.1,58.2,119.8,1.2,10.0,0.0,602,18.2,8,,5.9,18.9,2020,3,2
62,036052B006,영주시 용산리,2020-03-03,4.4,11.8,-2.6,75.6,151.2,0.5,5.6,0.0,272,12.2,0,,5.5,18.7,2020,3,3
63,036052B006,영주시 용산리,2020-03-04,3.4,7.9,-0.7,56.3,185.2,2.0,19.1,0.0,474,17.6,0,,5.9,18.7,2020,3,4
64,036052B006,영주시 용산리,2020-03-05,0.9,7.9,-4.7,52.7,184.0,1.0,8.8,0.0,612,18.6,0,,4.9,18.4,2020,3,5
65,036052B006,영주시 용산리,2020-03-06,1.2,11.4,-7.9,59.0,170.7,0.6,5.1,0.0,628,18.6,0,,4.2,18.2,2020,3,6
66,036052B006,영주시 용산리,2020-03-07,3.6,9.8,-3.0,64.0,166.9,0.6,3.8,0.0,82,7.4,0,,4.4,18.1,2020,3,7
67,036052B006,영주시 용산리,2020-03-08,6.3,16.3,-3.1,68.5,179.7,0.6,4.5,0.0,601,18.9,0,,5.0,18.0,2020,3,8
68,036052B006,영주시 용산리,2020-03-09,7.3,14.7,-1.8,74.6,178.1,0.7,4.9,0.0,394,13.1,46,,5.6,18.0,2020,3,9
69,036052B006,영주시 용산리,2020-03-10,7.7,9.3,4.7,91.4,211.9,0.7,7.6,6.0,0,3.5,348,,6.7,18.0,2020,3,10
70,036052B006,영주시 용산리,2020-03-11,3.8,8.9,-0.8,49.9,202.8,1.3,10.7,0.0,635,20.2,0,,6.3,18.1,2020,3,11
71,036052B006,영주시 용산리,2020-03-12,5.5,14.1,-5.1,50.4,177.8,1.3,9.1,0.0,639,19.9,0,,5.6,18.1,2020,3,12
72,036052B006,영주시 용산리,2020-03-13,7.3,12.5,0.3,39.8,181.3,1.2,10.0,0.0,508,14.4,0,,6.1,18.2,2020,3,13
73,036052B006,영주시 용산리,2020-03-14,3.6,9.3,-4.1,41.9,132.9,1.4,8.4,0.0,633,20.7,0,,5.7,18.2,2020,3,14
74,036052B006,영주시 용산리,2020-03-15,4.5,9.3,0.8,48.1,180.3,2.0,15.1,0.0,479,15.5,0,,5.6,18.1,2020,3,15
75,036052B006,영주시 용산리,2020-03-16,4.1,11.0,-4.3,47.8,185.0,1.5,9.5,0.0,652,21.2,0,,5.3,18.0,2020,3,16
76,036052B006,영주시 용산리,2020-03-17,4.3,11.4,-2.9,62.6,177.2,0.9,10.1,0.0,105,6.7,0,,5.2,17.9,2020,3,17
77,036052B006,영주시 용산리,2020-03-18,7.7,17.5,-2.4,56.9,168.4,0.9,7.5,0.0,637,20.8,0,,5.7,17.9,2020,3,18
78,036052B006,영주시 용산리,2020-03-19,5.7,14.9,-1.6,55.3,196.9,2.1,18.4,0.0,447,16.1,0,,6.0,17.9,2020,3,19
79,036052B006,영주시 용산리,2020-03-20,8.9,16.0,1.6,37.3,176.6,1.7,11.6,0.0,659,21.1,0,,6.1,17.8,2020,3,20
80,036052B006,영주시 용산리,2020-03-21,12.8,22.9,0.9,46.7,185.0,1.6,9.7,0.0,567,19.1,0,,6.9,17.8,2020,3,21
81,036052B006,영주시 용산리,2020-03-22,13.5,19.8,3.2,52.7,145.8,1.2,9.5,0.0,638,21.3,0,,8.7,18.0,2020,3,22
82,036052B006,영주시 용산리,2020-03-23,7.6,16.6,-1.4,61.2,131.7,0.9,9.5,0.0,645,21.1,0,,8.3,17.9,2020,3,23
83,036052B006,영주시 용산리,2020-03-24,7.6,16.6,-1.6,60.2,171.0,0.8,7.2,0.0,652,21.5,0,,8.1,17.7,2020,3,24
84,036052B006,영주시 용산리,2020-03-25,9.2,19.2,-1.4,60.2,161.1,0.8,6.8,0.0,647,21.2,0,,8.2,17.7,2020,3,25
85,036052B006,영주시 용산리,2020-03-26,11.5,20.9,3.3,73.7,172.5,0.8,7.3,9.5,387,14.7,263,,9.0,17.6,2020,3,26
86,036052B006,영주시 용산리,2020-03-27,12.2,17.0,5.5,92.3,179.0,0.5,5.0,5.0,33,5.4,123,,10.2,18.3,2020,3,27
87,036052B006,영주시 용산리,2020-03-28,6.2,11.3,0.9,77.1,171.5,0.5,5.0,0.0,291,12.7,295,,9.5,19.0,2020,3,28
88,036052B006,영주시 용산리,2020-03-29,5.4,13.1,-2.6,74.8,146.5,0.6,5.3,0.0,386,15.7,2,,8.7,18.9,2020,3,29
89,036052B006,영주시 용산리,2020-03-30,8.6,17.4,0.1,69.3,169.7,0.6,7.1,0.0,633,22.8,148,,9.0,18.9,2020,3,30
90,036052B006,영주시 용산리,2020-03-31,10.0,19.3,0.0,63.9,174.4,0.7,6.2,0.0,625,21.6,0,,9.4,18.8,2020,3,31
