no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,750852A006,영주시 평은면,2016-09-01,22.3,29.2,16.2,76.5,185.7,1.1,6.7,7.5,564.0,14.2,534,23.3,21.7,,2016,9,1
245,750852A006,영주시 평은면,2016-09-02,19.2,20.8,17.7,97.8,22.8,0.6,6.2,23.0,0.0,2.1,1417,19.4,22.1,,2016,9,2
246,750852A006,영주시 평은면,2016-09-03,20.2,24.2,17.7,97.2,64.2,0.4,5.1,15.5,16.0,4.3,868,20.6,21.6,,2016,9,3
247,750852A006,영주시 평은면,2016-09-04,23.8,30.1,18.8,85.2,106.5,0.6,5.1,0.0,415.0,13.2,239,25.2,23.1,,2016,9,4
248,750852A006,영주시 평은면,2016-09-05,23.2,28.0,20.7,91.4,215.2,0.3,2.9,1.5,169.0,8.2,422,24.3,23.9,,2016,9,5
249,750852A006,영주시 평은면,2016-09-06,22.4,27.1,17.7,88.1,199.7,0.4,3.5,0.0,228.0,9.7,145,23.5,24.0,,2016,9,6
250,750852A006,영주시 평은면,2016-09-07,21.1,27.8,16.7,86.7,239.9,0.4,3.6,2.5,374.0,12.2,742,22.6,23.5,,2016,9,7
251,750852A006,영주시 평은면,2016-09-08,20.8,26.5,17.5,87.5,169.5,0.5,3.8,1.0,371.0,12.2,627,22.3,23.7,,2016,9,8
252,750852A006,영주시 평은면,2016-09-09,21.4,26.8,17.0,83.6,183.5,0.6,5.4,0.0,425.0,12.0,469,22.8,23.6,,2016,9,9
253,750852A006,영주시 평은면,2016-09-10,20.1,25.3,15.9,89.1,84.3,0.4,5.5,0.0,185.0,8.5,571,21.1,23.3,,2016,9,10
254,750852A006,영주시 평은면,2016-09-11,21.2,26.7,17.7,85.8,174.3,0.4,4.3,0.5,274.0,10.2,557,22.4,23.2,,2016,9,11
255,750852A006,영주시 평은면,2016-09-12,19.3,23.6,15.7,94.3,240.2,0.1,3.4,1.5,136.0,4.9,851,20.0,22.9,,2016,9,12
256,750852A006,영주시 평은면,2016-09-13,19.8,27.4,14.5,84.4,147.6,0.7,9.5,0.0,438.0,14.5,549,21.5,22.8,,2016,9,13
257,750852A006,영주시 평은면,2016-09-14,20.4,26.4,15.4,87.0,207.9,0.5,6.6,0.0,478.0,11.8,491,21.6,23.1,,2016,9,14
258,750852A006,영주시 평은면,2016-09-15,20.3,26.7,15.9,89.5,218.2,0.4,3.7,0.0,335.0,10.9,725,21.5,23.0,,2016,9,15
259,750852A006,영주시 평은면,2016-09-16,20.1,24.3,17.1,92.0,205.6,0.3,2.5,1.5,41.0,6.8,880,20.9,22.8,,2016,9,16
260,750852A006,영주시 평은면,2016-09-17,18.2,19.5,17.0,99.9,18.0,0.2,7.2,58.0,0.0,1.7,1429,18.7,21.7,,2016,9,17
261,750852A006,영주시 평은면,2016-09-18,18.6,22.2,16.6,87.6,27.5,0.5,4.2,7.0,0.0,6.0,664,19.1,21.5,,2016,9,18
262,750852A006,영주시 평은면,2016-09-19,17.9,22.4,12.2,79.2,21.8,1.2,24.5,0.0,148.0,8.3,52,18.3,21.5,,2016,9,19
263,750852A006,영주시 평은면,2016-09-20,15.5,23.2,8.7,72.9,33.9,1.2,8.8,0.0,628.0,14.6,327,15.6,20.8,,2016,9,20
264,750852A006,영주시 평은면,2016-09-21,14.4,23.1,6.4,81.1,45.5,0.4,9.4,0.0,337.0,10.4,546,14.7,20.1,,2016,9,21
265,750852A006,영주시 평은면,2016-09-22,16.4,22.3,12.4,86.7,154.4,0.4,4.1,0.0,62.0,7.1,0,16.9,20.0,,2016,9,22
266,750852A006,영주시 평은면,2016-09-23,17.3,24.9,9.7,82.1,163.9,0.6,5.6,0.0,601.0,14.9,560,18.0,20.1,,2016,9,23
267,750852A006,영주시 평은면,2016-09-24,18.6,26.2,11.9,80.0,196.3,0.6,4.6,0.0,632.0,14.9,674,18.9,20.6,,2016,9,24
268,750852A006,영주시 평은면,2016-09-25,17.5,23.4,12.6,90.8,201.6,0.2,3.2,0.0,201.0,7.6,851,17.7,20.4,,2016,9,25
269,750852A006,영주시 평은면,2016-09-26,18.6,23.1,14.6,93.6,329.4,0.1,3.1,0.5,74.0,5.5,900,18.9,20.4,,2016,9,26
270,750852A006,영주시 평은면,2016-09-27,20.9,25.3,18.7,95.2,255.9,0.1,2.5,4.5,103.0,6.4,620,21.6,20.9,,2016,9,27
271,750852A006,영주시 평은면,2016-09-28,20.6,26.4,16.2,87.0,168.8,0.5,13.0,0.0,337.0,9.7,367,21.0,21.4,,2016,9,28
272,750852A006,영주시 평은면,2016-09-29,17.1,19.1,14.5,81.3,46.1,0.4,5.2,0.0,0.0,4.6,46,17.5,21.0,,2016,9,29
273,750852A006,영주시 평은면,2016-09-30,14.7,16.7,12.1,97.3,223.0,0.1,2.5,0.5,0.0,2.7,410,15.5,19.9,,2016,9,30
