no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,750804A003,영주시 풍기읍,2016-02-01,-3.2,2.9,-7.9,42.5,98.2,1.8,7.9,0.0,553.0,,,-4.8,2.7,,2016,2,1
33,750804A003,영주시 풍기읍,2016-02-02,-3.8,4.7,-11.9,40.7,104.4,1.4,6.2,0.0,557.0,,,-1.0,2.4,,2016,2,2
34,750804A003,영주시 풍기읍,2016-02-03,-3.2,3.9,-11.0,48.7,85.9,1.5,7.3,0.0,558.0,,,-0.9,2.3,,2016,2,3
35,750804A003,영주시 풍기읍,2016-02-04,0.2,5.5,-3.7,52.2,84.7,1.8,11.1,0.0,459.0,,,-2.5,2.4,,2016,2,4
36,750804A003,영주시 풍기읍,2016-02-05,-0.8,4.7,-4.7,41.7,91.6,1.9,9.6,0.0,557.0,,,-2.7,2.7,,2016,2,5
37,750804A003,영주시 풍기읍,2016-02-06,-1.4,4.4,-5.3,47.8,91.6,1.8,6.9,0.0,555.0,,,1.6,2.8,,2016,2,6
38,750804A003,영주시 풍기읍,2016-02-07,-2.4,6.1,-9.7,43.7,89.1,1.1,5.5,0.0,561.0,,,-2.0,2.8,,2016,2,7
39,750804A003,영주시 풍기읍,2016-02-08,0.3,7.7,-8.4,51.9,47.2,1.4,7.2,0.0,378.0,,,0.4,2.8,,2016,2,8
40,750804A003,영주시 풍기읍,2016-02-09,1.8,6.8,-2.3,46.1,88.4,2.3,9.8,0.0,563.0,,,1.9,3.5,,2016,2,9
41,750804A003,영주시 풍기읍,2016-02-10,1.5,9.5,-5.4,47.3,277.4,0.8,4.1,0.0,568.0,,,1.1,3.5,,2016,2,10
42,750804A003,영주시 풍기읍,2016-02-11,4.8,11.9,-2.1,42.1,266.1,0.7,3.0,0.0,425.0,,,3.8,3.7,,2016,2,11
43,750804A003,영주시 풍기읍,2016-02-12,7.0,9.4,4.3,92.6,152.5,0.2,5.8,21.5,0.0,,,6.0,4.8,,2016,2,12
44,750804A003,영주시 풍기읍,2016-02-13,11.2,14.6,8.5,97.9,10.0,0.3,2.3,9.5,3.0,,,10.7,6.1,,2016,2,13
45,750804A003,영주시 풍기읍,2016-02-14,1.2,12.3,-4.8,81.3,90.2,2.4,8.9,0.5,91.0,,,1.0,6.8,,2016,2,14
46,750804A003,영주시 풍기읍,2016-02-15,-4.9,-1.0,-7.9,57.4,93.0,2.2,9.6,0.0,572.0,,,-4.0,5.3,,2016,2,15
47,750804A003,영주시 풍기읍,2016-02-16,-2.4,1.8,-5.8,70.3,90.9,2.2,8.6,0.0,233.0,,,-2.2,4.4,,2016,2,16
48,750804A003,영주시 풍기읍,2016-02-17,0.1,5.4,-5.6,52.0,92.4,1.8,8.8,0.5,580.0,,,0.4,4.4,,2016,2,17
49,750804A003,영주시 풍기읍,2016-02-18,2.4,7.6,-4.8,58.0,86.6,1.2,6.7,0.0,420.0,,,2.7,4.5,,2016,2,18
50,750804A003,영주시 풍기읍,2016-02-19,3.5,6.0,-0.1,51.1,90.0,1.3,9.7,0.0,62.0,,,2.5,4.6,,2016,2,19
51,750804A003,영주시 풍기읍,2016-02-20,3.4,10.1,-1.5,43.9,91.5,1.3,6.2,0.0,494.0,,,3.4,4.8,,2016,2,20
52,750804A003,영주시 풍기읍,2016-02-21,-0.1,5.7,-5.7,36.1,91.6,1.7,7.3,0.0,590.0,,,0.2,4.7,,2016,2,21
53,750804A003,영주시 풍기읍,2016-02-22,1.5,8.0,-2.5,40.2,247.1,0.8,5.8,0.0,220.0,,,1.5,4.5,,2016,2,22
54,750804A003,영주시 풍기읍,2016-02-23,2.7,8.0,-2.5,51.3,92.3,2.0,8.1,0.0,457.0,,,3.0,5.0,,2016,2,23
55,750804A003,영주시 풍기읍,2016-02-24,-1.5,4.1,-5.8,48.8,92.9,1.6,7.0,0.0,428.0,,,-1.3,4.6,,2016,2,24
56,750804A003,영주시 풍기읍,2016-02-25,-0.5,5.2,-6.2,50.5,85.7,2.0,7.9,0.0,506.0,,,0.1,4.3,,2016,2,25
57,750804A003,영주시 풍기읍,2016-02-26,2.8,8.9,-0.6,56.5,93.3,1.6,7.3,0.0,491.0,,,3.3,4.8,,2016,2,26
58,750804A003,영주시 풍기읍,2016-02-27,3.3,9.6,0.0,69.8,99.3,0.9,6.3,3.5,528.0,,,3.6,5.3,,2016,2,27
59,750804A003,영주시 풍기읍,2016-02-28,2.1,6.1,-1.0,77.2,99.5,0.8,7.3,6.0,0.0,,,1.4,5.2,,2016,2,28
