no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,038882F017,영천시 금호읍,2023-07-01,25.4,32.1,21.2,79.9,82.7,0.8,5.2,0.0,,25.5,511,,,,2023,7,1
183,038882F017,영천시 금호읍,2023-07-02,27.8,34.1,22.6,74.8,210.3,1.0,4.8,0.0,,22.7,0,,,,2023,7,2
184,038882F017,영천시 금호읍,2023-07-03,26.4,32.9,21.1,78.3,65.6,1.3,5.9,0.0,,25.1,0,,,,2023,7,3
185,038882F017,영천시 금호읍,2023-07-04,25.6,30.1,22.7,84.4,212.4,0.5,4.4,4.5,,10.7,461,,,,2023,7,4
186,038882F017,영천시 금호읍,2023-07-05,27.2,32.2,21.4,75.4,272.1,1.5,9.7,11.0,,26.7,585,,,,2023,7,5
187,038882F017,영천시 금호읍,2023-07-06,26.3,34.4,18.7,73.6,223.5,0.6,5.2,0.0,,20.7,0,,,,2023,7,6
188,038882F017,영천시 금호읍,2023-07-07,22.0,25.8,18.6,91.2,54.9,0.7,4.7,37.5,,3.5,664,,,,2023,7,7
189,038882F017,영천시 금호읍,2023-07-08,23.3,27.4,20.0,86.4,68.3,0.7,4.8,0.0,,9.8,607,,,,2023,7,8
190,038882F017,영천시 금호읍,2023-07-09,26.9,31.8,22.2,79.4,216.3,1.1,7.0,0.0,,19.2,0,,,,2023,7,9
191,038882F017,영천시 금호읍,2023-07-10,28.2,32.7,22.9,77.6,206.9,1.4,7.1,0.0,,21.5,0,,,,2023,7,10
192,038882F017,영천시 금호읍,2023-07-11,25.5,30.5,22.8,89.4,219.0,0.7,15.2,33.0,,7.3,700,,,,2023,7,11
193,038882F017,영천시 금호읍,2023-07-12,27.1,32.5,23.0,83.4,217.3,1.0,5.8,0.0,,19.9,424,,,,2023,7,12
194,038882F017,영천시 금호읍,2023-07-13,26.6,28.0,24.9,87.5,206.1,0.7,4.3,1.5,,5.6,59,,,,2023,7,13
195,038882F017,영천시 금호읍,2023-07-14,25.9,28.4,24.7,87.8,217.8,2.2,10.2,46.0,,4.1,1185,,,,2023,7,14
196,038882F017,영천시 금호읍,2023-07-15,27.9,30.8,23.9,77.9,228.6,2.4,9.4,9.5,,7.9,635,,,,2023,7,15
197,038882F017,영천시 금호읍,2023-07-16,25.0,29.8,22.7,90.3,215.6,0.7,3.5,5.0,,10.1,893,,,,2023,7,16
198,038882F017,영천시 금호읍,2023-07-17,26.9,32.6,23.2,85.3,211.5,1.2,7.2,15.0,,21.3,814,,,,2023,7,17
199,038882F017,영천시 금호읍,2023-07-18,23.9,25.7,22.3,96.1,39.4,0.6,4.4,84.5,,3.0,1270,,,,2023,7,18
200,038882F017,영천시 금호읍,2023-07-19,25.4,30.0,22.1,83.5,78.1,0.8,5.2,0.0,,20.0,551,,,,2023,7,19
201,038882F017,영천시 금호읍,2023-07-20,26.7,33.8,20.7,80.2,55.9,0.5,3.4,0.0,,22.1,14,,,,2023,7,20
202,038882F017,영천시 금호읍,2023-07-21,26.4,31.3,22.8,83.1,67.9,1.1,6.4,0.0,,19.8,0,,,,2023,7,21
203,038882F017,영천시 금호읍,2023-07-22,25.8,30.0,20.6,78.8,154.7,0.8,4.6,0.0,,15.6,0,,,,2023,7,22
204,038882F017,영천시 금호읍,2023-07-23,27.4,31.6,24.2,81.0,197.6,1.1,6.9,0.0,,10.1,0,,,,2023,7,23
205,038882F017,영천시 금호읍,2023-07-24,27.1,32.6,24.8,86.4,218.3,0.9,6.3,8.5,,13.4,743,,,,2023,7,24
206,038882F017,영천시 금호읍,2023-07-25,27.5,34.0,23.7,80.3,220.1,1.1,9.4,0.0,,19.7,0,,,,2023,7,25
207,038882F017,영천시 금호읍,2023-07-26,27.4,34.2,23.1,81.5,251.5,0.8,7.8,10.5,,20.9,205,,,,2023,7,26
208,038882F017,영천시 금호읍,2023-07-27,28.1,35.5,22.2,80.4,273.7,0.4,4.1,0.0,,24.1,565,,,,2023,7,27
209,038882F017,영천시 금호읍,2023-07-28,29.6,36.2,24.0,76.7,251.8,0.4,4.1,0.0,,24.2,0,,,,2023,7,28
210,038882F017,영천시 금호읍,2023-07-29,30.2,37.4,24.1,72.0,233.2,0.5,3.7,0.0,,26.3,0,,,,2023,7,29
211,038882F017,영천시 금호읍,2023-07-30,29.7,35.9,24.3,73.2,158.4,0.6,4.8,0.0,,24.2,0,,,,2023,7,30
212,038882F017,영천시 금호읍,2023-07-31,29.2,35.9,23.1,74.1,72.6,0.7,6.2,0.0,,24.7,0,,,,2023,7,31
