no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,770270A001,영천시 오미동,2018-05-01,19.1,25.0,12.7,87.0,157.9,0.6,4.8,0.0,,,0,18.9,17.3,31.0,2018,5,1
122,770270A001,영천시 오미동,2018-05-02,14.2,17.7,12.3,98.5,95.1,1.1,8.7,6.0,,,1014,13.6,16.2,30.5,2018,5,2
123,770270A001,영천시 오미동,2018-05-03,14.0,19.3,8.2,59.8,275.8,2.0,9.9,0.5,,,35,13.9,14.5,30.5,2018,5,3
124,770270A001,영천시 오미동,2018-05-04,14.3,23.0,3.5,52.7,275.1,1.3,13.6,0.0,,,523,14.3,14.0,30.5,2018,5,4
125,770270A001,영천시 오미동,2018-05-05,17.7,27.8,4.3,50.6,210.2,1.1,5.9,0.0,,,0,17.6,14.8,30.2,2018,5,5
126,770270A001,영천시 오미동,2018-05-06,16.0,18.5,14.1,97.3,126.7,0.3,3.6,12.5,,,1018,15.3,15.5,31.5,2018,5,6
127,770270A001,영천시 오미동,2018-05-07,15.2,18.6,13.7,99.2,116.3,0.7,5.7,16.5,,,659,14.8,15.5,35.3,2018,5,7
128,770270A001,영천시 오미동,2018-05-08,14.2,17.1,12.1,86.7,69.9,0.8,5.8,0.0,,,0,13.7,15.1,34.6,2018,5,8
129,770270A001,영천시 오미동,2018-05-09,12.7,16.5,11.0,82.4,107.8,1.0,6.2,0.0,,,0,13.0,14.7,34.0,2018,5,9
130,770270A001,영천시 오미동,2018-05-10,16.0,24.9,9.7,74.5,298.5,0.6,4.8,0.0,,,0,16.8,15.6,33.4,2018,5,10
131,770270A001,영천시 오미동,2018-05-11,17.9,26.9,7.2,65.9,253.2,0.5,5.1,0.0,,,0,18.2,16.2,32.9,2018,5,11
132,770270A001,영천시 오미동,2018-05-12,17.0,19.0,13.7,88.7,157.4,0.4,3.4,6.0,,,649,16.1,16.3,32.6,2018,5,12
133,770270A001,영천시 오미동,2018-05-13,19.6,25.5,14.8,84.9,297.3,0.9,6.7,5.5,,,393,19.3,17.5,34.9,2018,5,13
134,770270A001,영천시 오미동,2018-05-14,20.1,29.8,10.9,78.1,231.5,0.5,6.4,0.0,,,0,20.4,18.0,33.9,2018,5,14
135,770270A001,영천시 오미동,2018-05-15,23.1,32.1,13.6,72.8,209.0,0.5,3.8,0.0,,,0,23.2,19.3,33.4,2018,5,15
136,770270A001,영천시 오미동,2018-05-16,24.1,25.9,21.1,95.5,196.5,1.3,6.4,0.0,,,0,23.2,20.1,33.1,2018,5,16
137,770270A001,영천시 오미동,2018-05-17,26.3,30.3,22.3,85.9,195.4,2.0,7.8,0.0,,,0,26.2,21.4,32.5,2018,5,17
138,770270A001,영천시 오미동,2018-05-18,15.0,22.4,11.5,99.5,106.8,0.9,6.0,3.0,,,973,15.0,19.6,31.6,2018,5,18
139,770270A001,영천시 오미동,2018-05-19,14.4,20.0,8.4,80.0,93.3,0.8,8.2,0.0,,,242,15.2,17.8,31.0,2018,5,19
140,770270A001,영천시 오미동,2018-05-20,13.2,20.4,5.2,81.9,87.8,1.1,8.2,0.0,,,0,14.8,17.0,30.4,2018,5,20
141,770270A001,영천시 오미동,2018-05-21,15.2,19.9,11.3,88.1,107.9,0.9,4.9,0.0,,,0,15.1,17.0,29.7,2018,5,21
142,770270A001,영천시 오미동,2018-05-22,17.6,25.8,9.4,82.6,120.1,0.6,7.1,1.5,,,126,18.7,17.7,28.8,2018,5,22
143,770270A001,영천시 오미동,2018-05-23,18.9,26.5,10.9,77.9,325.5,1.1,6.3,24.0,,,281,19.7,18.9,33.1,2018,5,23
144,770270A001,영천시 오미동,2018-05-24,19.0,29.5,7.7,65.2,308.0,1.2,8.4,0.0,,,0,19.6,18.4,33.1,2018,5,24
145,770270A001,영천시 오미동,2018-05-25,21.5,29.2,12.6,58.9,282.5,0.9,6.6,0.0,,,0,21.7,19.2,32.5,2018,5,25
146,770270A001,영천시 오미동,2018-05-26,20.1,30.8,11.0,71.6,131.2,0.6,5.3,0.0,,,0,20.9,19.9,31.4,2018,5,26
147,770270A001,영천시 오미동,2018-05-27,20.3,28.1,12.4,78.2,186.6,0.4,4.2,0.0,,,0,20.5,19.9,29.9,2018,5,27
148,770270A001,영천시 오미동,2018-05-28,21.2,27.4,15.1,80.6,99.8,0.6,6.1,0.0,,,0,21.7,20.5,28.6,2018,5,28
149,770270A001,영천시 오미동,2018-05-29,22.7,30.9,15.3,82.2,148.7,0.5,4.4,0.0,,,0,23.6,21.5,27.4,2018,5,29
150,770270A001,영천시 오미동,2018-05-30,21.3,28.6,17.9,91.8,85.0,0.4,12.6,4.0,,,200,21.8,21.7,26.4,2018,5,30
151,770270A001,영천시 오미동,2018-05-31,20.5,26.7,14.6,78.9,324.4,0.9,4.6,0.0,,,0,21.4,21.0,26.3,2018,5,31
