no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,340861A001,예산군 신암면,2011-06-01,17.1,21.9,14.7,82.5,210.1,0.8,,53.5,10,39.8,,18.4,,,2011,6,1
153,340861A001,예산군 신암면,2011-06-02,17.3,24.7,13.3,77.6,211.9,0.7,,0.0,10,38.7,,21.5,,,2011,6,2
154,340861A001,예산군 신암면,2011-06-03,18.3,25.1,13.2,70.3,213.4,1.9,,0.0,10,39.6,,23.7,,,2011,6,3
155,340861A001,예산군 신암면,2011-06-04,17.8,21.3,15.7,80.2,216.9,2.0,,0.0,10,39.1,,20.5,,,2011,6,4
156,340861A001,예산군 신암면,2011-06-05,20.2,27.5,14.7,69.7,115.7,0.8,,0.0,10,39.9,,25.4,,,2011,6,5
157,340861A001,예산군 신암면,2011-06-06,19.2,27.0,12.2,63.4,78.2,0.7,,0.0,10,39.9,,24.8,,,2011,6,6
158,340861A001,예산군 신암면,2011-06-07,19.7,27.9,12.0,61.9,211.7,0.8,,0.0,10,38.6,,26.3,,,2011,6,7
159,340861A001,예산군 신암면,2011-06-08,20.4,27.8,14.8,63.8,209.1,2.0,,0.0,10,39.8,,25.5,,,2011,6,8
160,340861A001,예산군 신암면,2011-06-09,19.1,23.6,15.9,79.6,211.7,1.4,,0.0,10,38.6,,21.6,,,2011,6,9
161,340861A001,예산군 신암면,2011-06-10,20.2,23.9,16.8,79.4,90.4,0.8,,0.0,0,33.8,,22.2,,,2011,6,10
162,340861A001,예산군 신암면,2011-06-11,22.5,30.7,15.8,64.4,93.7,1.0,,0.0,10,39.1,,27.3,,,2011,6,11
163,340861A001,예산군 신암면,2011-06-12,21.7,29.4,15.3,59.9,186.6,1.1,,0.0,10,39.0,,27.0,,,2011,6,12
164,340861A001,예산군 신암면,2011-06-13,19.9,26.2,15.4,69.9,213.0,1.4,,0.0,10,38.5,,25.4,,,2011,6,13
165,340861A001,예산군 신암면,2011-06-14,20.1,28.9,14.2,72.6,92.0,1.1,,0.0,10,38.8,,26.0,,,2011,6,14
166,340861A001,예산군 신암면,2011-06-15,22.5,31.2,15.2,64.2,163.1,1.0,,0.0,10,39.1,,29.7,,,2011,6,15
167,340861A001,예산군 신암면,2011-06-16,23.4,30.9,15.6,55.2,93.9,1.4,,0.0,10,39.0,,28.1,,,2011,6,16
168,340861A001,예산군 신암면,2011-06-17,22.2,28.9,16.9,60.5,223.7,1.1,,0.0,10,39.8,,27.7,,,2011,6,17
169,340861A001,예산군 신암면,2011-06-18,22.2,27.9,17.2,63.2,91.4,0.9,,0.0,10,38.4,,27.0,,,2011,6,18
170,340861A001,예산군 신암면,2011-06-19,23.8,31.5,15.7,62.5,89.7,1.0,,0.0,10,38.7,,29.0,,,2011,6,19
171,340861A001,예산군 신암면,2011-06-20,23.9,31.5,18.0,61.0,228.2,1.6,,0.0,10,39.5,,29.8,,,2011,6,20
172,340861A001,예산군 신암면,2011-06-21,22.9,29.9,16.8,67.8,161.0,1.5,,0.0,10,39.8,,29.4,,,2011,6,21
173,340861A001,예산군 신암면,2011-06-22,22.0,28.0,19.4,85.1,207.7,1.5,,7.5,8,39.7,,24.7,,,2011,6,22
174,340861A001,예산군 신암면,2011-06-23,22.4,24.9,20.6,88.8,211.8,3.1,,28.5,0,15.9,,22.7,,,2011,6,23
175,340861A001,예산군 신암면,2011-06-24,19.9,20.9,18.5,91.6,200.5,0.3,,90.5,0,19.6,,20.7,,,2011,6,24
176,340861A001,예산군 신암면,2011-06-25,19.7,22.6,18.3,88.8,68.9,0.6,,38.5,0,28.7,,20.4,,,2011,6,25
177,340861A001,예산군 신암면,2011-06-26,21.0,26.3,17.7,78.1,107.2,3.5,,9.0,6,35.7,,20.2,,,2011,6,26
178,340861A001,예산군 신암면,2011-06-27,19.3,20.8,18.1,85.9,205.2,2.4,,15.5,0,25.8,,19.6,,,2011,6,27
179,340861A001,예산군 신암면,2011-06-28,23.2,30.7,16.2,72.2,197.8,0.7,,2.5,10,38.5,,26.6,,,2011,6,28
180,340861A001,예산군 신암면,2011-06-29,22.9,27.1,20.4,84.7,197.8,1.6,,56.0,0,36.9,,23.0,,,2011,6,29
181,340861A001,예산군 신암면,2011-06-30,25.1,29.3,21.4,77.8,191.4,1.3,,12.0,10,37.5,,24.9,,,2011,6,30
