no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,757802A001,예천군 예천읍,2016-11-01,3.3,10.9,-3.1,55.7,242.6,1.4,7.0,0.0,561.0,11.1,0.0,5.8,11.7,22.7,2016,11,1
306,757802A001,예천군 예천읍,2016-11-02,1.9,12.0,-5.9,67.7,306.9,0.9,8.2,0.0,557.0,10.7,30.0,4.9,9.9,22.4,2016,11,2
307,757802A001,예천군 예천읍,2016-11-03,4.7,13.6,-1.0,76.5,229.6,0.7,5.8,0.0,354.0,6.5,205.0,6.2,9.6,22.3,2016,11,3
308,757802A001,예천군 예천읍,2016-11-04,5.5,16.9,-2.3,78.8,179.6,0.8,5.8,0.0,528.0,9.1,68.0,7.3,9.4,22.1,2016,11,4
309,757802A001,예천군 예천읍,2016-11-05,9.2,19.8,0.5,80.1,214.6,0.8,5.7,0.0,372.0,7.8,0.0,10.1,10.0,22.0,2016,11,5
310,757802A001,예천군 예천읍,2016-11-06,10.5,13.1,5.2,75.1,62.0,1.2,5.6,0.0,0.0,1.8,0.0,10.3,10.9,21.8,2016,11,6
311,757802A001,예천군 예천읍,2016-11-07,11.7,17.0,9.1,74.6,88.3,0.6,3.7,0.0,218.0,5.7,20.0,12.5,11.7,21.6,2016,11,7
312,757802A001,예천군 예천읍,2016-11-08,8.6,12.4,0.4,63.6,279.1,1.2,6.4,1.0,452.0,9.0,460.0,10.0,12.0,21.4,2016,11,8
313,757802A001,예천군 예천읍,2016-11-09,2.2,11.0,-4.1,70.2,160.8,0.8,5.0,0.0,519.0,9.4,0.0,5.1,10.1,21.3,2016,11,9
314,757802A001,예천군 예천읍,2016-11-10,6.0,12.3,0.2,75.9,45.7,0.8,6.9,0.0,66.0,4.6,182.0,7.2,9.6,21.2,2016,11,10
315,757802A001,예천군 예천읍,2016-11-11,7.2,14.6,1.2,74.0,267.3,0.9,9.3,0.0,430.0,8.0,689.0,8.6,10.1,21.1,2016,11,11
316,757802A001,예천군 예천읍,2016-11-12,5.3,15.7,-2.0,74.7,188.9,0.6,4.6,0.0,483.0,8.1,0.0,7.1,9.4,21.0,2016,11,12
317,757802A001,예천군 예천읍,2016-11-13,7.6,16.9,0.1,79.6,56.0,0.4,11.1,0.0,384.0,5.8,0.0,8.7,9.4,20.9,2016,11,13
318,757802A001,예천군 예천읍,2016-11-14,11.9,19.5,5.5,80.2,184.3,0.6,4.5,0.0,337.0,5.9,0.0,12.5,10.5,20.8,2016,11,14
319,757802A001,예천군 예천읍,2016-11-15,8.2,16.0,-1.1,59.7,221.1,1.1,6.9,0.0,495.0,9.1,0.0,9.1,10.8,20.6,2016,11,15
320,757802A001,예천군 예천읍,2016-11-16,2.9,13.2,-4.5,68.2,185.4,0.5,4.5,0.0,425.0,7.2,21.0,4.7,9.0,20.5,2016,11,16
321,757802A001,예천군 예천읍,2016-11-17,4.2,14.8,-2.0,71.0,198.3,0.5,4.1,0.0,473.0,7.6,0.0,5.9,8.5,20.4,2016,11,17
322,757802A001,예천군 예천읍,2016-11-18,6.1,13.6,-1.9,83.6,44.8,0.5,3.3,6.0,282.0,4.8,490.0,7.1,8.3,20.3,2016,11,18
323,757802A001,예천군 예천읍,2016-11-19,10.7,14.8,9.0,91.9,145.4,0.6,3.4,4.5,49.0,2.6,456.0,11.0,9.7,22.5,2016,11,19
324,757802A001,예천군 예천읍,2016-11-20,11.3,17.9,4.5,76.6,169.2,0.8,5.9,0.0,467.0,7.8,0.0,12.2,10.7,23.2,2016,11,20
325,757802A001,예천군 예천읍,2016-11-21,8.4,14.6,4.1,84.4,44.5,0.6,4.4,0.0,29.0,2.6,0.0,8.9,10.3,22.9,2016,11,21
326,757802A001,예천군 예천읍,2016-11-22,5.9,8.9,2.4,67.8,271.3,0.9,6.1,0.0,160.0,3.6,0.0,6.7,10.1,22.7,2016,11,22
327,757802A001,예천군 예천읍,2016-11-23,3.3,8.9,-3.1,45.2,199.9,1.2,5.3,0.0,399.0,6.1,0.0,4.6,9.1,22.6,2016,11,23
328,757802A001,예천군 예천읍,2016-11-24,-1.3,4.8,-5.8,47.3,251.1,1.2,6.8,0.0,504.0,8.9,0.0,0.4,7.3,22.4,2016,11,24
329,757802A001,예천군 예천읍,2016-11-25,-1.7,7.3,-7.8,63.3,244.0,0.8,6.0,0.0,385.0,6.2,0.0,-0.1,5.6,22.3,2016,11,25
330,757802A001,예천군 예천읍,2016-11-26,-2.8,1.5,-7.2,83.8,108.3,0.5,4.3,0.0,23.0,2.1,126.0,-1.1,4.7,22.3,2016,11,26
331,757802A001,예천군 예천읍,2016-11-27,0.0,1.9,-1.4,93.4,150.5,0.7,3.2,1.5,0.0,1.9,603.0,1.6,5.1,22.2,2016,11,27
332,757802A001,예천군 예천읍,2016-11-28,1.4,8.6,-4.7,75.9,256.7,0.9,6.5,0.0,410.0,7.0,742.0,3.2,5.6,22.0,2016,11,28
333,757802A001,예천군 예천읍,2016-11-29,-0.4,9.1,-6.8,68.6,172.6,0.6,4.3,0.0,493.0,8.1,0.0,1.6,4.6,22.0,2016,11,29
334,757802A001,예천군 예천읍,2016-11-30,3.8,7.6,-1.5,78.6,168.7,0.4,3.4,2.0,0.0,1.3,489.0,4.0,5.0,22.1,2016,11,30
